datetime,V51Z,V111Z,Total
2024-03-05 07:20:00,18,28,46
2024-03-05 07:30:00,22,33,55
2024-03-05 07:40:00,42,30,72
2024-03-05 07:50:00,37,27,64
2024-03-05 08:00:00,36,31,67
2024-03-05 08:10:00,28,32,60
2024-03-05 08:20:00,31,23,54
2024-03-05 08:30:00,28,33,61
2024-03-05 08:40:00,32,24,56
2024-03-05 08:50:00,27,28,55
2024-03-05 09:00:00,31,32,63
2024-03-05 09:10:00,29,21,50
2024-03-05 09:20:00,21,36,57
2024-03-05 09:30:00,28,24,52
2024-03-05 09:40:00,37,28,65
2024-03-05 09:50:00,27,32,59
2024-03-05 10:00:00,27,31,58
2024-03-05 10:10:00,22,22,44
2024-03-05 10:20:00,20,29,49
2024-03-05 10:30:00,22,23,45
2024-03-05 10:40:00,35,22,57
2024-03-05 10:50:00,31,13,44
2024-03-05 11:00:00,30,29,59
2024-03-05 11:10:00,23,34,57
2024-03-05 11:20:00,26,21,47
2024-03-05 11:30:00,37,31,68
2024-03-05 11:40:00,25,29,54
2024-03-05 11:50:00,26,31,57
2024-03-05 12:00:00,22,36,58
2024-03-05 12:10:00,27,25,52
2024-03-05 12:20:00,24,27,51
2024-03-05 12:30:00,24,32,56
2024-03-05 12:40:00,30,33,63
2024-03-05 12:50:00,31,37,68
2024-03-05 13:00:00,31,27,58
2024-03-05 13:10:00,23,24,47
2024-03-05 13:20:00,34,31,65
2024-03-05 13:30:00,29,25,54
2024-03-05 13:40:00,23,16,39
2024-03-05 13:50:00,31,23,54
2024-03-05 14:00:00,24,25,49
2024-03-05 14:10:00,31,22,53
2024-03-05 14:20:00,28,30,58
2024-03-05 14:30:00,31,30,61
2024-03-05 14:40:00,30,29,59
2024-03-05 14:50:00,30,26,56
2024-03-05 15:00:00,31,30,61
2024-03-05 15:10:00,33,27,60
2024-03-05 15:20:00,29,19,48
2024-03-05 15:30:00,26,28,54
2024-03-05 15:40:00,33,30,63
2024-03-05 15:50:00,32,23,55
2024-03-05 16:00:00,33,28,61
2024-03-05 16:10:00,34,23,57
2024-03-05 16:20:00,37,25,62
2024-03-05 16:30:00,32,33,65
2024-03-05 16:40:00,29,40,69
2024-03-05 16:50:00,33,31,64
2024-03-05 17:00:00,27,24,51
2024-03-05 17:10:00,39,25,64
2024-03-05 17:20:00,32,26,58
2024-03-05 17:30:00,37,27,64
2024-03-05 17:40:00,30,28,58
2024-03-05 17:50:00,33,25,58
2024-03-05 18:00:00,34,26,60
2024-03-05 18:10:00,32,29,61
2024-03-05 18:20:00,32,26,58
2024-03-05 18:30:00,39,24,63
2024-03-05 18:40:00,27,16,43
2024-03-05 18:50:00,27,31,58
2024-03-05 19:00:00,24,20,44
2024-03-05 19:10:00,35,30,65
2024-03-05 19:20:00,25,20,45
2024-03-05 19:30:00,33,16,49
2024-03-05 19:40:00,27,18,45
2024-03-05 19:50:00,24,22,46
2024-03-05 20:00:00,23,23,46
2024-03-05 20:10:00,19,20,39
2024-03-05 20:20:00,24,18,42
2024-03-05 20:30:00,21,19,40
2024-03-05 20:40:00,21,15,36
2024-03-05 20:50:00,14,10,24
2024-03-05 21:00:00,16,17,33
2024-03-05 21:10:00,15,15,30
2024-03-05 21:20:00,15,16,31
2024-03-05 21:30:00,13,10,23
2024-03-05 21:40:00,12,19,31
2024-03-05 21:50:00,10,15,25
2024-03-05 22:00:00,23,8,31
2024-03-05 22:10:00,21,16,37
2024-03-05 22:20:00,14,4,18
2024-03-05 22:30:00,5,6,11
2024-03-05 22:40:00,13,10,23
2024-03-05 22:50:00,16,8,24
2024-03-05 23:00:00,9,10,19
2024-03-05 23:10:00,5,4,9
2024-03-05 23:20:00,8,7,15
2024-03-05 23:30:00,1,8,9
2024-03-05 23:40:00,6,2,8
2024-03-05 23:50:00,3,1,4
2024-03-06 00:00:00,5,1,6
2024-03-06 00:10:00,3,2,5
2024-03-06 00:20:00,0,2,2
2024-03-06 00:30:00,2,1,3
2024-03-06 00:40:00,3,1,4
2024-03-06 00:50:00,0,0,0
2024-03-06 01:00:00,1,3,4
2024-03-06 01:10:00,1,5,6
2024-03-06 01:20:00,3,2,5
2024-03-06 01:30:00,1,3,4
2024-03-06 01:40:00,5,0,5
2024-03-06 01:50:00,3,1,4
2024-03-06 02:00:00,2,1,3
2024-03-06 02:10:00,2,1,3
2024-03-06 02:20:00,3,1,4
2024-03-06 02:30:00,1,0,1
2024-03-06 02:40:00,2,0,2
2024-03-06 02:50:00,0,0,0
2024-03-06 03:00:00,4,0,4
