datetime,D51Z,V51Z,D52Z,D111Z,V111Z,D112Z,Total
2024-03-04 15:50:00,0,18,0,0,32,39,0.0
2024-03-04 16:00:00,0,23,0,0,40,55,0.0
2024-03-04 16:10:00,0,13,0,0,36,48,0.0
2024-03-04 16:20:00,0,20,0,0,33,45,0.0
2024-03-04 16:30:00,0,15,0,0,32,36,0.0
2024-03-04 16:40:00,0,17,0,0,33,48,0.0
2024-03-04 16:50:00,0,13,0,0,32,48,0.0
2024-03-04 17:00:00,0,16,0,0,35,57,0.0
2024-03-04 17:10:00,0,18,0,0,25,35,0.0
2024-03-04 17:20:00,0,16,0,0,35,45,0.0
2024-03-04 17:30:00,0,15,0,0,25,30,0.0
2024-03-04 17:40:00,0,15,0,0,18,24,0.0
2024-03-04 17:50:00,0,15,0,0,29,36,0.0
2024-03-04 18:00:00,0,12,0,0,21,25,0.0
2024-03-04 18:10:00,0,13,0,0,23,25,0.0
2024-03-04 18:20:00,0,16,0,0,19,28,0.0
2024-03-04 18:30:00,0,14,0,0,20,25,0.0
2024-03-04 18:40:00,0,14,0,0,17,26,0.0
2024-03-04 18:50:00,0,14,0,0,16,17,0.0
2024-03-04 19:00:00,0,6,0,0,16,20,0.0
2024-03-04 19:10:00,0,13,0,0,12,12,0.0
2024-03-04 19:20:00,0,14,0,0,8,8,0.0
2024-03-04 19:30:00,0,7,0,0,10,12,0.0
2024-03-04 19:40:00,0,11,0,0,13,14,0.0
2024-03-04 19:50:00,0,7,0,0,11,12,0.0
2024-03-04 20:00:00,0,9,0,0,5,5,0.0
2024-03-04 20:10:00,0,7,0,0,6,6,0.0
2024-03-04 20:20:00,0,4,0,0,7,11,0.0
2024-03-04 20:30:00,0,4,0,0,7,8,0.0
2024-03-04 20:40:00,0,3,0,0,12,12,0.0
2024-03-04 20:50:00,0,6,0,0,10,10,0.0
2024-03-04 21:00:00,0,7,0,0,6,7,0.0
2024-03-04 21:10:00,0,5,0,0,9,9,0.0
2024-03-04 21:20:00,0,2,0,0,7,10,0.0
2024-03-04 21:30:00,0,5,0,0,4,3,0.0
2024-03-04 21:40:00,0,6,0,0,1,1,0.0
2024-03-04 21:50:00,0,2,0,0,5,5,0.0
2024-03-04 22:00:00,0,1,0,0,1,1,0.0
2024-03-04 22:10:00,0,7,0,0,4,4,0.0
2024-03-04 22:20:00,0,2,0,0,1,1,0.0
2024-03-04 22:30:00,0,3,0,0,3,3,0.0
2024-03-04 22:40:00,0,1,0,0,5,5,0.0
2024-03-04 22:50:00,0,2,0,0,3,3,0.0
2024-03-04 23:00:00,0,3,0,0,3,3,0.0
2024-03-04 23:10:00,0,2,0,0,4,4,0.0
2024-03-04 23:20:00,0,1,0,0,3,3,0.0
2024-03-04 23:30:00,0,1,0,0,2,2,0.0
2024-03-04 23:40:00,0,0,0,0,0,0,0.0
2024-03-04 23:50:00,0,0,0,0,2,2,0.0
2024-03-05 00:00:00,0,1,0,0,0,0,0.0
2024-03-05 00:10:00,0,1,0,0,0,0,0.0
2024-03-05 00:20:00,0,3,0,0,5,5,0.0
2024-03-05 00:30:00,0,0,0,0,0,0,0.0
