datetime,D11Z,D21Z,V22Z,D31Z,V32Z,V33Z,D41Z,V42Z,D51Z,D52Z,V53Z,V54Z,D81Z,D82Z,V83Z,V84Z,D111Z,D112Z,V113Z,V114Z,D121Z,D122Z,V123Z,V124Z,V221Z,V222Z,Total
2024-03-01 15:10:00,739,40,44,37,16,3,34,10,0,36,1,0,27,32,15,13,13,50,10,16,48,27,10,12,0,0,1233
2024-03-01 15:20:00,114,39,29,39,3,0,29,9,0,38,2,0,21,39,16,25,12,65,5,19,46,21,12,11,0,0,594
2024-03-01 15:30:00,99,40,34,61,8,10,29,12,0,48,7,0,20,30,17,13,18,52,9,16,28,22,18,19,0,0,610
2024-03-01 15:40:00,326,33,32,47,12,8,42,14,0,39,1,0,21,46,20,15,10,64,4,18,29,18,17,14,0,0,830
2024-03-01 15:50:00,847,48,29,50,13,2,38,8,0,37,1,0,13,15,10,4,6,35,3,8,26,21,14,12,0,0,1240
2024-03-01 16:00:00,70,40,36,35,10,8,26,7,0,44,2,0,17,24,10,11,7,48,3,13,27,24,14,15,0,0,491
2024-03-01 16:10:00,404,48,25,51,17,5,28,12,0,39,1,1,21,37,12,18,9,55,4,11,41,27,10,13,0,0,889
2024-03-01 16:20:00,472,36,28,48,10,5,33,12,2,78,3,0,25,35,14,19,8,56,3,19,32,23,19,13,0,0,993
2024-03-01 16:30:00,121,37,29,50,20,5,47,7,38,51,4,5,14,43,13,12,13,59,7,19,22,23,15,12,0,0,666
2024-03-01 16:40:00,923,42,30,47,10,2,61,12,29,29,12,17,14,32,10,11,17,60,10,22,29,23,14,19,0,0,1475
2024-03-01 16:50:00,125,26,38,41,25,22,55,18,31,33,8,14,16,26,13,8,10,56,3,10,33,19,20,15,0,0,665
2024-03-01 17:00:00,538,34,34,104,14,8,46,17,34,23,12,11,25,26,19,11,12,47,10,18,29,23,11,13,0,0,1119
2024-03-01 17:10:00,631,41,34,37,8,6,45,8,28,22,9,15,11,30,11,12,12,61,3,13,43,29,16,16,0,0,1141
2024-03-01 17:20:00,124,33,21,50,14,9,34,9,24,21,4,11,14,21,12,9,7,43,3,11,24,23,8,15,0,0,544
2024-03-01 17:30:00,97,40,34,52,7,15,64,13,37,25,15,13,14,24,13,14,8,59,3,16,25,17,9,20,0,0,634
2024-03-01 17:40:00,84,48,30,43,12,2,58,12,31,23,11,12,18,36,10,13,15,56,9,22,24,14,17,8,0,0,608
2024-03-01 17:50:00,376,36,37,38,5,0,50,14,34,28,14,11,11,18,8,8,13,60,8,11,25,17,12,13,0,0,847
2024-03-01 18:00:00,832,39,35,53,25,0,44,21,25,22,11,16,10,29,11,13,10,52,7,20,59,45,16,18,0,0,1413
2024-03-01 18:10:00,87,22,24,57,15,2,40,16,37,32,12,13,12,22,16,9,11,54,9,17,31,26,13,11,0,0,588
2024-03-01 18:20:00,371,31,34,43,11,6,42,19,31,31,12,11,17,30,18,17,5,63,5,14,25,15,17,14,0,0,882
2024-03-01 18:30:00,590,34,31,63,32,9,35,18,36,27,11,21,20,27,14,17,7,57,6,12,23,20,31,26,0,0,1167
2024-03-01 18:40:00,289,36,34,48,25,23,59,13,26,19,14,19,15,29,15,12,9,51,9,34,32,17,29,17,0,0,874
2024-03-01 18:50:00,990,28,42,43,16,11,47,22,33,19,13,16,11,18,10,11,11,65,8,35,28,25,21,16,0,0,1539
2024-03-01 19:00:00,66,19,26,54,27,18,49,22,22,15,22,19,13,17,12,12,12,49,11,31,26,9,19,10,0,0,580
2024-03-01 19:10:00,474,27,32,43,11,5,31,13,29,19,24,29,7,27,8,11,7,38,4,35,18,14,21,15,0,0,942
2024-03-01 19:20:00,745,30,34,63,24,13,36,20,20,13,22,14,14,15,16,10,9,43,10,41,18,13,31,15,0,0,1269
2024-03-01 19:30:00,112,18,31,43,29,13,33,23,18,11,14,10,10,31,9,15,8,50,4,47,17,12,20,13,0,0,591
2024-03-01 19:40:00,171,37,42,32,20,16,29,14,18,13,25,11,9,13,12,10,3,38,3,19,22,10,22,9,0,0,598
2024-03-01 19:50:00,150,47,30,54,12,1,36,21,24,13,31,17,17,37,25,20,10,61,6,38,21,17,20,16,0,0,724
2024-03-01 20:00:00,54,15,25,37,21,18,29,20,20,6,18,9,10,16,11,8,9,47,10,42,14,9,22,8,0,0,478
2024-03-01 20:10:00,87,14,28,44,16,15,33,19,21,15,20,10,11,10,15,12,8,41,7,31,22,10,20,13,0,0,522
2024-03-01 20:20:00,119,13,30,34,25,19,24,18,21,14,26,22,11,17,9,10,5,40,2,45,31,15,30,19,0,0,599
2024-03-01 20:30:00,294,14,24,39,18,17,29,18,18,10,19,19,12,16,10,4,6,39,9,26,14,11,21,10,0,0,697
2024-03-01 20:40:00,163,19,33,30,20,15,26,19,19,12,18,14,9,11,11,5,7,31,7,38,18,12,19,18,0,0,574
2024-03-01 20:50:00,1279,8,18,35,37,21,21,13,15,10,17,13,10,17,9,11,6,43,2,45,18,11,21,11,0,0,1691
2024-03-01 21:00:00,79,13,21,38,24,21,30,16,18,12,15,12,14,18,9,8,3,35,2,35,20,9,21,13,0,0,486
2024-03-01 21:10:00,60,9,28,24,36,24,21,20,22,6,22,9,10,8,8,4,10,42,6,39,44,13,18,20,0,0,503
