datetime,D1Z,D2Z,D3Z,D4Z,D5Z,D6Z,V21Z,V22Z,V51Z,V52Z,V81Z,V82Z,V211Z,V212Z,V811Z,V812Z,V1111Z,V1112Z,Total
2024-03-02 02:20:00,4,7,6,5,0,1,2,0,2,1,7,4,2,1,7,2,0,0,51
2024-03-02 02:30:00,1,3,3,3,0,5,3,4,2,3,2,3,2,3,6,6,0,0,49
2024-03-02 02:40:00,1,4,1,3,0,2,1,0,2,0,0,1,2,0,1,2,0,0,20
2024-03-02 02:50:00,1,5,2,5,0,0,2,4,1,5,0,3,1,3,2,1,0,0,35
2024-03-02 03:00:00,1,1,1,1,0,0,1,1,1,1,3,1,0,1,3,1,0,0,17
2024-03-02 03:10:00,4,2,4,3,0,2,1,8,1,8,5,3,1,6,6,4,0,0,58
2024-03-02 03:20:00,0,4,1,3,0,3,1,1,1,1,2,4,1,1,1,4,0,0,28
2024-03-02 03:30:00,0,3,1,3,0,1,0,1,0,1,2,3,1,1,4,8,0,0,29
2024-03-02 03:40:00,0,5,3,4,0,2,1,2,1,2,1,2,1,2,5,5,0,0,36
2024-03-02 03:50:00,2,1,2,2,1,2,2,2,3,3,3,1,2,2,0,2,0,0,30
2024-03-02 04:00:00,2,2,2,2,0,3,1,4,1,3,3,3,2,2,1,1,0,0,32
2024-03-02 04:10:00,1,1,1,1,0,0,0,4,1,4,2,1,1,4,1,3,0,0,25
2024-03-02 04:20:00,1,2,2,1,1,1,0,2,0,2,4,0,0,2,2,1,0,0,21
2024-03-02 04:30:00,1,1,1,1,0,1,2,2,1,1,5,1,1,0,1,0,0,0,19
2024-03-02 04:40:00,3,4,3,2,0,1,1,5,2,5,10,1,1,6,2,0,0,0,46
2024-03-02 04:50:00,1,0,1,0,0,0,3,2,4,2,0,0,2,0,0,2,0,0,17
2024-03-02 05:00:00,1,2,2,2,0,2,1,4,1,4,3,2,3,5,0,0,0,0,32
2024-03-02 05:10:00,0,0,0,0,0,2,7,6,4,7,0,0,3,7,0,5,0,0,41
2024-03-02 05:20:00,1,2,1,2,0,2,3,5,4,6,5,2,3,5,1,3,0,0,45
2024-03-02 05:30:00,3,5,4,5,0,3,10,6,9,9,4,5,8,4,2,3,0,0,80
2024-03-02 05:40:00,2,6,3,5,0,5,13,11,12,11,2,5,11,6,5,3,0,0,100
2024-03-02 05:50:00,7,4,8,7,0,3,8,6,7,5,10,2,8,5,4,4,0,0,88
2024-03-02 06:00:00,1,7,3,7,0,3,1,6,2,6,4,6,2,4,5,5,0,0,62
2024-03-02 06:10:00,4,2,3,3,0,4,2,5,4,5,5,2,4,5,7,5,0,0,60
2024-03-02 06:20:00,1,5,2,5,0,3,6,4,7,5,0,5,7,5,1,7,0,0,63
2024-03-02 06:30:00,4,5,5,6,0,3,6,5,5,6,9,4,7,4,1,2,0,0,72
2024-03-02 06:40:00,9,1,8,4,0,6,5,8,5,8,11,1,4,8,3,1,0,0,82
2024-03-02 06:50:00,5,6,5,5,0,7,5,13,6,11,6,4,3,9,3,1,0,0,89
2024-03-02 07:00:00,4,7,6,7,0,4,5,6,6,5,4,4,6,7,3,2,0,0,76
2024-03-02 07:10:00,7,5,8,7,0,6,7,7,7,8,11,3,6,8,2,4,0,0,96
2024-03-02 07:20:00,4,4,6,5,0,4,6,4,6,5,5,4,7,5,3,2,0,0,70
2024-03-02 07:30:00,6,11,6,11,0,6,5,9,6,15,7,9,6,10,1,4,0,0,112
2024-03-02 07:40:00,14,10,14,11,0,7,7,11,10,9,9,13,10,10,3,3,0,0,141
