datetime,D11Z,D12Z,D13Z,D21Z,D22Z,D31Z,D32Z,D41Z,D42Z,Total
2024-03-03 03:40:00,1,2,4,5,5,0,4,0,1,22
2024-03-03 03:50:00,0,4,3,6,10,0,2,0,2,27
2024-03-03 04:00:00,1,3,4,1,1,0,2,0,2,14
2024-03-03 04:10:00,1,4,3,8,8,0,1,0,4,29
2024-03-03 04:20:00,0,0,1,5,6,0,2,0,4,18
2024-03-03 04:30:00,0,3,6,10,7,0,2,0,3,31
2024-03-03 04:40:00,0,0,4,10,11,0,2,0,5,32
2024-03-03 04:50:00,0,4,5,12,14,0,4,0,4,43
2024-03-03 05:00:00,0,2,2,13,9,0,4,0,3,33
2024-03-03 05:10:00,2,3,2,16,10,0,3,0,2,38
2024-03-03 05:20:00,0,1,1,9,9,0,0,0,6,26
2024-03-03 05:30:00,1,4,4,10,6,0,3,0,5,33
2024-03-03 05:40:00,1,2,1,6,6,0,1,0,2,19
2024-03-03 05:50:00,0,1,3,10,15,0,3,0,6,38
2024-03-03 06:00:00,2,2,5,13,19,0,0,0,3,44
2024-03-03 06:10:00,0,3,4,7,7,0,3,0,3,27
2024-03-03 06:20:00,0,4,3,6,9,0,3,0,4,29
2024-03-03 06:30:00,0,2,2,4,11,0,0,0,9,28
2024-03-03 06:40:00,0,1,2,7,4,0,1,0,5,20
2024-03-03 06:50:00,1,0,0,6,5,0,3,0,2,17
2024-03-03 07:00:00,0,2,4,5,7,0,0,0,1,19
2024-03-03 07:10:00,3,1,3,7,8,0,1,0,5,28
2024-03-03 07:20:00,3,4,2,6,9,0,2,0,4,30
2024-03-03 07:30:00,2,3,3,9,5,0,4,0,5,31
2024-03-03 07:40:00,2,1,0,10,9,0,3,0,4,29
2024-03-03 07:50:00,3,5,8,14,7,0,5,0,5,47
2024-03-03 08:00:00,2,8,10,12,8,0,6,0,4,50
2024-03-03 08:10:00,1,2,5,15,17,0,2,0,4,46
2024-03-03 08:20:00,1,5,8,17,14,0,2,0,4,51
2024-03-03 08:30:00,2,9,11,18,9,0,6,0,7,62
2024-03-03 08:40:00,0,7,8,21,10,0,6,0,9,61
2024-03-03 08:50:00,5,6,8,26,13,0,7,0,8,73
2024-03-03 09:00:00,6,8,9,28,16,0,9,0,6,82
2024-03-03 09:10:00,5,14,10,27,22,0,8,0,7,93
2024-03-03 09:20:00,4,11,13,50,26,0,15,0,14,133
2024-03-03 09:30:00,4,19,15,64,34,0,18,0,15,169
2024-03-03 09:40:00,7,18,15,61,33,0,11,0,6,151
2024-03-03 09:50:00,6,14,11,53,31,0,16,0,8,139
2024-03-03 10:00:00,9,21,18,45,28,0,15,0,9,145
2024-03-03 10:10:00,6,10,15,44,25,0,9,0,17,126
2024-03-03 10:20:00,3,12,16,47,24,0,11,0,15,128
2024-03-03 10:30:00,3,14,21,42,29,0,14,0,20,143
2024-03-03 10:40:00,3,22,19,48,31,0,18,0,15,156
2024-03-03 10:50:00,5,21,25,43,28,0,23,0,28,173
2024-03-03 11:00:00,6,19,21,43,36,0,19,0,19,163
2024-03-03 11:10:00,4,26,29,44,23,0,19,0,16,161
2024-03-03 11:20:00,6,27,28,60,33,0,13,0,11,178
2024-03-03 11:30:00,5,19,33,60,26,0,27,0,15,185
2024-03-03 11:40:00,6,14,21,55,47,0,22,0,17,182
2024-03-03 11:50:00,8,24,26,67,43,0,20,0,18,206
2024-03-03 12:00:00,9,22,31,71,47,0,18,0,27,225
2024-03-03 12:10:00,9,16,22,61,53,0,16,0,28,205
2024-03-03 12:20:00,15,26,37,71,46,0,24,0,20,239
2024-03-03 12:30:00,13,32,35,74,38,0,17,0,25,234
2024-03-03 12:40:00,7,18,27,71,39,0,20,0,34,216
2024-03-03 12:50:00,10,27,31,89,47,0,28,0,14,246
2024-03-03 13:00:00,6,18,26,89,40,0,20,0,15,214
2024-03-03 13:10:00,9,34,37,63,58,0,18,0,17,236
2024-03-03 13:20:00,2,26,28,75,41,0,28,0,16,216
2024-03-03 13:30:00,9,26,29,58,38,0,29,0,17,206
2024-03-03 13:40:00,7,32,37,79,44,0,18,0,31,248
2024-03-03 13:50:00,9,38,35,72,49,0,23,0,27,253
2024-03-03 14:00:00,12,24,35,83,50,0,23,0,27,254
2024-03-03 14:10:00,14,22,24,81,68,0,26,0,22,257
2024-03-03 14:20:00,7,22,35,61,57,0,28,0,29,239
2024-03-03 14:30:00,10,23,27,93,44,0,19,0,22,238
2024-03-03 14:40:00,7,29,36,91,52,0,28,0,18,261
2024-03-03 14:50:00,9,37,32,88,34,0,31,0,23,254
2024-03-03 15:00:00,7,31,33,80,60,0,28,0,28,267
2024-03-03 15:10:00,5,32,29,67,50,0,27,0,27,237
2024-03-03 15:20:00,12,23,28,83,47,0,32,0,19,244
2024-03-03 15:30:00,9,22,24,90,42,0,27,0,20,234
2024-03-03 15:40:00,7,22,28,68,34,0,18,0,16,193
2024-03-03 15:50:00,7,20,30,88,56,0,26,0,22,249
2024-03-03 16:00:00,4,33,33,89,54,0,21,0,20,254
2024-03-03 16:10:00,9,25,22,91,55,0,16,0,25,243
2024-03-03 16:20:00,8,22,25,97,52,0,17,0,17,238
2024-03-03 16:30:00,12,22,25,80,42,0,22,0,19,222
2024-03-03 16:40:00,9,33,26,102,65,0,22,0,25,282
2024-03-03 16:50:00,11,27,34,78,37,0,24,0,11,222
2024-03-03 17:00:00,15,28,24,82,30,0,16,0,16,211
2024-03-03 17:10:00,12,28,35,102,51,0,26,0,19,273
2024-03-03 17:20:00,9,20,18,85,38,0,35,0,14,219
