datetime,D21Z,V22Z,D81Z,V82Z,V92Z,D111Z,D112Z,D531Z,D571Z,D581Z,V113Z,V114Z,Total
2024-03-01 22:50:00,14,13,15,21,9,8,7,0.0,0.0,0.0,11,6,104.0
2024-03-01 23:00:00,18,14,15,22,7,10,10,0.0,0.0,0.0,11,8,115.0
2024-03-01 23:10:00,21,19,9,23,6,10,11,0.0,0.0,0.0,10,5,114.0
2024-03-01 23:20:00,26,16,13,19,11,3,13,0.0,0.0,0.0,5,13,119.0
2024-03-01 23:30:00,17,18,18,25,9,9,11,0.0,0.0,0.0,13,13,133.0
2024-03-01 23:40:00,15,16,15,22,5,9,14,0.0,0.0,0.0,11,13,120.0
2024-03-01 23:50:00,12,12,9,13,4,1,9,0.0,0.0,0.0,3,10,73.0
2024-03-02 00:00:00,11,15,7,12,10,4,9,0.0,0.0,0.0,5,7,80.0
2024-03-02 00:10:00,16,15,144,18,7,5,9,0.0,0.0,0.0,6,6,226.0
2024-03-02 00:20:00,9,13,7,21,7,12,6,0.0,0.0,0.0,16,6,97.0
2024-03-02 00:30:00,5,5,5,13,6,7,6,0.0,0.0,0.0,8,7,62.0
2024-03-02 00:40:00,18,17,24,8,1,1,6,0.0,0.0,0.0,2,6,83.0
2024-03-02 00:50:00,5,10,8,9,4,2,1,0.0,0.0,0.0,2,1,42.0
2024-03-02 01:00:00,6,8,2,12,5,3,2,0.0,0.0,0.0,5,4,47.0
2024-03-02 01:10:00,10,14,4,8,1,0,6,0.0,0.0,0.0,3,8,54.0
2024-03-02 01:20:00,11,16,6,7,2,3,5,0.0,0.0,0.0,3,5,58.0
2024-03-02 01:30:00,6,11,8,5,0,1,1,0.0,0.0,0.0,2,2,36.0
2024-03-02 01:40:00,3,7,2,7,3,6,4,0.0,0.0,0.0,1,5,38.0
2024-03-02 01:50:00,4,6,3,3,0,0,2,0.0,0.0,0.0,0,3,21.0
2024-03-02 02:00:00,6,4,1,5,4,1,5,0.0,0.0,0.0,1,4,31.0
2024-03-02 02:10:00,8,8,4,10,2,0,4,0.0,0.0,0.0,1,7,44.0
2024-03-02 02:20:00,6,6,3,6,0,3,6,0.0,0.0,0.0,2,6,38.0
2024-03-02 02:30:00,4,5,2,0,2,4,1,0.0,0.0,0.0,9,2,29.0
2024-03-02 02:40:00,5,12,1,4,0,1,0,0.0,0.0,0.0,2,0,25.0
2024-03-02 02:50:00,3,5,0,0,0,0,3,0.0,0.0,0.0,0,4,15.0
2024-03-02 03:00:00,5,7,3,7,0,0,1,0.0,0.0,0.0,0,2,25.0
2024-03-02 03:10:00,3,6,3,5,0,0,4,0.0,0.0,0.0,0,6,27.0
2024-03-02 03:20:00,8,8,1,8,4,2,3,0.0,0.0,0.0,2,2,38.0
2024-03-02 03:30:00,2,2,4,5,0,2,2,0.0,0.0,0.0,3,2,22.0
2024-03-02 03:40:00,3,11,1,3,2,1,2,0.0,0.0,0.0,2,2,27.0
2024-03-02 03:50:00,4,7,1,3,1,0,2,0.0,0.0,0.0,0,3,21.0
2024-03-02 04:00:00,3,7,0,3,4,1,3,0.0,0.0,0.0,2,5,28.0
2024-03-02 04:10:00,4,6,2,1,0,0,2,0.0,0.0,0.0,0,2,17.0
2024-03-02 04:20:00,7,9,4,4,3,1,2,0.0,0.0,0.0,3,2,35.0
2024-03-02 04:30:00,9,9,8,8,4,5,7,0.0,0.0,0.0,5,8,63.0
2024-03-02 04:40:00,6,7,2,5,1,1,12,0.0,0.0,0.0,3,13,50.0
2024-03-02 04:50:00,3,3,1,4,4,0,3,0.0,0.0,0.0,0,4,22.0
2024-03-02 05:00:00,3,6,5,9,2,0,2,0.0,0.0,0.0,0,3,30.0
2024-03-02 05:10:00,8,10,12,7,2,0,1,0.0,0.0,0.0,0,1,41.0
2024-03-02 05:20:00,9,11,1,5,5,1,4,0.0,0.0,0.0,2,4,42.0
2024-03-02 05:30:00,7,8,4,11,1,0,5,0.0,0.0,0.0,0,4,40.0
2024-03-02 05:40:00,19,15,6,10,4,2,4,0.0,0.0,0.0,3,5,68.0
2024-03-02 05:50:00,17,14,1,1,0,1,3,0.0,0.0,0.0,1,4,42.0
2024-03-02 06:00:00,9,16,10,15,10,1,4,0.0,0.0,0.0,1,6,72.0
2024-03-02 06:10:00,18,17,6,20,12,3,8,0.0,0.0,0.0,4,8,96.0
2024-03-02 06:20:00,9,11,8,10,3,1,7,0.0,0.0,0.0,5,6,60.0
2024-03-02 06:30:00,10,8,5,8,3,7,7,0.0,0.0,0.0,8,7,63.0
2024-03-02 06:40:00,14,17,5,7,6,6,3,0.0,0.0,0.0,8,3,69.0
2024-03-02 06:50:00,8,7,2,8,2,1,0,0.0,0.0,0.0,1,0,29.0
2024-03-02 07:00:00,11,13,6,7,5,0,3,0.0,0.0,0.0,0,2,47.0
2024-03-02 07:10:00,15,16,9,11,2,2,6,0.0,0.0,0.0,3,6,70.0
2024-03-02 07:20:00,7,9,9,10,3,2,1,0.0,0.0,0.0,2,1,44.0
2024-03-02 07:30:00,13,20,6,7,3,3,5,0.0,0.0,0.0,4,6,67.0
2024-03-02 07:40:00,17,25,7,5,3,5,6,0.0,0.0,0.0,5,6,79.0
2024-03-02 07:50:00,16,18,7,7,5,1,8,0.0,0.0,0.0,2,8,72.0
2024-03-02 08:00:00,14,12,7,6,13,5,5,0.0,0.0,0.0,5,4,71.0
2024-03-02 08:10:00,20,15,11,13,5,4,6,0.0,0.0,0.0,4,7,85.0
2024-03-02 08:20:00,16,19,5,7,4,5,6,0.0,0.0,0.0,5,5,72.0
2024-03-02 08:30:00,20,19,13,13,9,9,7,0.0,0.0,0.0,8,6,104.0
2024-03-02 08:40:00,22,15,40,20,8,7,8,0.0,0.0,0.0,6,9,135.0
2024-03-02 08:50:00,15,19,28,20,5,5,6,0.0,0.0,0.0,4,6,108.0
2024-03-02 09:00:00,24,27,21,15,7,5,15,0.0,0.0,0.0,8,12,134.0
2024-03-02 09:10:00,30,25,19,16,7,4,13,0.0,0.0,0.0,6,10,130.0
2024-03-02 09:20:00,28,24,19,19,7,10,9,0.0,0.0,0.0,7,9,132.0
2024-03-02 09:30:00,33,28,24,18,7,9,16,0.0,0.0,0.0,11,12,158.0
2024-03-02 09:40:00,35,23,32,17,11,13,11,0.0,0.0,0.0,13,7,162.0
2024-03-02 09:50:00,23,28,31,36,9,8,13,0.0,0.0,0.0,6,11,165.0
2024-03-02 10:00:00,59,24,90,22,8,9,12,0.0,0.0,0.0,11,13,248.0
2024-03-02 10:10:00,43,27,66,23,8,6,11,0.0,0.0,0.0,9,11,204.0
2024-03-02 10:20:00,34,29,47,22,12,9,13,0.0,0.0,0.0,7,9,182.0
2024-03-02 10:30:00,37,21,31,21,11,6,14,0.0,0.0,0.0,11,6,158.0
2024-03-02 10:40:00,31,22,34,26,9,11,16,0.0,0.0,0.0,9,8,166.0
2024-03-02 10:50:00,46,33,48,33,8,13,11,0.0,0.0,0.0,13,9,214.0
2024-03-02 11:00:00,40,17,32,24,10,7,14,0.0,0.0,0.0,8,13,165.0
2024-03-02 11:10:00,41,36,48,31,13,9,13,0.0,0.0,0.0,10,11,212.0
2024-03-02 11:20:00,54,33,65,24,11,10,19,0.0,0.0,0.0,11,13,240.0
2024-03-02 11:30:00,47,29,83,24,12,15,19,0.0,0.0,0.0,8,16,253.0
2024-03-02 11:40:00,47,38,28,26,13,11,21,0.0,0.0,0.0,13,11,208.0
2024-03-02 11:50:00,45,30,22,28,10,10,22,0.0,0.0,0.0,11,15,193.0
2024-03-02 12:00:00,54,19,39,29,14,18,15,0.0,0.0,0.0,10,9,207.0
2024-03-02 12:10:00,50,45,40,30,14,12,12,0.0,0.0,0.0,4,5,212.0
2024-03-02 12:20:00,42,25,64,23,15,21,20,0.0,0.0,0.0,16,6,232.0
2024-03-02 12:30:00,55,38,40,35,6,11,16,0.0,0.0,0.0,10,10,221.0
2024-03-02 12:40:00,48,24,46,24,13,18,16,0.0,0.0,0.0,12,13,214.0
2024-03-02 12:50:00,44,28,39,22,15,16,18,0.0,0.0,0.0,10,12,204.0
2024-03-02 13:00:00,62,30,53,26,9,8,22,0.0,0.0,0.0,8,11,229.0
2024-03-02 13:10:00,60,30,95,34,10,11,16,0.0,0.0,0.0,9,11,276.0
2024-03-02 13:20:00,40,24,63,28,12,14,20,0.0,0.0,0.0,12,14,227.0
2024-03-02 13:30:00,52,36,81,25,9,6,14,0.0,0.0,0.0,6,8,237.0
2024-03-02 13:40:00,44,28,79,29,15,11,13,0.0,0.0,0.0,8,26,253.0
2024-03-02 13:50:00,55,39,56,23,9,11,13,0.0,0.0,0.0,10,9,225.0
2024-03-02 14:00:00,52,29,83,28,5,14,13,0.0,0.0,0.0,9,9,242.0
2024-03-02 14:10:00,48,26,29,23,19,15,17,0.0,0.0,0.0,16,9,202.0
2024-03-02 14:20:00,44,30,71,21,11,15,17,0.0,0.0,0.0,14,10,233.0
2024-03-02 14:30:00,41,27,70,26,10,15,13,0.0,0.0,0.0,12,13,227.0
2024-03-02 14:40:00,42,33,103,30,12,9,9,0.0,0.0,0.0,7,7,252.0
2024-03-02 14:50:00,40,32,147,36,7,5,17,0.0,0.0,0.0,4,10,298.0
2024-03-02 15:00:00,34,27,30,32,12,19,14,0.0,0.0,0.0,12,11,191.0
2024-03-02 15:10:00,39,32,52,39,13,8,10,0.0,0.0,0.0,10,16,219.0
2024-03-02 15:20:00,43,33,31,35,8,9,7,0.0,0.0,0.0,8,6,180.0
2024-03-02 15:30:00,42,23,31,32,14,6,9,0.0,0.0,0.0,5,8,170.0
2024-03-02 15:40:00,35,21,35,34,12,10,11,0.0,0.0,0.0,9,7,174.0
2024-03-02 15:50:00,44,28,92,29,8,16,18,0.0,0.0,0.0,10,12,257.0
2024-03-02 16:00:00,44,25,40,26,4,13,16,0.0,0.0,0.0,8,13,189.0
2024-03-02 16:10:00,44,31,65,28,9,13,14,0.0,0.0,0.0,10,8,222.0
2024-03-02 16:20:00,50,35,37,35,13,10,13,0.0,0.0,0.0,10,14,217.0
2024-03-02 16:30:00,30,31,32,27,14,10,9,0.0,0.0,0.0,7,10,170.0
2024-03-02 16:40:00,43,28,33,32,5,8,16,0.0,0.0,0.0,8,14,187.0
2024-03-02 16:50:00,41,28,38,33,8,13,18,0.0,0.0,0.0,9,11,199.0
2024-03-02 17:00:00,43,26,42,21,9,16,21,0.0,0.0,0.0,11,12,201.0
2024-03-02 17:10:00,34,27,144,33,12,11,21,0.0,0.0,0.0,12,16,310.0
2024-03-02 17:20:00,42,40,89,26,11,9,14,0.0,0.0,0.0,8,10,249.0
2024-03-02 17:30:00,35,31,62,29,11,5,9,0.0,0.0,0.0,10,7,199.0
2024-03-02 17:40:00,36,30,55,30,13,6,13,0.0,0.0,0.0,5,12,200.0
2024-03-02 17:50:00,50,23,87,28,10,20,13,0.0,0.0,0.0,18,14,263.0
2024-03-02 18:00:00,41,27,47,22,13,12,14,0.0,0.0,0.0,13,13,202.0
2024-03-02 18:10:00,49,25,34,36,17,11,19,0.0,0.0,0.0,11,15,217.0
2024-03-02 18:20:00,44,19,17,20,15,8,12,0.0,0.0,0.0,20,13,168.0
2024-03-02 18:30:00,58,21,20,28,24,11,17,0.0,0.0,0.0,13,15,207.0
2024-03-02 18:40:00,50,19,7,27,16,5,10,0.0,0.0,0.0,4,8,146.0
2024-03-02 18:50:00,55,18,3,19,16,14,14,0.0,0.0,0.0,19,18,176.0
2024-03-02 19:00:00,42,24,21,33,14,11,17,0.0,0.0,0.0,14,19,195.0
2024-03-02 19:10:00,52,16,38,28,9,16,22,0.0,0.0,0.0,12,11,204.0
2024-03-02 19:20:00,54,20,45,34,14,13,15,0.0,0.0,0.0,14,12,221.0
2024-03-02 19:30:00,56,20,79,37,13,11,15,0.0,0.0,0.0,14,11,256.0
2024-03-02 19:40:00,46,26,43,39,11,9,11,0.0,0.0,0.0,11,10,206.0
2024-03-02 19:50:00,61,23,28,33,14,9,20,0.0,0.0,0.0,10,15,213.0
2024-03-02 20:00:00,35,27,24,34,13,6,19,0.0,0.0,0.0,7,15,180.0
2024-03-02 20:10:00,38,22,51,29,11,7,7,0.0,0.0,0.0,8,6,179.0
2024-03-02 20:20:00,45,18,130,35,13,13,27,0.0,0.0,0.0,17,11,309.0
2024-03-02 20:30:00,42,28,17,20,15,10,17,0.0,0.0,0.0,13,16,178.0
2024-03-02 20:40:00,36,28,58,29,10,8,21,0.0,0.0,0.0,7,23,220.0
2024-03-02 20:50:00,29,21,26,23,9,5,8,0.0,0.0,0.0,8,8,137.0
2024-03-02 21:00:00,30,26,13,27,4,9,4,0.0,0.0,0.0,7,5,125.0
2024-03-02 21:10:00,29,20,41,25,9,14,8,0.0,0.0,0.0,15,10,171.0
2024-03-02 21:20:00,36,25,22,26,14,9,7,0.0,0.0,0.0,9,9,157.0
2024-03-02 21:30:00,24,19,70,20,6,5,7,0.0,0.0,0.0,9,5,165.0
2024-03-02 21:40:00,27,24,61,19,7,9,13,0.0,0.0,0.0,12,11,183.0
2024-03-02 21:50:00,26,20,22,24,14,7,9,0.0,0.0,0.0,9,7,138.0
2024-03-02 22:00:00,21,19,24,26,8,11,15,0.0,0.0,0.0,11,11,146.0
2024-03-02 22:10:00,35,23,25,23,7,6,4,0.0,0.0,0.0,8,7,138.0
2024-03-02 22:20:00,17,14,17,25,12,10,6,0.0,0.0,0.0,10,7,118.0
2024-03-02 22:30:00,35,38,18,28,15,14,10,0.0,0.0,0.0,18,9,185.0
2024-03-02 22:40:00,28,21,23,29,6,9,8,0.0,0.0,0.0,11,8,143.0
2024-03-02 22:50:00,27,23,19,31,11,5,10,0.0,0.0,0.0,5,8,139.0
2024-03-02 23:00:00,22,30,19,21,8,6,16,0.0,0.0,0.0,15,19,156.0
2024-03-02 23:10:00,25,28,17,19,4,7,12,0.0,0.0,0.0,9,11,132.0
2024-03-02 23:20:00,14,14,3,10,6,1,7,0.0,0.0,0.0,2,7,64.0
2024-03-02 23:30:00,23,17,17,24,7,6,6,0.0,0.0,0.0,10,3,113.0
2024-03-02 23:40:00,15,21,15,18,8,9,12,0.0,0.0,0.0,12,9,119.0
2024-03-02 23:50:00,10,13,8,15,4,7,7,0.0,0.0,0.0,9,10,83.0
2024-03-03 00:00:00,15,16,7,17,8,6,5,0.0,0.0,0.0,10,5,89.0
2024-03-03 00:10:00,26,27,16,17,4,10,10,0.0,0.0,0.0,9,14,133.0
2024-03-03 00:20:00,11,6,9,18,6,5,10,0.0,0.0,0.0,6,10,81.0
