datetime,D21Z,D23Z,D81Z,D111Z,D112Z,V24Z,V25Z,V51Z,V52Z,V83Z,V84Z,V113Z,V114Z,Total
2024-03-02 04:10:00,8,0,3,1,3,12,0,1,0,5,1,3,1,38
2024-03-02 04:20:00,5,0,6,2,3,8,3,4,1,11,2,2,0,47
2024-03-02 04:30:00,4,0,6,1,1,7,3,0,0,9,0,1,0,32
2024-03-02 04:40:00,3,0,11,1,0,5,1,1,1,17,0,1,0,41
2024-03-02 04:50:00,7,0,12,0,2,10,0,0,0,13,1,0,0,45
2024-03-02 05:00:00,2,0,15,2,0,3,0,0,0,18,0,3,0,43
2024-03-02 05:10:00,6,0,16,1,1,9,3,2,2,20,0,1,0,61
2024-03-02 05:20:00,12,0,18,4,5,17,0,5,3,18,1,4,1,88
2024-03-02 05:30:00,8,0,18,1,6,11,0,14,3,33,0,4,1,99
2024-03-02 05:40:00,11,0,20,3,6,17,5,8,2,17,9,5,2,105
2024-03-02 05:50:00,2,0,15,4,6,2,2,9,4,16,1,8,1,70
2024-03-02 06:00:00,14,0,12,2,1,18,0,3,4,11,1,4,0,70
2024-03-02 06:10:00,7,0,12,3,7,11,4,3,3,11,2,3,4,70
2024-03-02 06:20:00,4,0,15,6,4,4,1,7,6,24,1,7,2,81
2024-03-02 06:30:00,19,0,28,2,3,17,4,9,0,26,2,4,0,114
2024-03-02 06:40:00,11,0,19,2,4,19,4,8,5,17,0,3,1,93
2024-03-02 06:50:00,16,0,16,6,2,23,0,4,2,13,1,6,1,90
2024-03-02 07:00:00,18,1,21,2,2,9,0,7,0,18,0,2,1,81
2024-03-02 07:10:00,19,0,16,4,8,10,2,6,4,16,0,3,4,92
2024-03-02 07:20:00,20,2,26,2,4,12,5,10,8,20,4,2,2,117
2024-03-02 07:30:00,21,0,37,5,3,16,3,26,1,17,1,5,0,135
2024-03-02 07:40:00,19,0,34,3,9,17,4,9,5,24,3,3,3,133
2024-03-02 07:50:00,27,1,39,7,6,19,5,12,9,23,3,7,3,161
2024-03-02 08:00:00,18,0,31,9,6,10,3,10,0,17,3,8,3,118
2024-03-02 08:10:00,24,0,45,5,6,21,5,11,1,27,3,5,4,157
2024-03-02 08:20:00,27,0,43,9,10,15,2,11,0,18,1,9,2,147
2024-03-02 08:30:00,38,0,45,9,7,17,5,19,2,21,2,9,3,177
2024-03-02 08:40:00,32,2,64,6,7,24,9,16,14,27,1,6,5,213
2024-03-02 08:50:00,41,2,54,10,14,31,12,19,3,17,2,11,4,220
2024-03-02 09:00:00,30,1,53,10,6,24,6,12,6,24,3,10,3,188
2024-03-02 09:10:00,39,1,64,11,11,23,11,14,9,39,2,10,4,238
2024-03-02 09:20:00,64,1,68,10,11,31,11,11,5,21,8,12,8,261
2024-03-02 09:30:00,37,0,85,13,15,22,7,33,14,26,6,11,4,273
2024-03-02 09:40:00,68,0,82,15,9,29,5,23,12,26,5,12,3,289
2024-03-02 09:50:00,50,2,90,20,13,25,8,13,23,27,5,14,2,292
2024-03-02 10:00:00,57,1,66,9,12,29,12,19,12,22,4,13,7,263
2024-03-02 10:10:00,63,2,84,14,11,30,13,20,19,24,9,12,6,307
2024-03-02 10:20:00,61,1,82,16,11,24,7,18,6,29,5,16,7,283
2024-03-02 10:30:00,62,0,79,23,9,26,6,17,5,32,7,19,12,297
2024-03-02 10:40:00,56,0,100,19,10,33,14,20,18,34,10,12,16,342
2024-03-02 10:50:00,80,0,82,17,12,33,15,27,15,22,5,11,7,326
2024-03-02 11:00:00,68,0,94,20,12,29,10,16,5,20,7,15,6,302
2024-03-02 11:10:00,76,0,64,25,9,33,13,18,7,18,5,19,12,299
2024-03-02 11:20:00,66,0,87,15,22,29,14,25,14,22,10,13,6,323
2024-03-02 11:30:00,58,0,82,20,17,24,10,28,12,26,9,17,7,310
2024-03-02 11:40:00,79,1,77,18,20,34,21,24,9,26,12,12,8,341
2024-03-02 11:50:00,85,1,96,19,16,30,12,17,9,17,6,15,6,329
2024-03-02 12:00:00,75,0,66,15,12,28,10,29,8,29,3,9,8,292
2024-03-02 12:10:00,80,0,99,24,10,29,18,15,10,14,6,16,5,326
