datetime,D41Z,V42Z,D71Z,D81Z,D82Z,V83Z,V84Z,D811Z,D812Z,V813Z,V814Z,D111Z,D112Z,V113Z,V114Z,D115Z,D121Z,D122Z,V123Z,V124Z,D125Z,D126Z,V521Z,Total
2024-03-02 01:20:00,3,3,1,1,3,3,4,1,2,3,1,0,7,0,8,7,10,3,11,3,14,2,1,91
2024-03-02 01:30:00,2,3,1,1,4,2,2,3,3,3,5,0,6,0,9,8,13,6,11,8,15,5,1,111
2024-03-02 01:40:00,1,1,0,3,0,3,0,0,4,4,0,2,4,2,7,6,7,6,6,5,13,3,1,78
2024-03-02 01:50:00,3,3,0,3,2,5,2,2,5,8,3,1,2,0,5,2,13,4,10,4,18,3,4,102
2024-03-02 02:00:00,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2,3,9,1,7,1,9,0,1,37
2024-03-02 02:10:00,3,3,0,0,0,0,0,1,2,4,2,0,3,0,7,3,14,2,9,3,14,3,0,73
2024-03-02 02:20:00,3,6,0,2,2,2,2,2,4,4,3,1,4,0,8,5,8,2,8,2,9,1,2,80
2024-03-02 02:30:00,3,1,1,1,11,1,2,1,4,6,1,0,1,0,3,1,7,0,7,0,7,0,0,58
2024-03-02 02:40:00,2,2,1,1,2,2,2,2,3,3,3,0,3,0,6,4,6,1,6,1,6,1,0,57
2024-03-02 02:50:00,1,1,1,0,1,1,1,1,1,1,1,0,1,0,3,1,8,3,7,3,10,2,2,50
2024-03-02 03:00:00,0,0,0,3,1,4,1,0,3,4,0,1,2,1,5,1,7,0,9,1,8,0,0,51
2024-03-02 03:10:00,1,1,0,1,0,2,0,1,1,2,0,1,3,0,4,4,5,1,3,2,6,1,1,40
2024-03-02 03:20:00,1,2,0,2,1,3,6,1,4,3,3,2,0,3,6,1,6,3,6,4,10,1,1,69
2024-03-02 03:30:00,0,0,1,2,2,1,1,0,2,2,0,2,1,2,6,4,5,1,5,1,6,2,2,48
2024-03-02 03:40:00,2,2,0,1,2,2,5,2,3,4,3,0,1,1,6,3,8,0,9,0,8,0,0,62
2024-03-02 03:50:00,1,2,1,0,0,1,0,0,1,2,0,0,0,1,5,1,10,1,10,1,10,2,3,52
2024-03-02 04:00:00,0,1,1,1,1,1,1,0,0,0,0,1,4,1,5,5,5,2,4,2,8,1,0,44
2024-03-02 04:10:00,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5,1,6,1,6,4,1,29
2024-03-02 04:20:00,2,3,0,1,0,1,0,0,3,5,0,0,0,0,1,1,6,2,4,2,7,2,1,41
2024-03-02 04:30:00,1,1,0,0,1,0,1,0,1,0,0,2,1,1,2,2,1,0,1,0,1,0,1,17
