datetime,D11Z,D12Z,V13Z,V14Z,V15Z,D21Z,D22Z,V23Z,V24Z,D31Z,D32Z,V33Z,V34Z,V37Z,D41Z,D42Z,V43Z,V44Z,D35Z,D36Z,Total
2024-03-02 00:40:00,3,9,4,11,9,1,4,1,9,4,8,5,12,4,10,6,2,3,0.0,0.0,105.0
2024-03-02 00:50:00,3,6,6,9,7,3,3,4,3,5,8,6,12,4,10,6,3,6,0.0,0.0,104.0
2024-03-02 01:00:00,2,6,6,5,7,2,7,2,13,2,11,2,12,2,9,8,2,2,0.0,0.0,100.0
2024-03-02 01:10:00,1,6,3,11,6,2,2,0,3,1,4,3,7,1,5,4,0,0,0.0,0.0,59.0
2024-03-02 01:20:00,1,8,6,8,6,4,3,3,4,3,6,4,9,3,7,4,6,4,0.0,0.0,89.0
2024-03-02 01:30:00,1,5,1,6,4,2,2,4,2,1,7,1,8,1,7,6,1,2,0.0,0.0,61.0
2024-03-02 01:40:00,2,9,6,13,7,0,0,0,0,0,7,1,10,0,7,7,0,1,0.0,0.0,70.0
2024-03-02 01:50:00,5,8,7,10,7,1,1,1,2,1,2,2,7,1,3,2,0,1,0.0,0.0,61.0
2024-03-02 02:00:00,3,5,5,8,4,1,3,1,4,1,4,3,5,1,5,7,1,2,0.0,0.0,63.0
2024-03-02 02:10:00,4,4,3,7,4,1,2,1,2,5,5,7,12,5,8,2,2,4,0.0,0.0,78.0
2024-03-02 02:20:00,5,9,7,13,5,1,0,0,0,2,3,3,6,2,3,1,3,3,0.0,0.0,66.0
2024-03-02 02:30:00,2,5,7,6,4,0,3,0,6,2,4,2,8,2,5,4,1,2,0.0,0.0,63.0
2024-03-02 02:40:00,1,7,5,9,5,0,0,0,0,1,2,2,4,1,2,1,0,0,0.0,0.0,40.0
2024-03-02 02:50:00,0,4,3,6,2,1,1,2,2,2,8,5,11,2,9,7,3,2,0.0,0.0,70.0
2024-03-02 03:00:00,0,0,0,0,0,0,1,0,1,1,1,3,4,1,1,0,2,2,0.0,0.0,17.0
2024-03-02 03:10:00,0,6,3,8,5,3,1,5,0,1,5,2,5,1,5,5,0,1,0.0,0.0,56.0
2024-03-02 03:20:00,1,8,7,9,7,1,2,2,2,2,3,4,7,2,4,2,0,1,0.0,0.0,64.0
2024-03-02 03:30:00,0,3,2,3,3,2,1,4,1,2,4,4,5,2,4,2,1,2,0.0,0.0,45.0
2024-03-02 03:40:00,0,7,0,7,6,0,2,0,0,1,3,2,5,1,3,2,1,1,0.0,0.0,41.0
2024-03-02 03:50:00,0,3,1,3,3,0,2,0,3,0,5,1,5,0,5,5,0,1,0.0,0.0,37.0
2024-03-02 04:00:00,2,4,3,5,4,0,1,0,1,0,4,1,5,1,5,4,1,1,0.0,0.0,42.0
2024-03-02 04:10:00,1,3,4,3,2,1,2,1,6,3,6,3,7,2,6,4,2,2,0.0,0.0,58.0
2024-03-02 04:20:00,2,2,6,2,2,0,0,0,0,1,2,2,4,1,2,1,0,1,0.0,0.0,28.0
2024-03-02 04:30:00,1,2,3,2,1,2,1,3,1,0,5,0,7,0,5,5,0,0,0.0,0.0,38.0
2024-03-02 04:40:00,1,3,1,3,5,0,0,0,0,0,5,0,8,0,5,5,0,1,0.0,0.0,37.0
2024-03-02 04:50:00,1,1,1,1,1,0,2,0,3,2,4,1,3,2,4,3,2,1,0.0,0.0,32.0
2024-03-02 05:00:00,2,3,4,5,2,1,2,1,2,1,8,2,13,1,9,8,0,0,0.0,0.0,64.0
2024-03-02 05:10:00,3,3,7,10,4,0,0,0,0,4,16,8,21,4,17,14,1,1,0.0,0.0,113.0
2024-03-02 05:20:00,1,5,6,8,5,0,0,0,0,2,11,4,14,2,12,10,1,1,0.0,0.0,82.0
2024-03-02 05:30:00,1,6,5,9,6,2,2,3,1,10,26,11,29,9,27,19,1,1,0.0,0.0,168.0
2024-03-02 05:40:00,2,11,6,10,10,0,4,0,10,10,28,11,42,7,32,23,0,0,0.0,0.0,206.0
2024-03-02 05:50:00,1,8,3,9,8,0,1,0,2,4,10,5,15,3,12,9,1,1,0.0,0.0,92.0
