datetime,V11Z,V12Z,V13Z,D21Z,D22Z,D23Z,D24Z,D31Z,D32Z,D33Z,V41Z,V42Z,V43Z,V44Z,Total
2024-03-02 03:00:00,5,8,4,0,0,6,3,3,3,3,5,1,5,1,47
2024-03-02 03:10:00,4,7,5,0,0,2,4,1,3,2,2,3,5,1,39
2024-03-02 03:20:00,2,7,6,0,0,0,5,2,2,2,3,0,2,0,31
2024-03-02 03:30:00,0,6,3,0,0,2,4,1,3,4,8,1,4,3,39
2024-03-02 03:40:00,2,4,3,0,0,4,2,2,2,2,2,0,0,0,23
2024-03-02 03:50:00,5,3,6,0,0,6,1,0,6,3,5,3,6,2,46
2024-03-02 04:00:00,8,4,3,0,0,2,2,1,2,0,12,3,9,4,50
2024-03-02 04:10:00,3,3,3,0,0,3,2,3,3,1,3,1,2,4,31
2024-03-02 04:20:00,1,0,0,0,0,2,1,2,3,2,1,5,1,6,24
2024-03-02 04:30:00,2,1,1,0,0,1,3,3,7,2,4,4,4,6,38
2024-03-02 04:40:00,3,3,3,0,0,2,3,2,2,0,5,6,3,6,38
2024-03-02 04:50:00,3,3,4,0,0,5,4,3,9,3,1,6,0,5,46
2024-03-02 05:00:00,3,2,2,0,0,8,2,8,6,4,5,4,6,5,55
2024-03-02 05:10:00,3,6,4,0,0,7,5,5,9,5,6,6,8,1,65
2024-03-02 05:20:00,5,3,1,0,0,7,4,5,11,4,12,3,12,2,69
2024-03-02 05:30:00,2,5,3,0,0,18,4,10,9,9,11,6,7,8,92
2024-03-02 05:40:00,8,1,5,0,0,10,4,9,9,8,13,7,12,5,91
2024-03-02 05:50:00,4,7,4,0,0,10,4,5,7,10,9,3,7,2,72
2024-03-02 06:00:00,7,3,4,0,0,11,4,4,5,3,15,7,15,10,88
2024-03-02 06:10:00,7,3,2,0,0,11,2,6,6,5,11,3,14,5,75
2024-03-02 06:20:00,12,4,2,0,0,14,2,9,9,6,18,6,9,11,102
2024-03-02 06:30:00,20,7,7,0,0,10,5,9,9,4,16,4,7,3,101
2024-03-02 06:40:00,14,12,6,0,0,10,3,10,11,2,10,2,12,1,93
2024-03-02 06:50:00,8,7,4,0,0,9,2,11,11,4,9,7,10,4,86
2024-03-02 07:00:00,6,4,3,0,0,14,2,8,8,5,11,9,6,10,86
2024-03-02 07:10:00,4,7,7,0,0,7,7,8,5,6,16,8,12,6,93
2024-03-02 07:20:00,10,11,7,0,0,12,9,13,9,5,15,11,17,8,127
2024-03-02 07:30:00,14,9,8,0,0,20,4,10,5,8,24,6,20,3,131
2024-03-02 07:40:00,17,10,4,0,0,6,5,10,15,7,20,7,14,6,121
2024-03-02 07:50:00,9,16,11,0,0,20,4,14,17,6,23,7,20,7,154
2024-03-02 08:00:00,16,14,6,0,0,26,6,19,15,6,25,9,24,7,173
2024-03-02 08:10:00,13,14,10,0,0,23,12,19,17,5,25,10,24,11,183
2024-03-02 08:20:00,11,14,9,0,0,32,8,13,13,9,24,10,26,7,176
2024-03-02 08:30:00,16,15,11,0,0,44,5,23,19,12,22,10,32,8,217
2024-03-02 08:40:00,20,25,16,0,0,47,8,30,22,17,29,23,42,11,290
2024-03-02 08:50:00,21,20,16,0,0,27,9,18,9,20,30,11,32,12,225
2024-03-02 09:00:00,17,16,10,0,0,41,9,22,23,15,29,20,28,12,242
2024-03-02 09:10:00,16,31,15,0,0,44,9,23,27,17,34,20,47,12,295
2024-03-02 09:20:00,19,31,21,0,0,34,10,29,27,19,29,19,45,10,293
2024-03-02 09:30:00,22,23,15,0,0,34,12,32,31,16,16,15,41,11,268
2024-03-02 09:40:00,32,48,18,0,0,52,11,34,34,27,17,19,54,7,353
2024-03-02 09:50:00,27,50,17,0,0,46,7,41,28,14,19,19,62,8,338
2024-03-02 10:00:00,23,30,21,0,0,62,10,31,40,25,28,15,42,12,339
2024-03-02 10:10:00,32,36,12,0,0,56,17,35,29,22,35,13,49,5,341
2024-03-02 10:20:00,24,25,23,0,0,73,14,28,20,23,37,18,41,10,336
2024-03-02 10:30:00,26,40,22,0,0,62,13,37,31,18,30,31,52,18,380
2024-03-02 10:40:00,40,36,15,0,0,74,10,34,27,34,1,9,71,5,356
2024-03-02 10:50:00,28,39,19,0,0,57,21,41,35,17,37,18,53,11,376
2024-03-02 11:00:00,18,27,17,0,0,56,13,32,36,15,26,14,50,12,316
2024-03-02 11:10:00,31,46,22,0,0,54,17,39,43,18,23,19,51,10,373
2024-03-02 11:20:00,36,35,15,0,0,69,20,34,35,10,44,18,48,11,375
2024-03-02 11:30:00,42,34,16,0,0,61,12,37,31,25,38,22,46,12,376
2024-03-02 11:40:00,36,34,18,0,0,76,15,37,27,22,28,17,51,11,372
2024-03-02 11:50:00,30,29,20,0,0,62,17,33,20,24,39,22,59,12,367
2024-03-02 12:00:00,29,31,17,0,0,63,13,37,38,23,37,25,54,7,374
2024-03-02 12:10:00,33,32,14,0,0,85,11,48,37,24,48,23,53,9,417
2024-03-02 12:20:00,29,34,14,0,0,82,17,37,29,21,11,9,51,4,338
2024-03-02 12:30:00,41,51,12,0,0,67,18,41,43,16,35,11,51,0,386
2024-03-02 12:40:00,31,31,20,0,0,78,16,29,26,22,9,26,59,0,347
2024-03-02 12:50:00,39,42,28,0,0,74,12,46,42,20,27,19,46,0,395
2024-03-02 13:00:00,36,31,19,0,0,84,15,30,22,24,8,21,62,0,352
2024-03-02 13:10:00,39,46,18,0,0,56,19,29,35,20,24,24,47,0,357
2024-03-02 13:20:00,41,45,18,0,0,81,11,30,22,23,5,31,69,0,376
2024-03-02 13:30:00,33,43,15,0,0,61,12,25,32,23,4,24,53,0,325
2024-03-02 13:40:00,46,43,17,0,0,83,17,26,22,13,0,13,64,0,344
2024-03-02 13:50:00,36,58,19,0,0,67,13,37,29,23,0,2,47,0,331
2024-03-02 14:00:00,55,72,17,0,0,72,16,33,27,19,0,0,35,0,346
2024-03-02 14:10:00,48,60,12,0,0,84,15,35,30,22,0,0,52,1,359
2024-03-02 14:20:00,60,56,6,0,0,79,15,39,39,19,2,1,45,0,361
2024-03-02 14:30:00,38,52,10,0,0,61,11,32,28,19,1,4,43,1,300
2024-03-02 14:40:00,37,50,18,0,0,70,16,43,39,19,0,12,54,0,358
2024-03-02 14:50:00,42,55,14,0,0,88,10,44,38,14,3,34,63,0,405
2024-03-02 15:00:00,30,45,22,0,0,83,25,29,34,24,37,78,51,0,458
2024-03-02 15:10:00,32,48,14,0,0,80,14,33,32,17,26,27,60,0,383
2024-03-02 15:20:00,29,45,19,0,0,72,11,38,34,10,27,17,45,8,355
2024-03-02 15:30:00,27,42,19,0,0,76,9,31,28,24,32,20,45,11,364
2024-03-02 15:40:00,33,40,20,0,0,71,12,21,17,15,34,22,42,12,339
2024-03-02 15:50:00,27,36,15,0,0,52,16,30,37,19,33,28,38,14,345
2024-03-02 16:00:00,23,28,15,0,0,63,14,31,23,25,48,14,41,9,334
2024-03-02 16:10:00,27,34,20,0,0,60,13,23,25,16,26,30,31,11,316
2024-03-02 16:20:00,33,33,10,0,0,51,8,36,36,25,37,19,34,17,339
2024-03-02 16:30:00,24,29,16,0,0,65,10,21,31,22,33,21,41,10,323
2024-03-02 16:40:00,38,39,12,0,0,65,18,26,24,21,28,16,51,13,351
2024-03-02 16:50:00,33,41,18,0,0,67,8,27,25,23,37,17,35,11,342
2024-03-02 17:00:00,29,40,17,0,0,57,10,31,21,21,35,19,36,9,325
2024-03-02 17:10:00,27,43,29,0,0,68,13,36,34,20,22,22,47,17,378
2024-03-02 17:20:00,25,40,8,0,0,73,17,34,32,15,17,14,57,8,340
2024-03-02 17:30:00,32,36,18,0,0,68,8,32,48,27,21,13,51,7,361
2024-03-02 17:40:00,32,44,10,0,0,75,15,41,46,32,21,18,48,14,396
2024-03-02 17:50:00,28,48,11,0,0,80,10,40,41,30,26,20,54,9,397
2024-03-02 18:00:00,31,40,15,0,0,77,14,42,51,29,31,14,38,13,395
2024-03-02 18:10:00,44,31,8,0,0,72,15,48,53,15,22,30,43,18,399
2024-03-02 18:20:00,47,55,18,0,0,92,23,38,49,25,25,23,50,7,452
2024-03-02 18:30:00,24,32,34,0,0,82,18,26,31,20,30,30,48,18,393
2024-03-02 18:40:00,30,41,27,0,0,45,20,24,40,13,29,28,50,15,362
2024-03-02 18:50:00,28,43,43,0,0,64,10,32,51,15,12,33,41,7,379
2024-03-02 19:00:00,33,26,25,0,0,67,12,20,36,16,27,24,43,6,335
2024-03-02 19:10:00,27,38,21,0,0,55,10,22,32,18,32,24,29,12,320
2024-03-02 19:20:00,36,32,23,0,0,52,15,19,34,9,30,16,40,12,318
2024-03-02 19:30:00,38,38,26,0,0,66,6,22,23,19,35,19,33,18,343
2024-03-02 19:40:00,30,38,31,0,0,56,11,16,34,15,39,38,28,7,343
2024-03-02 19:50:00,21,40,26,0,0,45,12,16,27,17,29,19,40,13,305
2024-03-02 20:00:00,17,28,27,0,0,44,13,19,34,21,43,21,27,13,307
2024-03-02 20:10:00,23,28,19,0,0,46,11,9,15,12,26,17,32,17,255
2024-03-02 20:20:00,23,26,20,0,0,38,16,11,16,8,24,19,28,16,245
2024-03-02 20:30:00,23,25,28,0,0,41,12,12,19,11,22,14,26,18,251
2024-03-02 20:40:00,25,28,23,0,0,55,10,15,25,9,31,8,23,8,260
2024-03-02 20:50:00,21,26,17,0,0,39,12,15,26,9,27,13,37,15,257
2024-03-02 21:00:00,14,30,31,0,0,25,11,11,16,6,40,13,35,15,247
2024-03-02 21:10:00,20,22,14,0,0,33,8,10,19,10,30,14,23,17,220
2024-03-02 21:20:00,24,22,16,0,0,34,4,7,10,7,23,7,25,10,189
2024-03-02 21:30:00,7,21,17,0,0,35,7,5,12,4,31,12,27,14,192
2024-03-02 21:40:00,21,18,14,0,0,31,7,12,15,10,30,11,22,12,203
2024-03-02 21:50:00,11,17,16,0,0,27,8,9,7,6,27,8,19,8,163
2024-03-02 22:00:00,13,22,18,0,0,27,11,7,10,10,18,5,15,8,164
2024-03-02 22:10:00,19,14,14,0,0,25,7,14,16,4,21,11,19,8,172
2024-03-02 22:20:00,21,22,11,0,0,20,11,5,11,3,26,10,27,11,178
