datetime,V21Z,V22Z,V81Z,V82Z,D11Z,D12Z,Total
2024-03-03 14:50:00,0,30,0,36,0,0,66
2024-03-03 15:00:00,0,32,0,33,0,0,65
2024-03-03 15:10:00,0,29,0,29,1,0,59
2024-03-03 15:20:00,0,36,0,26,2,0,64
2024-03-03 15:30:00,0,30,0,25,1,0,56
2024-03-03 15:40:00,0,43,0,32,0,0,75
2024-03-03 15:50:00,0,29,0,34,2,0,65
2024-03-03 16:00:00,0,35,0,36,1,0,72
2024-03-03 16:10:00,0,37,0,37,1,0,75
2024-03-03 16:20:00,0,30,0,37,2,0,69
2024-03-03 16:30:00,0,39,0,32,2,0,73
2024-03-03 16:40:00,0,34,0,35,0,0,69
2024-03-03 16:50:00,0,31,0,38,1,0,70
2024-03-03 17:00:00,0,38,0,34,2,0,74
2024-03-03 17:10:00,0,36,0,32,0,0,68
2024-03-03 17:20:00,0,28,0,32,4,0,64
2024-03-03 17:30:00,0,37,0,31,0,0,68
2024-03-03 17:40:00,0,44,0,29,1,0,74
2024-03-03 17:50:00,0,37,0,36,1,0,74
2024-03-03 18:00:00,0,32,0,41,1,0,74
2024-03-03 18:10:00,0,27,0,37,0,0,64
2024-03-03 18:20:00,0,35,0,42,2,0,79
2024-03-03 18:30:00,0,37,0,55,18,0,110
2024-03-03 18:40:00,0,48,0,61,1,0,110
2024-03-03 18:50:00,0,45,0,58,1,0,104
2024-03-03 19:00:00,0,31,0,68,0,0,99
2024-03-03 19:10:00,0,45,0,61,2,0,108
2024-03-03 19:20:00,0,34,0,67,0,0,101
2024-03-03 19:30:00,0,29,0,39,1,0,69
2024-03-03 19:40:00,0,38,0,36,3,0,77
2024-03-03 19:50:00,0,25,0,66,1,0,92
2024-03-03 20:00:00,0,42,0,50,2,0,94
2024-03-03 20:10:00,0,38,0,42,1,0,81
2024-03-03 20:20:00,0,29,0,36,3,0,68
2024-03-03 20:30:00,0,25,0,58,1,0,84
2024-03-03 20:40:00,0,20,0,55,0,0,75
2024-03-03 20:50:00,0,30,0,67,5,0,102
2024-03-03 21:00:00,0,31,0,52,0,0,83
2024-03-03 21:10:00,0,10,0,53,0,0,63
2024-03-03 21:20:00,0,16,0,43,0,0,59
2024-03-03 21:30:00,0,20,0,55,0,0,75
2024-03-03 21:40:00,0,12,0,39,0,0,51
2024-03-03 21:50:00,0,15,0,44,0,0,59
2024-03-03 22:00:00,0,22,0,36,0,0,58
2024-03-03 22:10:00,0,20,0,46,0,0,66
2024-03-03 22:20:00,0,20,0,52,0,0,72
2024-03-03 22:30:00,0,10,0,26,1,0,37
2024-03-03 22:40:00,0,21,0,32,0,0,53
2024-03-03 22:50:00,0,25,0,22,0,0,47
2024-03-03 23:00:00,0,14,0,32,0,0,46
2024-03-03 23:10:00,0,13,0,36,0,0,49
2024-03-03 23:20:00,0,5,0,26,0,0,31
2024-03-03 23:30:00,0,11,0,20,0,0,31
2024-03-03 23:40:00,0,7,0,29,0,0,36
2024-03-03 23:50:00,0,11,0,18,0,0,29
2024-03-04 00:00:00,0,3,0,10,0,0,13
2024-03-04 00:10:00,0,9,0,17,1,0,27
2024-03-04 00:20:00,0,9,0,20,0,0,29
2024-03-04 00:30:00,0,3,0,17,1,0,21
2024-03-04 00:40:00,0,4,0,15,0,0,19
2024-03-04 00:50:00,0,7,0,6,0,0,13
2024-03-04 01:00:00,0,5,0,22,0,0,27
2024-03-04 01:10:00,0,3,0,9,0,0,12
2024-03-04 01:20:00,0,4,0,5,0,0,9
2024-03-04 01:30:00,0,1,0,8,0,0,9
2024-03-04 01:40:00,0,0,0,4,0,0,4
2024-03-04 01:50:00,0,2,0,16,0,0,18
2024-03-04 02:00:00,0,2,0,2,0,0,4
2024-03-04 02:10:00,0,4,0,6,0,0,10
2024-03-04 02:20:00,0,1,0,2,0,0,3
2024-03-04 02:30:00,0,1,0,3,0,0,4
2024-03-04 02:40:00,0,2,0,10,0,0,12
2024-03-04 02:50:00,0,5,0,7,0,0,12
2024-03-04 03:00:00,0,2,0,8,0,0,10
2024-03-04 03:10:00,0,2,0,8,0,0,10
2024-03-04 03:20:00,0,1,0,4,0,0,5
2024-03-04 03:30:00,0,3,0,10,0,0,13
2024-03-04 03:40:00,0,3,0,6,0,0,9
2024-03-04 03:50:00,0,2,0,0,0,0,2
2024-03-04 04:00:00,0,2,0,3,0,0,5
2024-03-04 04:10:00,0,4,0,19,1,0,24
2024-03-04 04:20:00,0,2,0,23,0,0,25
2024-03-04 04:30:00,0,3,0,28,0,0,31
2024-03-04 04:40:00,0,0,0,41,0,0,41
2024-03-04 04:50:00,0,8,0,56,0,0,64
2024-03-04 05:00:00,0,9,0,63,0,0,72
2024-03-04 05:10:00,0,14,0,79,1,0,94
2024-03-04 05:20:00,0,11,0,57,0,0,68
2024-03-04 05:30:00,0,22,0,79,0,0,101
2024-03-04 05:40:00,0,26,0,75,3,0,104
2024-03-04 05:50:00,0,33,0,71,4,0,108
2024-03-04 06:00:00,0,35,0,85,3,0,123
2024-03-04 06:10:00,0,31,0,69,4,0,104
