datetime,D11Z,V111Z,D12Z,V121Z,D21Z,V211Z,D23Z,D22Z,V221Z,D31Z,V311Z,D32Z,V321Z,D41Z,V411Z,D43Z,D42Z,V421Z,D44Z,Total
2024-03-02 10:30:00,22,11,38,27,4,12,22,0,7,32,0,18,6,28,33,19,17,19,11,326
2024-03-02 10:40:00,26,14,34,26,3,13,35,0,10,57,0,21,5,27,27,15,22,17,8,360
2024-03-02 10:50:00,31,15,42,28,6,17,34,0,7,50,3,22,4,18,24,16,15,15,12,359
2024-03-02 11:00:00,26,15,39,17,7,18,32,0,11,49,2,30,5,29,32,16,15,13,26,382
2024-03-02 11:10:00,28,16,37,26,5,20,35,0,11,55,2,28,10,22,32,18,15,12,9,381
2024-03-02 11:20:00,10,6,37,26,6,17,29,0,7,42,1,27,7,23,22,11,15,17,10,313
2024-03-02 11:30:00,24,16,39,24,6,25,38,0,10,50,5,23,8,29,33,16,12,16,7,381
2024-03-02 11:40:00,27,12,49,21,9,18,31,0,11,49,0,29,7,22,25,18,19,16,11,374
2024-03-02 11:50:00,23,18,58,42,5,18,31,0,10,58,5,15,5,23,24,20,12,16,12,395
2024-03-02 12:00:00,23,18,46,20,5,17,34,0,5,41,2,26,6,24,33,16,19,21,16,372
2024-03-02 12:10:00,25,12,48,21,10,17,39,0,16,29,3,25,4,20,20,21,21,21,11,363
2024-03-02 12:20:00,17,10,49,33,7,17,29,0,7,56,3,21,8,26,30,18,14,22,10,377
2024-03-02 12:30:00,19,12,46,23,9,14,27,0,9,47,7,16,6,37,35,14,16,13,8,358
2024-03-02 12:40:00,25,16,57,25,8,20,36,0,17,52,5,28,5,27,29,27,13,17,7,414
2024-03-02 12:50:00,27,18,56,29,7,21,32,0,12,47,6,28,7,29,36,18,14,17,9,413
2024-03-02 13:00:00,26,11,54,21,5,22,48,0,10,47,2,32,6,29,32,16,27,19,8,415
2024-03-02 13:10:00,29,19,45,26,3,20,29,0,8,52,7,27,8,28,34,17,21,25,14,412
2024-03-02 13:20:00,21,17,57,35,5,24,31,0,7,62,1,15,9,19,20,20,20,16,11,390
2024-03-02 13:30:00,19,13,49,22,5,18,46,0,6,62,1,28,6,20,33,16,17,22,11,394
2024-03-02 13:40:00,31,15,47,30,8,31,31,0,12,47,9,26,5,36,35,20,13,15,11,422
2024-03-02 13:50:00,23,13,53,32,6,24,48,0,14,36,5,25,6,23,30,17,18,19,15,407
2024-03-02 14:00:00,20,12,51,19,5,12,42,0,11,48,9,20,1,26,31,20,16,15,7,365
2024-03-02 14:10:00,24,12,75,20,6,25,47,0,18,55,6,19,7,24,29,16,15,21,11,430
2024-03-02 14:20:00,19,11,54,28,5,21,53,0,14,56,4,23,3,36,41,26,11,15,10,430
2024-03-02 14:30:00,18,17,51,29,3,19,32,0,10,36,9,19,6,26,30,22,21,17,9,374
2024-03-02 14:40:00,37,17,53,15,9,17,38,0,13,66,5,20,4,32,29,16,15,22,14,422
