datetime,D21Z,V22Z,D31Z,V32Z,D51Z,D52Z,V53Z,V54Z,D81Z,D82Z,D83Z,V84Z,V85Z,V86Z,Total
2024-03-02 04:00:00,9,9,1,4,1,1,2,1,0,7,2,0,2,7,46
2024-03-02 04:10:00,4,4,1,7,0,0,0,0,0,3,0,0,1,4,24
2024-03-02 04:20:00,4,4,0,3,0,0,0,0,0,7,1,0,1,8,28
2024-03-02 04:30:00,1,1,0,0,0,0,0,0,0,4,0,0,0,4,10
2024-03-02 04:40:00,6,6,1,1,0,0,0,0,0,4,2,0,2,4,26
2024-03-02 04:50:00,4,4,2,2,0,2,0,2,0,6,1,0,1,6,30
2024-03-02 05:00:00,5,5,0,3,0,0,0,0,0,5,1,0,1,6,26
2024-03-02 05:10:00,12,11,2,4,0,0,0,0,0,7,1,0,2,8,47
2024-03-02 05:20:00,7,7,1,2,0,2,0,0,1,11,2,1,2,12,48
2024-03-02 05:30:00,8,7,2,6,0,0,0,0,0,6,1,0,1,8,39
2024-03-02 05:40:00,9,8,0,1,1,2,2,3,0,6,2,1,2,8,45
2024-03-02 05:50:00,5,3,2,3,0,1,0,2,0,2,1,0,1,3,23
2024-03-02 06:00:00,6,7,0,1,0,1,0,2,0,7,2,0,2,6,34
2024-03-02 06:10:00,12,12,4,5,1,1,3,3,0,4,1,0,1,4,51
2024-03-02 06:20:00,13,14,1,2,1,2,2,4,0,5,1,0,1,6,52
2024-03-02 06:30:00,8,6,0,0,0,3,0,4,0,5,2,0,2,5,35
2024-03-02 06:40:00,8,8,0,0,0,6,0,5,0,7,4,0,4,9,51
2024-03-02 06:50:00,15,11,1,1,1,1,1,1,0,7,1,0,1,8,49
2024-03-02 07:00:00,8,9,2,1,2,0,2,2,1,10,5,2,7,10,61
2024-03-02 07:10:00,8,8,0,0,2,3,3,3,1,9,2,1,1,10,51
2024-03-02 07:20:00,13,13,0,0,0,4,2,4,0,14,1,0,1,14,66
2024-03-02 07:30:00,14,13,0,0,1,5,1,4,2,20,4,3,4,15,86
2024-03-02 07:40:00,8,8,0,0,0,1,0,3,1,13,6,1,5,13,59
2024-03-02 07:50:00,15,15,1,1,3,4,6,7,0,13,8,1,8,12,94
2024-03-02 08:00:00,20,20,4,3,0,7,0,4,3,21,4,4,4,19,113
2024-03-02 08:10:00,15,15,1,1,1,7,1,5,3,20,12,2,9,19,111
2024-03-02 08:20:00,25,20,2,2,4,7,4,9,2,23,11,2,8,17,136
2024-03-02 08:30:00,22,20,6,2,3,9,3,7,4,18,4,4,5,15,122
2024-03-02 08:40:00,33,22,3,2,2,4,2,6,1,21,7,1,6,16,126
2024-03-02 08:50:00,31,18,3,2,5,7,5,9,2,20,12,8,10,12,144
2024-03-02 09:00:00,40,27,3,3,6,12,6,10,4,27,14,6,9,22,189
2024-03-02 09:10:00,27,24,4,3,3,7,3,4,6,30,15,7,16,21,170
2024-03-02 09:20:00,40,25,6,6,8,14,7,10,6,29,18,10,9,16,204
2024-03-02 09:30:00,45,29,3,3,7,15,6,13,8,35,18,7,15,23,227
2024-03-02 09:40:00,67,41,4,3,11,11,11,9,7,44,16,7,17,29,277
2024-03-02 09:50:00,34,26,7,9,9,24,10,15,8,47,29,9,21,23,271
2024-03-02 10:00:00,45,36,11,10,12,18,10,13,2,41,20,3,16,22,259
2024-03-02 10:10:00,51,28,7,5,15,14,11,13,2,34,22,2,16,15,235
2024-03-02 10:20:00,52,22,9,9,9,17,10,15,4,44,28,6,17,10,252
2024-03-02 10:30:00,43,30,6,5,8,16,9,11,8,41,23,11,18,20,249
2024-03-02 10:40:00,50,31,8,7,8,11,11,9,8,38,24,6,14,16,241
2024-03-02 10:50:00,55,32,11,11,11,19,11,15,7,56,38,9,20,23,318
2024-03-02 11:00:00,70,37,5,6,10,14,7,18,8,42,22,8,17,21,285
