datetime,D21Z,D22Z,V23Z,V24Z,D31Z,V32Z,D33Z,D51Z,D52Z,V53Z,D61Z,D62Z,V63Z,V64Z,D81Z,D82Z,V83Z,V84Z,D91Z,V92Z,D111Z,D112Z,V113Z,V114Z,D121Z,V122Z,Total
2024-03-01 14:40:00,24,72,17,2,15,13,14,31,34,13,29,0,10,13,0,87,95,21,31,12,10,37,9,6,9,0,604
2024-03-01 14:50:00,10,59,10,17,24,7,14,23,23,20,23,0,7,4,0,102,37,26,18,9,12,31,11,6,8,0,501
2024-03-01 15:00:00,11,66,4,21,12,12,13,21,21,26,37,0,22,1,0,84,34,27,16,12,11,32,13,8,7,0,511
2024-03-01 15:10:00,19,47,18,18,16,12,14,26,24,19,23,0,6,7,0,88,30,24,28,9,7,47,5,8,7,0,502
2024-03-01 15:20:00,16,75,16,16,14,11,10,22,24,14,22,0,13,3,0,75,18,19,19,11,8,38,7,9,6,0,466
2024-03-01 15:30:00,6,85,8,15,10,10,10,19,19,10,26,0,10,10,0,89,29,30,19,11,5,33,5,2,6,0,467
2024-03-01 15:40:00,15,70,5,10,24,11,13,35,39,17,21,0,17,4,0,79,37,28,14,12,9,30,9,6,4,0,509
2024-03-01 15:50:00,13,75,3,10,12,9,12,27,28,11,23,0,8,1,0,79,29,27,14,9,10,32,9,6,7,0,454
2024-03-01 16:00:00,12,65,10,25,14,9,16,16,16,15,35,0,18,1,0,101,31,29,23,7,6,24,6,7,5,0,491
2024-03-01 16:10:00,11,53,10,8,9,8,8,27,26,14,22,0,18,2,0,81,27,16,17,15,10,32,8,6,6,0,434
2024-03-01 16:20:00,10,87,7,4,15,8,11,21,20,8,29,0,14,4,0,89,43,32,16,9,6,41,7,7,7,0,495
2024-03-01 16:30:00,10,60,6,20,23,6,10,23,23,15,32,0,10,3,0,90,48,21,16,8,7,27,6,8,9,0,481
2024-03-01 16:40:00,13,71,6,10,16,10,12,20,18,15,29,0,14,4,0,67,20,23,17,8,7,36,12,7,5,0,440
2024-03-01 16:50:00,10,72,18,21,17,10,14,28,34,22,23,0,16,1,0,78,31,27,15,8,5,32,9,7,4,0,502
2024-03-01 17:00:00,10,84,3,14,14,10,14,13,12,7,25,0,19,1,0,77,31,31,15,20,11,27,6,5,8,0,457
2024-03-01 17:10:00,13,73,7,11,9,8,8,23,24,21,31,2,10,2,0,95,45,44,20,9,8,31,12,9,9,0,524
2024-03-01 17:20:00,7,64,11,8,15,14,18,27,27,21,23,0,18,5,0,82,33,29,15,11,5,28,5,4,6,0,476
2024-03-01 17:30:00,15,65,12,18,16,12,16,18,18,17,25,0,14,0,0,77,38,20,15,4,11,24,11,8,7,0,461
2024-03-01 17:40:00,15,63,11,14,11,9,11,22,21,14,27,0,9,0,0,67,34,24,15,6,5,27,6,6,5,0,422
2024-03-01 17:50:00,19,64,7,16,13,9,23,19,17,13,21,0,14,1,0,64,25,31,21,8,9,41,8,8,5,0,456
2024-03-01 18:00:00,11,61,22,24,18,14,14,24,25,15,34,0,12,4,0,80,29,26,28,10,8,36,11,3,9,0,518
2024-03-01 18:10:00,10,58,18,14,14,6,26,25,26,16,22,0,10,1,0,89,42,36,19,7,4,28,2,9,4,0,486
2024-03-01 18:20:00,14,74,6,16,15,14,18,29,29,18,19,0,31,14,0,91,43,25,18,16,11,30,18,3,6,0,558
2024-03-01 18:30:00,9,64,18,22,16,18,15,17,20,20,21,1,27,4,0,80,37,27,18,6,10,23,16,10,4,0,503
2024-03-01 18:40:00,14,69,20,13,24,13,20,26,24,14,15,0,15,5,0,76,36,23,40,9,6,29,14,9,5,0,519
2024-03-01 18:50:00,8,61,19,12,23,27,29,16,15,20,15,0,32,6,0,77,25,19,23,13,13,41,20,6,7,0,527
2024-03-01 19:00:00,7,63,16,20,10,18,12,23,23,25,22,0,23,8,0,76,31,19,25,8,70,36,9,12,8,0,564
2024-03-01 19:10:00,9,67,15,11,17,13,15,14,12,10,19,0,18,2,0,68,25,18,18,10,4,35,6,11,5,0,422
2024-03-01 19:20:00,8,61,4,15,10,21,15,13,14,17,22,0,24,5,0,65,24,20,14,8,8,18,16,7,3,0,412
2024-03-01 19:30:00,6,59,9,11,10,12,9,20,19,18,16,0,25,6,0,56,21,16,14,7,5,17,8,4,4,0,372
2024-03-01 19:40:00,9,54,14,17,4,5,6,18,18,18,11,0,17,4,0,64,33,24,23,12,4,19,14,4,2,0,394
2024-03-01 19:50:00,4,46,6,23,14,14,14,22,22,25,16,0,26,4,0,52,22,20,14,5,2,23,3,8,6,0,391
2024-03-01 20:00:00,4,57,2,15,17,16,13,9,8,12,23,0,23,2,0,67,25,27,17,4,6,21,17,5,1,0,391
2024-03-01 20:10:00,6,49,6,26,13,9,13,11,10,12,18,0,26,5,0,61,26,34,17,6,8,13,5,5,5,0,384
2024-03-01 20:20:00,5,62,2,22,11,19,10,10,10,12,16,0,16,2,0,55,22,25,7,6,3,17,8,6,4,0,350
2024-03-01 20:30:00,9,54,9,21,18,17,17,10,13,16,6,0,14,5,0,46,16,22,14,9,4,15,3,4,5,0,347
2024-03-01 20:40:00,3,41,2,17,7,8,7,8,7,7,11,0,19,4,0,41,12,30,12,7,3,15,5,3,1,0,270
2024-03-01 20:50:00,9,40,11,15,6,8,4,10,9,14,5,0,14,3,0,39,15,19,19,6,0,14,2,4,6,0,272
2024-03-01 21:00:00,1,41,9,14,6,10,8,8,8,9,7,0,11,4,0,41,13,26,8,8,7,9,10,5,16,0,279
2024-03-01 21:10:00,7,48,9,23,7,13,9,11,11,13,12,0,17,3,0,44,14,25,9,5,2,17,2,7,1,0,309
2024-03-01 21:20:00,7,35,6,22,12,10,15,10,10,6,16,0,26,3,0,32,12,19,18,7,4,10,7,3,7,0,297
2024-03-01 21:30:00,1,39,2,23,8,9,6,30,37,21,16,0,20,4,0,50,21,30,12,11,2,3,9,1,6,0,361
2024-03-01 21:40:00,5,40,4,18,7,6,14,24,23,19,16,0,22,6,0,70,18,31,22,22,2,12,6,5,8,0,400
2024-03-01 21:50:00,1,33,3,16,4,6,6,18,17,27,15,0,19,2,0,39,15,25,15,11,4,11,6,2,4,0,299
2024-03-01 22:00:00,8,44,7,17,8,12,6,19,22,26,13,0,25,7,0,46,14,27,9,7,2,2,4,0,3,0,328
2024-03-01 22:10:00,4,41,10,18,5,2,5,16,13,22,11,0,19,0,0,34,10,26,6,4,4,16,13,4,6,0,289
2024-03-01 22:20:00,7,47,8,13,8,8,7,14,16,12,9,0,13,2,0,38,15,30,45,6,2,12,3,3,0,0,318
2024-03-01 22:30:00,2,25,5,13,7,8,9,9,7,12,16,0,20,4,0,43,15,28,9,5,3,13,8,3,2,0,266
2024-03-01 22:40:00,6,36,8,13,1,1,2,9,9,14,8,0,14,1,0,33,11,19,13,8,2,7,4,1,1,0,221
2024-03-01 22:50:00,1,40,4,22,6,7,10,4,5,7,6,0,8,4,0,41,18,33,8,6,5,10,10,3,1,0,259
2024-03-01 23:00:00,2,35,2,23,12,8,12,10,11,16,12,0,20,1,0,36,11,26,11,2,2,10,3,1,3,0,269
2024-03-01 23:10:00,7,30,7,15,3,3,3,14,13,21,9,0,11,5,0,32,18,24,21,8,147,12,11,4,2,0,420
2024-03-01 23:20:00,2,28,7,15,12,13,12,15,17,23,13,0,20,3,0,27,14,16,6,5,4,4,5,1,4,0,266
2024-03-01 23:30:00,1,24,7,13,7,5,2,6,6,7,11,0,18,2,0,25,7,18,7,5,1,7,2,3,4,0,188
2024-03-01 23:40:00,4,21,1,13,2,1,1,12,13,12,6,0,18,3,0,34,12,23,15,6,4,2,7,1,2,0,213
2024-03-01 23:50:00,1,26,0,18,5,7,2,11,11,11,11,0,13,5,0,20,7,18,9,6,2,3,1,0,2,0,189
2024-03-02 00:00:00,2,19,8,24,4,7,4,4,5,8,9,0,13,0,0,22,2,18,6,6,1,3,1,1,2,0,169
2024-03-02 00:10:00,4,18,6,25,0,0,10,5,4,8,4,0,7,3,0,26,12,21,12,4,3,6,1,1,2,0,182
2024-03-02 00:20:00,7,21,6,15,3,1,1,2,2,3,8,0,11,4,0,18,4,14,8,2,4,7,3,1,2,0,147
2024-03-02 00:30:00,2,23,6,13,1,0,1,4,4,6,6,0,10,3,0,16,7,13,6,1,3,8,2,0,2,0,137
2024-03-02 00:40:00,1,15,1,11,1,1,1,5,5,9,6,0,11,1,0,14,3,11,13,2,1,5,1,1,0,0,119
2024-03-02 00:50:00,1,10,2,13,3,1,2,2,2,2,4,0,5,1,0,22,5,18,11,3,1,3,0,0,3,0,114
2024-03-02 01:00:00,4,16,6,12,5,7,5,4,4,6,4,0,6,5,0,14,2,10,7,3,1,1,0,0,4,0,126
2024-03-02 01:10:00,1,15,4,15,7,3,1,1,1,3,2,0,4,1,0,17,4,13,14,4,1,2,2,0,1,0,116
2024-03-02 01:20:00,3,16,5,22,3,2,1,3,3,3,2,0,7,0,0,12,2,12,6,5,4,4,1,0,1,0,117
2024-03-02 01:30:00,2,11,3,14,4,6,2,2,3,4,2,0,3,3,0,16,4,12,7,3,4,2,2,0,2,0,111
2024-03-02 01:40:00,1,8,4,7,4,0,1,0,0,0,2,0,3,0,0,16,6,10,14,0,0,0,0,0,0,0,76
2024-03-02 01:50:00,1,13,2,12,3,3,3,1,0,1,4,0,5,0,0,8,1,6,5,3,1,0,2,0,0,0,74
2024-03-02 02:00:00,2,8,4,9,2,2,2,4,4,5,5,0,7,1,0,6,4,3,2,1,0,2,0,0,0,0,73
2024-03-02 02:10:00,2,17,4,15,0,0,0,2,2,2,3,0,6,0,0,11,3,8,7,1,0,6,0,0,1,0,90
2024-03-02 02:20:00,3,11,4,11,5,2,2,2,2,2,0,0,1,0,0,7,2,6,2,0,0,5,0,0,2,0,69
2024-03-02 02:30:00,0,7,1,7,1,1,1,3,4,4,2,0,3,0,0,8,0,9,6,2,1,3,1,0,0,0,64
2024-03-02 02:40:00,1,7,1,5,6,3,11,1,0,0,2,0,2,0,0,8,2,6,8,0,4,2,2,0,1,0,72
2024-03-02 02:50:00,0,8,0,9,1,1,1,2,3,4,3,0,6,4,0,16,3,13,8,3,2,1,4,0,0,0,92
2024-03-02 03:00:00,2,8,4,12,0,0,1,3,1,2,3,0,4,1,0,7,1,7,1,1,0,4,0,0,0,0,62
2024-03-02 03:10:00,0,8,0,9,1,0,0,3,3,3,0,0,3,0,0,8,3,9,6,0,0,0,0,0,1,0,57
2024-03-02 03:20:00,0,8,0,7,2,0,0,1,1,2,1,0,2,1,0,7,2,5,4,1,4,3,0,0,0,0,51
2024-03-02 03:30:00,1,8,4,8,2,1,2,0,0,1,2,0,4,2,0,4,2,5,6,0,0,2,0,0,1,0,55
2024-03-02 03:40:00,1,6,2,10,2,2,1,0,0,0,3,0,3,3,0,10,4,9,9,0,1,3,0,0,1,0,70
2024-03-02 03:50:00,2,7,2,8,2,0,3,3,3,4,1,0,6,0,0,6,4,4,3,1,0,1,0,0,1,0,61
2024-03-02 04:00:00,0,9,2,13,1,2,2,1,1,1,2,0,2,2,0,7,2,7,4,1,0,0,0,0,1,0,60
2024-03-02 04:10:00,0,3,0,5,2,0,0,0,0,0,2,0,3,3,0,9,3,8,8,1,0,5,0,0,0,0,52
2024-03-02 04:20:00,1,4,2,5,2,2,2,0,0,0,0,0,0,0,0,6,2,5,3,0,0,0,0,0,0,0,34
2024-03-02 04:30:00,0,6,0,6,0,0,0,0,0,0,1,0,1,2,0,2,0,2,2,0,0,0,0,0,0,0,22
2024-03-02 04:40:00,1,4,1,5,0,0,1,0,0,0,3,0,4,0,0,5,3,4,6,0,0,0,0,0,0,0,37
