datetime,D11Z,D12Z,D21Z,D22Z,D52Z,D81Z,D111Z,D112Z,D113Z,D114Z,Total
2024-03-02 23:50:00,5,4,9,13,17,0,9,12,8,9,86
2024-03-03 00:00:00,6,8,13,16,16,1,4,9,4,9,86
2024-03-03 00:10:00,5,5,4,9,14,1,9,6,9,2,64
2024-03-03 00:20:00,3,5,6,9,16,1,8,9,10,9,76
2024-03-03 00:30:00,2,2,7,9,16,1,13,12,14,9,85
2024-03-03 00:40:00,9,8,4,11,11,0,10,8,10,10,81
2024-03-03 00:50:00,1,1,4,5,18,1,2,2,2,2,38
2024-03-03 01:00:00,1,1,2,3,13,0,6,6,6,4,42
2024-03-03 01:10:00,3,2,3,5,8,1,9,4,9,4,48
2024-03-03 01:20:00,1,1,4,6,5,0,4,7,5,6,39
2024-03-03 01:30:00,5,7,4,12,12,0,2,7,2,5,56
2024-03-03 01:40:00,2,3,9,9,7,2,4,6,3,5,50
2024-03-03 01:50:00,5,4,4,7,8,1,3,4,3,5,44
2024-03-03 02:00:00,1,1,1,1,5,0,0,2,2,2,15
2024-03-03 02:10:00,2,2,3,6,8,0,4,4,5,4,38
2024-03-03 02:20:00,1,2,3,5,10,0,2,4,2,3,32
2024-03-03 02:30:00,0,2,3,4,4,1,2,5,2,4,27
2024-03-03 02:40:00,4,5,4,7,7,0,3,4,5,5,44
2024-03-03 02:50:00,0,1,5,5,5,2,2,1,2,0,23
2024-03-03 03:00:00,1,2,0,1,2,0,2,2,2,2,14
2024-03-03 03:10:00,1,0,2,2,5,0,3,5,3,1,22
2024-03-03 03:20:00,2,2,0,2,1,0,2,2,2,1,14
2024-03-03 03:30:00,1,1,3,3,9,0,4,3,4,3,31
2024-03-03 03:40:00,1,1,4,4,6,2,2,3,3,4,30
2024-03-03 03:50:00,0,0,3,4,5,0,1,1,1,0,15
2024-03-03 04:00:00,3,2,3,3,5,0,2,4,3,2,27
2024-03-03 04:10:00,0,0,4,3,5,1,2,4,2,5,26
2024-03-03 04:20:00,1,1,2,3,5,0,3,4,3,4,26
2024-03-03 04:30:00,2,1,3,4,7,1,5,6,5,3,37
2024-03-03 04:40:00,1,1,2,5,9,0,1,3,1,5,28
2024-03-03 04:50:00,1,1,1,2,2,1,5,3,5,3,24
2024-03-03 05:00:00,1,1,3,5,6,2,4,5,6,4,37
2024-03-03 05:10:00,4,3,5,7,6,0,6,8,6,10,55
2024-03-03 05:20:00,1,1,3,5,5,1,9,10,10,7,52
2024-03-03 05:30:00,3,3,3,5,2,1,13,12,12,8,62
2024-03-03 05:40:00,4,3,3,6,6,0,9,6,10,1,48
2024-03-03 05:50:00,3,3,4,5,8,1,9,8,7,4,52
2024-03-03 06:00:00,2,3,1,3,6,0,4,4,4,4,31
2024-03-03 06:10:00,2,2,2,4,8,1,7,4,7,3,40
2024-03-03 06:20:00,0,0,3,3,7,0,7,2,7,3,32
2024-03-03 06:30:00,0,2,4,4,7,0,4,3,5,3,32
2024-03-03 06:40:00,3,3,3,8,8,1,6,7,6,6,51
2024-03-03 06:50:00,1,1,2,2,9,0,3,5,2,5,30
