datetime,D11Z,D12Z,D13Z,D14Z,V15Z,V16Z,V17Z,D21Z,D22Z,D23Z,D24Z,V26Z,V27Z,V28Z,V29Z,D31Z,D32Z,D33Z,D34Z,V36Z,V37Z,V38Z,V39Z,V40Z,V41Z,V42Z,D43Z,V45Z,V46Z,V47Z,V48Z,Total
2024-03-01 15:10:00,5,52,35,32,14,17,17,8,41,22,23,8,20,12,16,12,32,26,22,11,21,18,15,0,43,34,22,14,25,18,21,656
2024-03-01 15:20:00,51,37,25,26,15,12,15,12,39,17,28,15,20,13,15,10,26,25,21,6,19,19,12,0,36,23,18,16,25,14,12,622
2024-03-01 15:30:00,7,54,23,19,21,17,12,14,42,39,19,12,17,12,13,11,22,26,20,11,12,12,9,0,46,34,22,10,19,20,12,607
2024-03-01 15:40:00,4,37,24,29,15,15,15,23,42,33,17,12,15,28,14,8,31,30,24,9,19,20,14,0,36,28,16,8,16,20,11,613
2024-03-01 15:50:00,5,58,29,97,13,9,12,14,34,25,23,16,26,17,17,11,26,22,22,5,16,14,9,0,40,30,23,14,24,22,13,686
2024-03-01 16:00:00,5,36,23,19,13,17,14,6,40,27,10,7,66,14,8,13,20,22,16,13,19,20,13,0,44,23,17,8,25,13,13,584
2024-03-01 16:10:00,10,34,59,28,14,19,13,11,32,25,15,10,22,25,13,14,26,16,24,10,17,11,14,0,34,26,11,9,18,11,9,580
2024-03-01 16:20:00,5,49,17,14,19,10,10,9,35,23,16,14,23,22,11,19,34,33,24,15,28,21,16,0,31,23,12,10,21,14,8,586
2024-03-01 16:30:00,5,34,28,11,17,18,14,7,44,22,20,16,32,19,13,16,28,23,23,19,17,14,10,0,27,20,16,10,19,10,12,564
2024-03-01 16:40:00,8,35,25,18,15,13,9,11,46,26,11,11,28,18,9,7,23,16,30,7,19,15,24,0,30,25,11,9,23,14,11,547
2024-03-01 16:50:00,5,34,31,14,11,19,11,9,30,22,22,12,21,22,15,13,29,29,29,10,19,20,13,0,37,32,18,14,20,16,7,584
2024-03-01 17:00:00,13,34,23,19,16,17,16,8,35,21,20,9,25,22,11,11,25,195,26,10,15,19,17,0,36,32,14,7,19,24,14,753
