datetime,D11Z,D12Z,D21Z,D22Z,D23Z,D31Z,D32Z,Total
2024-03-03 09:30:00,8,24,15,12,0,18,23,100
2024-03-03 09:40:00,12,29,24,10,0,18,30,123
2024-03-03 09:50:00,10,25,25,9,0,29,20,118
2024-03-03 10:00:00,9,26,25,12,0,33,35,140
2024-03-03 10:10:00,9,23,15,14,0,26,29,116
2024-03-03 10:20:00,9,24,20,12,0,25,30,120
2024-03-03 10:30:00,5,26,20,19,0,34,28,132
2024-03-03 10:40:00,12,26,28,22,0,41,40,169
2024-03-03 10:50:00,11,31,21,17,0,31,37,148
2024-03-03 11:00:00,10,35,27,12,0,34,35,153
2024-03-03 11:10:00,10,24,29,22,0,42,34,161
2024-03-03 11:20:00,11,41,22,13,0,50,47,184
2024-03-03 11:30:00,13,31,21,14,0,37,32,148
2024-03-03 11:40:00,9,43,34,25,0,55,43,209
2024-03-03 11:50:00,5,33,24,21,0,37,32,152
2024-03-03 12:00:00,11,52,36,18,0,57,52,226
2024-03-03 12:10:00,2,42,31,21,0,53,46,195
2024-03-03 12:20:00,5,38,36,13,0,52,49,193
2024-03-03 12:30:00,14,50,42,16,0,53,32,207
2024-03-03 12:40:00,9,45,34,16,0,41,41,186
2024-03-03 12:50:00,12,49,29,22,0,39,40,191
2024-03-03 13:00:00,9,57,28,18,0,44,39,195
2024-03-03 13:10:00,16,57,49,37,0,53,71,283
2024-03-03 13:20:00,11,54,27,18,0,37,61,208
2024-03-03 13:30:00,10,49,31,27,0,48,71,236
2024-03-03 13:40:00,18,49,42,22,0,43,58,232
2024-03-03 13:50:00,8,53,33,20,0,32,56,202
2024-03-03 14:00:00,11,38,35,21,0,25,49,179
2024-03-03 14:10:00,13,46,35,21,0,26,55,196
2024-03-03 14:20:00,5,51,38,30,0,27,55,206
2024-03-03 14:30:00,6,42,38,25,0,40,52,203
2024-03-03 14:40:00,7,28,32,18,0,24,47,156
2024-03-03 14:50:00,15,35,41,21,0,45,55,212
2024-03-03 15:00:00,8,42,39,17,0,32,37,175
2024-03-03 15:10:00,12,51,34,20,0,36,47,200
2024-03-03 15:20:00,7,39,36,19,0,54,41,196
2024-03-03 15:30:00,16,43,31,21,0,67,38,216
2024-03-03 15:40:00,18,53,34,28,0,88,44,265
2024-03-03 15:50:00,5,34,41,22,0,63,33,198
2024-03-03 16:00:00,12,32,27,20,0,59,28,178
2024-03-03 16:10:00,24,40,49,24,0,61,38,236
2024-03-03 16:20:00,18,34,32,18,0,56,26,184
2024-03-03 16:30:00,18,41,26,25,0,38,51,199
2024-03-03 16:40:00,21,36,41,18,0,26,55,197
2024-03-03 16:50:00,11,38,35,14,0,29,25,152
2024-03-03 17:00:00,17,32,41,21,0,24,26,161
2024-03-03 17:10:00,18,33,40,21,0,20,22,154
2024-03-03 17:20:00,4,47,38,27,0,23,31,170
2024-03-03 17:30:00,0,49,35,17,0,30,43,174
2024-03-03 17:40:00,0,44,33,19,0,25,33,154
2024-03-03 17:50:00,2,44,47,34,0,34,29,190
2024-03-03 18:00:00,2,41,31,26,0,28,26,154
2024-03-03 18:10:00,19,34,32,23,0,24,28,160
2024-03-03 18:20:00,39,32,49,23,0,36,43,222
2024-03-03 18:30:00,17,41,32,18,0,35,22,165
2024-03-03 18:40:00,19,27,38,23,0,36,35,178
2024-03-03 18:50:00,19,40,33,20,0,50,36,198
2024-03-03 19:00:00,28,38,36,24,0,36,34,196
2024-03-03 19:10:00,31,33,32,24,0,42,31,193
2024-03-03 19:20:00,29,38,26,15,0,44,21,173
2024-03-03 19:30:00,13,34,28,21,0,47,41,184
2024-03-03 19:40:00,16,28,30,17,0,36,31,158
2024-03-03 19:50:00,21,33,20,9,0,28,21,132
2024-03-03 20:00:00,24,30,21,19,0,32,27,153
2024-03-03 20:10:00,25,29,26,11,0,26,18,135
2024-03-03 20:20:00,15,29,24,18,0,27,17,130
2024-03-03 20:30:00,21,30,10,9,0,34,23,127
2024-03-03 20:40:00,15,29,17,12,0,24,17,114
2024-03-03 20:50:00,17,24,25,8,0,19,16,109
2024-03-03 21:00:00,12,20,17,12,0,18,8,87
2024-03-03 21:10:00,35,31,16,20,0,32,24,158
2024-03-03 21:20:00,16,26,20,12,0,15,19,108
2024-03-03 21:30:00,13,28,14,12,0,18,15,100
2024-03-03 21:40:00,6,32,10,7,0,21,16,92
2024-03-03 21:50:00,5,15,18,10,0,13,10,71
2024-03-03 22:00:00,15,22,15,13,0,11,22,98
2024-03-03 22:10:00,11,39,25,10,0,14,24,123
2024-03-03 22:20:00,4,17,11,5,0,13,10,60
2024-03-03 22:30:00,4,17,8,7,0,7,11,54
2024-03-03 22:40:00,8,16,8,5,0,15,7,59
2024-03-03 22:50:00,16,25,10,5,0,6,7,69
2024-03-03 23:00:00,8,14,5,6,0,10,6,49
2024-03-03 23:10:00,15,16,2,2,0,5,8,48
2024-03-03 23:20:00,8,11,3,2,0,8,4,36
2024-03-03 23:30:00,7,12,3,2,0,3,1,28
2024-03-03 23:40:00,9,14,5,3,0,2,3,36
2024-03-03 23:50:00,5,8,3,1,0,1,3,21
2024-03-04 00:00:00,5,7,9,1,0,2,4,28
2024-03-04 00:10:00,1,5,6,2,0,2,5,21
2024-03-04 00:20:00,3,7,6,0,0,3,1,20
2024-03-04 00:30:00,2,2,2,2,0,2,2,12
2024-03-04 00:40:00,6,4,2,0,0,0,0,12
2024-03-04 00:50:00,4,4,2,1,0,3,4,18
2024-03-04 01:00:00,5,9,0,2,0,6,2,24
2024-03-04 01:10:00,4,5,1,0,0,0,1,11
2024-03-04 01:20:00,3,3,0,1,0,1,2,10
2024-03-04 01:30:00,1,1,1,0,0,0,0,3
2024-03-04 01:40:00,1,2,0,0,0,1,0,4
2024-03-04 01:50:00,1,2,3,1,0,2,0,9
2024-03-04 02:00:00,1,2,0,1,0,1,1,6
2024-03-04 02:10:00,2,1,3,0,0,0,0,6
2024-03-04 02:20:00,3,5,1,0,0,0,1,10
2024-03-04 02:30:00,1,2,4,2,0,1,1,11
2024-03-04 02:40:00,0,1,1,1,0,0,2,5
2024-03-04 02:50:00,0,5,1,0,0,0,1,7
2024-03-04 03:00:00,1,2,0,1,0,1,1,6
2024-03-04 03:10:00,3,4,1,1,0,1,1,11
2024-03-04 03:20:00,1,2,0,0,0,1,0,4
2024-03-04 03:30:00,0,0,0,0,0,1,3,4
2024-03-04 03:40:00,3,4,1,0,0,6,5,19
2024-03-04 03:50:00,0,0,0,0,0,0,0,0
2024-03-04 04:00:00,1,1,1,0,0,2,0,5
2024-03-04 04:10:00,6,6,2,0,0,0,0,14
2024-03-04 04:20:00,1,0,1,1,0,3,1,7
2024-03-04 04:30:00,0,1,1,3,0,2,4,11
2024-03-04 04:40:00,2,2,2,0,0,4,0,10
2024-03-04 04:50:00,2,5,5,0,0,3,2,17
2024-03-04 05:00:00,3,9,4,1,0,6,3,26
2024-03-04 05:10:00,10,9,4,3,0,13,2,41
2024-03-04 05:20:00,5,14,6,7,0,14,7,53
2024-03-04 05:30:00,5,9,14,2,0,31,6,67
2024-03-04 05:40:00,8,17,26,13,0,36,9,109
2024-03-04 05:50:00,11,27,19,5,0,33,9,104
2024-03-04 06:00:00,10,16,23,9,0,42,14,114
2024-03-04 06:10:00,14,32,30,19,0,25,21,141
2024-03-04 06:20:00,10,19,27,17,0,36,16,125
2024-03-04 06:30:00,11,27,45,25,0,68,28,204
2024-03-04 06:40:00,6,32,61,27,0,56,37,219
2024-03-04 06:50:00,15,34,54,28,0,55,40,226
2024-03-04 07:00:00,12,40,64,29,0,32,44,221
2024-03-04 07:10:00,7,39,54,24,0,25,43,192
2024-03-04 07:20:00,3,40,74,35,0,41,37,230
2024-03-04 07:30:00,5,34,52,34,0,47,45,217
2024-03-04 07:40:00,7,40,82,42,0,60,51,282
2024-03-04 07:50:00,6,41,76,43,0,39,59,264
2024-03-04 08:00:00,9,42,68,27,0,52,37,235
2024-03-04 08:10:00,7,43,69,33,0,49,52,253
