datetime,V21Z,V22Z,V81Z,V321Z,Total
2024-03-03 23:30:00,14,10,10,0,34
2024-03-03 23:40:00,13,6,4,0,23
2024-03-03 23:50:00,7,10,5,0,22
2024-03-04 00:00:00,7,7,5,0,19
2024-03-04 00:10:00,2,5,4,0,11
2024-03-04 00:20:00,3,7,7,0,17
2024-03-04 00:30:00,8,8,8,0,24
2024-03-04 00:40:00,8,1,1,0,10
2024-03-04 00:50:00,8,9,8,0,25
2024-03-04 01:00:00,2,6,4,0,12
2024-03-04 01:10:00,2,4,4,0,10
2024-03-04 01:20:00,2,9,7,0,18
2024-03-04 01:30:00,3,1,1,0,5
2024-03-04 01:40:00,4,3,4,0,11
2024-03-04 01:50:00,0,4,5,0,9
2024-03-04 02:00:00,1,3,3,0,7
2024-03-04 02:10:00,0,0,0,0,0
2024-03-04 02:20:00,1,3,3,0,7
2024-03-04 02:30:00,4,0,0,0,4
2024-03-04 02:40:00,2,4,3,0,9
2024-03-04 02:50:00,1,5,6,0,12
2024-03-04 03:00:00,4,6,3,0,13
2024-03-04 03:10:00,4,3,3,0,10
2024-03-04 03:20:00,0,2,2,0,4
2024-03-04 03:30:00,4,4,2,0,10
2024-03-04 03:40:00,3,9,5,0,17
2024-03-04 03:50:00,3,10,4,0,17
2024-03-04 04:00:00,1,3,3,0,7
2024-03-04 04:10:00,6,5,4,0,15
2024-03-04 04:20:00,7,2,3,0,12
2024-03-04 04:30:00,6,3,3,0,12
2024-03-04 04:40:00,4,10,8,0,22
2024-03-04 04:50:00,13,11,14,0,38
2024-03-04 05:00:00,17,9,4,0,30
2024-03-04 05:10:00,10,14,12,0,36
2024-03-04 05:20:00,26,16,19,0,61
2024-03-04 05:30:00,43,29,39,0,111
2024-03-04 05:40:00,35,45,49,0,129
2024-03-04 05:50:00,34,34,40,1,109
2024-03-04 06:00:00,50,29,59,0,138
2024-03-04 06:10:00,35,41,59,0,135
2024-03-04 06:20:00,36,43,70,1,150
2024-03-04 06:30:00,54,49,72,0,175
2024-03-04 06:40:00,36,55,86,0,177
2024-03-04 06:50:00,37,51,90,2,180
2024-03-04 07:00:00,40,36,87,2,165
2024-03-04 07:10:00,44,46,90,1,181
2024-03-04 07:20:00,36,44,115,3,198
2024-03-04 07:30:00,37,38,93,7,175
2024-03-04 07:40:00,41,27,79,3,150
2024-03-04 07:50:00,42,21,84,3,150
2024-03-04 08:00:00,31,33,111,2,177
2024-03-04 08:10:00,33,28,92,3,156
2024-03-04 08:20:00,12,36,95,1,144
2024-03-04 08:30:00,22,26,102,2,152
2024-03-04 08:40:00,44,39,98,2,183
2024-03-04 08:50:00,50,43,94,1,188
2024-03-04 09:00:00,43,31,76,5,155
2024-03-04 09:10:00,31,31,72,2,136
2024-03-04 09:20:00,33,45,95,5,178
2024-03-04 09:30:00,39,39,103,1,182
2024-03-04 09:40:00,52,42,86,1,181
2024-03-04 09:50:00,39,34,98,1,172
2024-03-04 10:00:00,36,29,84,3,152
2024-03-04 10:10:00,40,36,80,3,159
2024-03-04 10:20:00,46,44,67,6,163
2024-03-04 10:30:00,42,33,80,2,157
2024-03-04 10:40:00,43,42,73,1,159
2024-03-04 10:50:00,35,41,80,5,161
2024-03-04 11:00:00,50,38,69,1,158
2024-03-04 11:10:00,26,32,71,5,134
2024-03-04 11:20:00,38,34,76,2,150
2024-03-04 11:30:00,44,35,83,1,163
2024-03-04 11:40:00,34,26,70,2,132
2024-03-04 11:50:00,46,29,66,3,144
2024-03-04 12:00:00,29,27,60,4,120
2024-03-04 12:10:00,32,33,80,4,149
2024-03-04 12:20:00,44,38,86,1,169
2024-03-04 12:30:00,36,36,83,4,159
2024-03-04 12:40:00,42,34,75,3,154
2024-03-04 12:50:00,34,36,75,5,150
2024-03-04 13:00:00,42,38,74,2,156
2024-03-04 13:10:00,6,36,82,3,127
2024-03-04 13:20:00,2,29,87,2,120
2024-03-04 13:30:00,15,34,80,2,131
2024-03-04 13:40:00,25,27,69,2,123
2024-03-04 13:50:00,35,34,67,2,138
2024-03-04 14:00:00,36,38,96,4,174
2024-03-04 14:10:00,44,37,80,5,166
2024-03-04 14:20:00,50,49,87,2,188
2024-03-04 14:30:00,36,22,70,0,128
2024-03-04 14:40:00,34,3,53,2,92
2024-03-04 14:50:00,31,0,29,3,63
2024-03-04 15:00:00,39,34,96,1,170
2024-03-04 15:10:00,42,45,90,3,180
2024-03-04 15:20:00,19,34,89,1,143
2024-03-04 15:30:00,31,33,78,4,146
2024-03-04 15:40:00,31,25,78,5,139
2024-03-04 15:50:00,20,31,71,4,126
2024-03-04 16:00:00,0,46,83,3,132
2024-03-04 16:10:00,24,31,100,2,157
2024-03-04 16:20:00,16,27,87,3,133
2024-03-04 16:30:00,0,44,80,2,126
2024-03-04 16:40:00,3,34,86,2,125
2024-03-04 16:50:00,0,41,99,2,142
2024-03-04 17:00:00,4,26,87,4,121
2024-03-04 17:10:00,3,29,82,3,117
2024-03-04 17:20:00,4,30,87,4,125
2024-03-04 17:30:00,1,32,102,0,135
2024-03-04 17:40:00,31,41,83,8,163
2024-03-04 17:50:00,35,25,89,9,158
2024-03-04 18:00:00,28,28,84,3,143
2024-03-04 18:10:00,77,26,88,3,194
2024-03-04 18:20:00,64,55,101,2,222
2024-03-04 18:30:00,53,40,78,2,173
2024-03-04 18:40:00,62,57,98,3,220
2024-03-04 18:50:00,64,48,82,3,197
2024-03-04 19:00:00,63,52,78,2,195
2024-03-04 19:10:00,48,33,70,2,153
2024-03-04 19:20:00,55,57,82,1,195
2024-03-04 19:30:00,54,53,67,0,174
2024-03-04 19:40:00,56,62,76,1,195
2024-03-04 19:50:00,62,43,47,1,153
2024-03-04 20:00:00,47,49,52,1,149
2024-03-04 20:10:00,50,39,34,1,124
2024-03-04 20:20:00,41,47,60,0,148
2024-03-04 20:30:00,29,31,38,0,98
2024-03-04 20:40:00,40,30,39,0,109
2024-03-04 20:50:00,45,40,36,1,122
2024-03-04 21:00:00,55,35,33,0,123
2024-03-04 21:10:00,48,36,37,0,121
2024-03-04 21:20:00,45,37,32,0,114
2024-03-04 21:30:00,42,20,24,1,87
2024-03-04 21:40:00,42,26,22,0,90
2024-03-04 21:50:00,36,36,33,0,105
2024-03-04 22:00:00,35,34,40,0,109
2024-03-04 22:10:00,20,28,28,0,76
2024-03-04 22:20:00,28,40,43,0,111
2024-03-04 22:30:00,34,34,33,0,101
2024-03-04 22:40:00,19,27,24,0,70
2024-03-04 22:50:00,21,18,14,0,53
2024-03-04 23:00:00,10,18,15,0,43
2024-03-04 23:10:00,17,8,5,0,30
2024-03-04 23:20:00,19,14,11,0,44
2024-03-04 23:30:00,11,17,11,0,39
2024-03-04 23:40:00,15,8,7,0,30
2024-03-04 23:50:00,6,17,12,1,36
2024-03-05 00:00:00,7,11,10,0,28
2024-03-05 00:10:00,1,13,8,0,22
2024-03-05 00:20:00,5,2,2,0,9
2024-03-05 00:30:00,4,8,6,0,18
2024-03-05 00:40:00,19,7,4,0,30
2024-03-05 00:50:00,5,12,8,0,25
2024-03-05 01:00:00,1,11,9,0,21
2024-03-05 01:10:00,2,6,4,0,12
2024-03-05 01:20:00,2,5,3,0,10
2024-03-05 01:30:00,5,6,6,0,17
2024-03-05 01:40:00,4,5,2,0,11
2024-03-05 01:50:00,3,2,2,0,7
2024-03-05 02:00:00,5,6,4,0,15
2024-03-05 02:10:00,2,1,1,0,4
2024-03-05 02:20:00,8,0,0,0,8
2024-03-05 02:30:00,6,2,2,0,10
2024-03-05 02:40:00,1,3,2,0,6
2024-03-05 02:50:00,2,0,0,0,2
2024-03-05 03:00:00,0,1,1,0,2
2024-03-05 03:10:00,3,1,1,0,5
2024-03-05 03:20:00,5,1,1,0,7
2024-03-05 03:30:00,0,2,2,0,4
2024-03-05 03:40:00,2,5,5,0,12
2024-03-05 03:50:00,1,9,10,0,20
2024-03-05 04:00:00,7,2,3,0,12
2024-03-05 04:10:00,5,2,3,0,10
2024-03-05 04:20:00,7,5,3,0,15
2024-03-05 04:30:00,8,8,7,0,23
2024-03-05 04:40:00,19,9,8,0,36
2024-03-05 04:50:00,7,6,8,0,21
2024-03-05 05:00:00,7,12,10,0,29
2024-03-05 05:10:00,13,13,9,0,35
2024-03-05 05:20:00,33,26,22,0,81
