datetime,D21Z,D22Z,V23Z,V24Z,V51Z,D81Z,V82Z,V111Z,V112Z,Total
2024-03-02 14:50:00,13,15,8,24,25,4,8,0,4,101
2024-03-02 15:00:00,19,17,14,19,27,8,10,0,8,122
2024-03-02 15:10:00,23,16,9,14,32,8,12,0,8,122
2024-03-02 15:20:00,46,16,12,18,26,14,19,0,5,156
2024-03-02 15:30:00,16,15,10,21,25,6,9,0,6,108
2024-03-02 15:40:00,17,15,17,22,23,8,9,0,7,118
2024-03-02 15:50:00,15,13,12,19,32,7,9,0,2,109
2024-03-02 16:00:00,15,22,7,20,26,6,10,0,4,110
2024-03-02 16:10:00,9,12,8,20,28,7,3,0,3,90
2024-03-02 16:20:00,14,18,11,18,22,3,8,0,6,100
2024-03-02 16:30:00,15,21,11,15,24,8,11,0,4,109
2024-03-02 16:40:00,10,15,10,12,23,6,8,0,4,88
2024-03-02 16:50:00,7,11,7,17,28,5,7,0,2,84
2024-03-02 17:00:00,9,32,8,11,33,5,14,0,5,117
2024-03-02 17:10:00,8,13,7,20,25,5,6,0,3,87
2024-03-02 17:20:00,16,10,12,18,24,12,15,0,2,109
2024-03-02 17:30:00,15,18,9,17,30,6,8,0,2,105
2024-03-02 17:40:00,10,15,9,17,31,7,7,0,2,98
2024-03-02 17:50:00,9,18,9,14,26,7,7,0,5,95
2024-03-02 18:00:00,13,16,14,15,19,10,12,0,2,101
2024-03-02 18:10:00,11,15,11,20,25,5,7,0,2,96
2024-03-02 18:20:00,10,10,11,14,23,9,11,0,2,90
2024-03-02 18:30:00,11,10,9,14,43,6,11,0,4,108
2024-03-02 18:40:00,11,6,10,13,28,7,5,0,6,86
2024-03-02 18:50:00,9,15,13,25,29,8,8,0,1,108
2024-03-02 19:00:00,5,13,9,20,38,2,4,0,3,94
2024-03-02 19:10:00,11,8,10,14,32,3,5,0,1,84
2024-03-02 19:20:00,7,8,13,12,29,8,9,17,3,106
2024-03-02 19:30:00,12,10,11,21,28,4,3,27,1,117
2024-03-02 19:40:00,15,11,15,20,31,4,1,20,0,117
2024-03-02 19:50:00,9,9,13,17,35,7,2,24,2,118
2024-03-02 20:00:00,5,13,6,15,27,4,2,15,2,89
2024-03-02 20:10:00,2,13,3,13,22,2,2,7,4,68
2024-03-02 20:20:00,2,2,2,5,26,5,7,4,0,53
2024-03-02 20:30:00,6,5,6,12,26,4,4,10,3,76
2024-03-02 20:40:00,6,8,6,9,23,3,2,18,8,83
2024-03-02 20:50:00,3,4,4,8,28,3,1,2,0,53
2024-03-02 21:00:00,6,5,6,8,35,4,1,6,0,71
2024-03-02 21:10:00,2,8,3,6,29,3,2,4,4,61
2024-03-02 21:20:00,5,8,10,15,35,3,4,6,0,86
2024-03-02 21:30:00,4,4,5,12,35,5,7,3,4,79
2024-03-02 21:40:00,0,2,0,2,24,7,3,3,2,43
2024-03-02 21:50:00,5,7,5,10,24,3,2,4,0,60
2024-03-02 22:00:00,2,7,2,8,20,1,2,1,1,44
2024-03-02 22:10:00,4,3,3,6,29,3,4,2,2,56
2024-03-02 22:20:00,14,7,14,25,27,3,2,7,1,100
2024-03-02 22:30:00,15,4,12,14,24,5,1,12,3,90
2024-03-02 22:40:00,7,3,9,10,27,18,1,11,2,88
2024-03-02 22:50:00,5,10,6,12,16,5,5,0,3,62
2024-03-02 23:00:00,7,4,7,9,30,6,3,0,1,67
2024-03-02 23:10:00,0,4,0,4,16,4,8,0,1,37
2024-03-02 23:20:00,2,2,3,5,25,3,3,0,0,43
2024-03-02 23:30:00,2,4,1,7,15,4,4,0,1,38
2024-03-02 23:40:00,2,3,1,5,18,5,4,0,0,38
2024-03-02 23:50:00,1,1,1,3,13,1,1,0,2,23
2024-03-03 00:00:00,1,2,1,4,12,1,2,0,0,23
2024-03-03 00:10:00,5,1,6,8,14,0,0,0,4,38
2024-03-03 00:20:00,0,0,0,0,19,0,0,0,0,19
2024-03-03 00:30:00,0,2,0,2,14,2,2,0,1,23
2024-03-03 00:40:00,0,2,0,2,11,1,2,0,0,18
2024-03-03 00:50:00,0,1,0,1,18,4,2,0,0,26
2024-03-03 01:00:00,1,1,1,3,10,1,2,0,0,19
2024-03-03 01:10:00,0,0,0,0,15,0,0,0,0,15
2024-03-03 01:20:00,0,2,0,2,11,1,1,0,0,17
2024-03-03 01:30:00,0,1,0,1,12,0,0,0,0,14
2024-03-03 01:40:00,0,0,0,0,14,1,4,0,0,19
2024-03-03 01:50:00,1,0,1,2,10,3,6,0,1,24
2024-03-03 02:00:00,0,1,0,1,7,0,0,0,2,11
2024-03-03 02:10:00,3,0,6,6,11,1,0,0,0,27
2024-03-03 02:20:00,0,2,0,2,15,0,0,0,1,20
2024-03-03 02:30:00,0,2,0,1,10,0,0,0,2,15
2024-03-03 02:40:00,0,0,0,0,7,1,2,0,0,10
2024-03-03 02:50:00,2,0,2,3,3,0,0,0,3,13
2024-03-03 03:00:00,1,2,1,2,10,0,0,0,0,16
2024-03-03 03:10:00,0,0,0,0,8,0,0,0,4,12
2024-03-03 03:20:00,0,1,0,2,4,1,1,0,1,10
2024-03-03 03:30:00,0,2,0,3,5,0,0,0,0,10
2024-03-03 03:40:00,3,3,4,8,8,0,0,0,4,30
2024-03-03 03:50:00,0,0,0,0,2,1,1,0,0,4
2024-03-03 04:00:00,0,1,0,2,9,0,0,0,0,12
2024-03-03 04:10:00,0,1,0,1,10,0,0,0,0,12
2024-03-03 04:20:00,2,0,2,2,3,0,0,0,1,10
2024-03-03 04:30:00,0,1,0,0,11,0,0,0,2,14
2024-03-03 04:40:00,0,0,0,0,11,0,0,0,4,15
2024-03-03 04:50:00,0,1,0,1,18,0,0,0,0,20
2024-03-03 05:00:00,0,1,0,1,13,0,0,0,3,18
2024-03-03 05:10:00,0,1,0,1,22,0,0,0,3,27
2024-03-03 05:20:00,1,2,0,2,8,0,0,0,2,15
2024-03-03 05:30:00,0,1,0,1,10,0,0,0,0,12
2024-03-03 05:40:00,0,0,0,0,13,0,0,0,0,13
2024-03-03 05:50:00,0,0,0,0,12,1,1,0,1,15
2024-03-03 06:00:00,0,3,0,2,12,1,2,0,0,20
2024-03-03 06:10:00,0,0,0,0,5,0,0,0,0,5
2024-03-03 06:20:00,0,1,0,1,7,1,1,0,0,11
2024-03-03 06:30:00,0,0,0,0,4,0,0,0,0,4
2024-03-03 06:40:00,1,0,1,1,10,1,0,0,0,14
2024-03-03 06:50:00,1,0,1,1,15,0,0,0,2,20
2024-03-03 07:00:00,0,1,0,0,6,2,2,0,1,12
2024-03-03 07:10:00,1,1,1,3,11,0,0,0,1,18
2024-03-03 07:20:00,0,1,0,0,5,1,2,0,0,9
2024-03-03 07:30:00,2,0,2,2,13,0,2,0,1,22
2024-03-03 07:40:00,3,1,4,2,7,2,2,0,0,21
2024-03-03 07:50:00,2,1,2,3,18,3,2,0,4,35
2024-03-03 08:00:00,3,0,3,3,12,3,3,0,1,28
2024-03-03 08:10:00,2,4,2,5,14,1,2,0,0,30
2024-03-03 08:20:00,0,1,0,1,14,1,1,0,2,20
2024-03-03 08:30:00,3,1,4,3,18,3,4,0,5,41
2024-03-03 08:40:00,5,2,5,8,16,1,0,0,1,38
2024-03-03 08:50:00,5,6,8,13,11,6,2,0,0,51
2024-03-03 09:00:00,3,3,3,6,14,2,2,0,5,38
2024-03-03 09:10:00,3,9,7,15,20,2,1,0,5,62
2024-03-03 09:20:00,3,7,6,9,23,2,3,0,6,59
2024-03-03 09:30:00,6,13,10,22,24,3,2,6,2,88
2024-03-03 09:40:00,3,7,4,10,28,7,4,0,6,69
2024-03-03 09:50:00,5,9,3,11,17,4,3,6,6,64
2024-03-03 10:00:00,5,11,7,12,23,9,6,0,2,75
2024-03-03 10:10:00,5,8,6,14,26,4,5,0,8,76
2024-03-03 10:20:00,8,7,3,9,18,10,10,8,8,81
2024-03-03 10:30:00,6,3,6,10,28,5,5,18,10,91
2024-03-03 10:40:00,4,8,4,12,17,6,7,6,4,68
2024-03-03 10:50:00,9,5,9,11,24,6,5,11,17,97
2024-03-03 11:00:00,9,5,9,8,23,3,3,10,8,78
2024-03-03 11:10:00,6,7,6,13,25,13,14,9,20,113
2024-03-03 11:20:00,6,5,7,12,23,3,4,1,4,65
2024-03-03 11:30:00,7,12,6,18,19,9,8,0,2,81
2024-03-03 11:40:00,6,11,7,17,19,7,6,0,5,78
2024-03-03 11:50:00,5,15,5,20,16,6,11,0,1,79
2024-03-03 12:00:00,11,16,11,21,21,17,21,0,3,121
2024-03-03 12:10:00,8,12,8,16,22,11,9,0,9,95
2024-03-03 12:20:00,5,18,5,17,28,4,4,0,4,85
2024-03-03 12:30:00,7,18,8,18,14,13,7,0,5,90
2024-03-03 12:40:00,17,16,13,25,26,12,10,0,1,120
2024-03-03 12:50:00,11,13,12,19,19,4,4,0,5,87
2024-03-03 13:00:00,15,15,10,26,16,9,10,0,5,106
2024-03-03 13:10:00,11,17,10,19,15,15,12,0,6,105
2024-03-03 13:20:00,13,17,12,21,13,10,3,0,3,92
2024-03-03 13:30:00,10,12,10,13,23,11,9,0,1,89
2024-03-03 13:40:00,8,10,11,15,18,7,8,0,5,82
2024-03-03 13:50:00,10,6,10,10,25,7,5,0,4,77
2024-03-03 14:00:00,7,14,6,18,13,9,3,0,1,71
2024-03-03 14:10:00,8,10,8,16,16,7,6,0,2,73
2024-03-03 14:20:00,4,14,4,14,15,43,6,0,5,105
2024-03-03 14:30:00,6,14,9,18,20,2,4,0,3,76
2024-03-03 14:40:00,11,10,8,13,17,54,13,0,2,128
2024-03-03 14:50:00,11,14,12,18,13,8,11,0,6,93
2024-03-03 15:00:00,14,16,12,19,16,19,12,0,4,112
2024-03-03 15:10:00,19,19,11,19,20,5,7,0,1,101
2024-03-03 15:20:00,8,6,8,12,22,3,6,0,25,90
2024-03-03 15:30:00,6,13,4,19,12,5,3,0,2,64
2024-03-03 15:40:00,10,6,11,9,16,20,9,0,4,85
2024-03-03 15:50:00,8,5,7,13,14,2,3,0,3,55
2024-03-03 16:00:00,6,50,7,15,18,5,5,0,3,109
2024-03-03 16:10:00,17,11,13,13,13,7,9,0,2,85
2024-03-03 16:20:00,11,11,9,14,10,6,6,0,5,72
2024-03-03 16:30:00,7,12,4,9,13,10,7,0,2,64
2024-03-03 16:40:00,9,14,6,17,14,8,9,0,1,78
2024-03-03 16:50:00,6,15,7,16,10,6,7,0,3,70
2024-03-03 17:00:00,9,9,9,12,16,3,3,0,3,64
2024-03-03 17:10:00,20,11,16,24,5,6,12,0,4,98
2024-03-03 17:20:00,7,13,5,16,13,6,7,0,2,69
2024-03-03 17:30:00,13,7,9,18,10,2,4,0,3,66
2024-03-03 17:40:00,15,14,8,22,23,1,3,0,3,89
2024-03-03 17:50:00,6,42,5,16,22,5,5,0,10,111
2024-03-03 18:00:00,10,10,12,19,18,7,11,0,4,91
2024-03-03 18:10:00,6,9,5,17,22,3,3,0,0,65
2024-03-03 18:20:00,12,10,11,20,22,9,9,4,4,101
2024-03-03 18:30:00,9,7,9,13,31,7,9,2,4,91
2024-03-03 18:40:00,10,12,11,18,21,4,1,4,3,84
2024-03-03 18:50:00,5,7,6,10,25,7,12,4,1,77
2024-03-03 19:00:00,5,11,5,16,28,3,5,14,2,89
2024-03-03 19:10:00,6,2,6,7,31,3,2,4,2,63
2024-03-03 19:20:00,4,3,3,8,29,2,0,8,2,59
2024-03-03 19:30:00,11,10,11,20,20,3,0,14,3,92
2024-03-03 19:40:00,5,5,5,9,30,5,6,9,0,74
2024-03-03 19:50:00,2,7,3,7,21,1,1,9,3,54
2024-03-03 20:00:00,5,10,11,12,24,2,1,13,6,84
2024-03-03 20:10:00,11,7,10,12,25,5,1,12,1,84
2024-03-03 20:20:00,1,3,1,5,23,2,3,1,0,39
2024-03-03 20:30:00,1,7,1,7,25,6,4,11,0,62
