datetime,V21Z,V22Z,D51Z,D81Z,D82Z,D91Z,D41Z,V83Z,V84Z,V92Z,V43Z,V44Z,Total
2024-03-02 05:30:00,0,0,0,9,15,2,0,18,18,13,0,1,76
2024-03-02 05:40:00,0,0,0,4,6,3,0,14,9,6,0,1,43
2024-03-02 05:50:00,0,0,0,5,8,3,0,14,14,16,3,0,63
2024-03-02 06:00:00,0,0,0,8,8,1,0,21,12,8,0,1,59
2024-03-02 06:10:00,0,0,2,7,9,0,0,16,15,8,0,1,58
2024-03-02 06:20:00,0,0,0,12,10,0,0,19,24,10,0,0,75
2024-03-02 06:30:00,0,0,0,11,8,0,0,21,16,8,2,2,68
2024-03-02 06:40:00,0,0,0,13,15,0,0,26,30,17,0,2,103
2024-03-02 06:50:00,0,0,0,9,16,1,0,20,23,13,1,2,85
2024-03-02 07:00:00,0,0,0,8,14,0,0,8,15,4,1,1,51
2024-03-02 07:10:00,0,0,0,13,19,1,0,7,16,3,3,1,63
2024-03-02 07:20:00,0,0,1,15,5,0,0,10,7,1,0,0,39
2024-03-02 07:30:00,0,0,1,7,11,0,0,9,9,0,0,2,39
2024-03-02 07:40:00,0,0,0,13,14,0,0,6,11,2,2,3,51
2024-03-02 07:50:00,0,0,0,19,18,4,0,12,18,4,2,1,78
2024-03-02 08:00:00,0,0,0,14,16,5,0,12,16,2,1,2,68
2024-03-02 08:10:00,0,0,0,16,20,3,0,13,17,1,4,3,77
2024-03-02 08:20:00,0,0,1,14,18,0,0,9,13,0,2,2,59
2024-03-02 08:30:00,0,0,1,18,26,9,0,11,16,3,5,3,92
2024-03-02 08:40:00,0,0,0,30,34,2,0,19,20,1,1,2,109
2024-03-02 08:50:00,0,0,3,26,34,4,0,17,17,1,3,5,110
2024-03-02 09:00:00,0,0,2,19,30,11,0,13,20,6,2,3,106
2024-03-02 09:10:00,0,0,3,33,29,8,0,16,18,2,4,1,114
2024-03-02 09:20:00,0,0,4,20,36,10,0,10,22,4,8,4,118
2024-03-02 09:30:00,0,0,4,28,53,4,0,14,25,3,7,7,145
2024-03-02 09:40:00,0,0,5,36,39,11,0,20,19,4,10,4,148
2024-03-02 09:50:00,0,0,7,31,51,19,0,14,25,7,6,12,172
2024-03-02 10:00:00,0,0,6,38,47,11,0,19,24,7,9,11,172
2024-03-02 10:10:00,0,0,5,35,55,12,0,23,25,7,7,5,174
2024-03-02 10:20:00,0,0,4,42,45,4,0,15,17,5,7,12,151
2024-03-02 10:30:00,0,0,12,37,51,16,0,19,28,7,6,6,182
2024-03-02 10:40:00,0,0,9,43,49,16,0,24,25,5,5,9,185
2024-03-02 10:50:00,0,0,7,40,55,12,0,19,18,6,8,4,169
2024-03-02 11:00:00,0,0,10,40,50,14,0,16,22,7,13,6,178
2024-03-02 11:10:00,0,0,1,43,57,11,0,21,21,8,12,10,184
2024-03-02 11:20:00,0,0,8,43,56,20,0,19,22,12,9,8,197
2024-03-02 11:30:00,0,0,7,37,59,13,0,20,23,9,12,9,189
2024-03-02 11:40:00,0,0,5,36,63,17,0,24,27,6,11,5,194
2024-03-02 11:50:00,0,0,10,51,54,20,0,22,19,7,9,12,204
2024-03-02 12:00:00,0,0,6,39,51,16,0,20,24,6,8,9,179
2024-03-02 12:10:00,0,0,6,54,67,16,0,33,25,7,15,14,237
2024-03-02 12:20:00,0,0,5,46,64,6,0,28,20,6,8,7,190
2024-03-02 12:30:00,0,0,4,41,54,19,0,23,24,9,8,12,194
2024-03-02 12:40:00,0,0,7,52,64,15,0,20,29,6,8,4,205
2024-03-02 12:50:00,0,0,15,41,73,14,0,19,27,6,8,9,212
2024-03-02 13:00:00,0,0,5,45,58,12,0,20,25,7,7,9,188
2024-03-02 13:10:00,0,0,10,43,50,25,0,20,20,7,11,9,195
2024-03-02 13:20:00,0,0,10,47,54,20,0,23,31,7,14,14,220
2024-03-02 13:30:00,0,0,8,41,53,19,0,21,27,6,14,6,195
2024-03-02 13:40:00,0,0,3,43,53,20,0,23,26,9,18,24,219
2024-03-02 13:50:00,0,0,2,45,50,12,0,20,24,4,14,4,175
2024-03-02 14:00:00,0,0,5,30,66,10,0,17,31,4,10,12,185
2024-03-02 14:10:00,0,0,4,49,54,7,0,23,25,4,18,11,195
2024-03-02 14:20:00,0,0,6,48,59,20,0,21,26,6,16,8,210
2024-03-02 14:30:00,0,0,7,52,73,10,0,29,31,6,11,10,229
2024-03-02 14:40:00,0,0,5,44,48,15,0,25,26,5,14,11,193
2024-03-02 14:50:00,0,0,8,42,59,14,0,34,40,5,7,11,220
2024-03-02 15:00:00,0,0,4,38,40,8,0,28,30,5,9,8,170
2024-03-02 15:10:00,0,0,5,47,69,13,0,23,36,5,19,12,229
2024-03-02 15:20:00,0,0,3,57,68,19,0,48,51,8,12,8,274
2024-03-02 15:30:00,0,0,7,52,62,17,0,37,52,8,10,9,254
2024-03-02 15:40:00,0,0,1,57,60,8,0,37,48,6,15,9,241
2024-03-02 15:50:00,0,0,8,42,52,11,0,29,61,4,8,11,226
2024-03-02 16:00:00,0,0,6,39,50,17,0,33,42,4,16,8,215
2024-03-02 16:10:00,0,0,5,54,61,6,0,49,64,3,10,9,261
2024-03-02 16:20:00,0,0,3,39,48,17,0,36,38,5,6,7,199
2024-03-02 16:30:00,0,0,6,50,53,7,0,45,40,5,8,11,225
2024-03-02 16:40:00,0,0,5,43,52,16,0,27,30,7,10,5,195
2024-03-02 16:50:00,0,0,3,50,57,18,0,29,25,10,11,14,217
2024-03-02 17:00:00,0,0,7,32,50,6,0,19,23,2,8,10,157
2024-03-02 17:10:00,0,0,3,50,61,12,0,29,29,6,9,7,206
2024-03-02 17:20:00,0,0,6,49,56,18,0,24,28,6,18,7,212
2024-03-02 17:30:00,0,0,2,50,52,10,0,24,27,5,7,3,180
2024-03-02 17:40:00,0,0,11,45,67,12,0,21,27,5,9,6,203
2024-03-02 17:50:00,0,0,4,48,51,18,0,21,27,12,9,6,196
2024-03-02 18:00:00,0,0,4,51,59,19,0,22,28,12,11,9,215
2024-03-02 18:10:00,0,0,3,44,49,10,0,22,26,20,14,9,197
2024-03-02 18:20:00,0,0,4,38,50,12,0,40,35,33,9,11,232
2024-03-02 18:30:00,0,0,5,35,42,10,0,35,49,27,9,7,219
2024-03-02 18:40:00,0,0,7,51,43,12,0,52,38,25,11,13,252
2024-03-02 18:50:00,0,0,2,38,52,11,0,32,48,14,10,12,219
2024-03-02 19:00:00,0,0,12,53,44,8,0,35,37,18,10,7,224
2024-03-02 19:10:00,0,0,8,46,49,13,0,50,40,17,5,10,238
2024-03-02 19:20:00,0,0,3,38,45,4,0,40,39,24,7,6,206
2024-03-02 19:30:00,0,0,5,42,46,0,0,56,36,15,8,1,209
2024-03-02 19:40:00,0,0,1,38,54,7,0,29,37,23,8,4,201
2024-03-02 19:50:00,0,0,4,38,37,10,0,42,40,19,10,5,205
2024-03-02 20:00:00,0,0,2,38,40,0,0,39,43,23,14,7,206
2024-03-02 20:10:00,0,0,4,37,45,1,0,47,49,26,11,7,227
2024-03-02 20:20:00,0,0,2,33,36,4,0,39,46,17,4,7,188
2024-03-02 20:30:00,0,0,4,32,37,8,0,42,48,35,8,8,222
2024-03-02 20:40:00,0,0,3,34,40,6,0,30,47,24,11,14,209
2024-03-02 20:50:00,0,0,2,25,35,9,0,34,47,18,9,11,190
2024-03-02 21:00:00,0,0,3,30,33,2,0,51,44,23,3,6,195
2024-03-02 21:10:00,0,0,2,35,34,0,0,57,34,23,5,8,198
2024-03-02 21:20:00,0,0,5,29,22,0,0,42,35,20,7,7,167
2024-03-02 21:30:00,0,0,0,34,36,6,0,30,34,34,9,6,189
2024-03-02 21:40:00,0,0,2,19,35,3,0,37,41,22,5,11,175
2024-03-02 21:50:00,0,0,6,38,31,2,0,39,41,27,3,8,195
2024-03-02 22:00:00,0,0,2,27,28,3,0,36,41,21,2,7,167
2024-03-02 22:10:00,0,0,4,19,26,0,0,40,27,18,4,5,143
2024-03-02 22:20:00,0,0,1,39,33,4,0,30,34,24,3,8,176
2024-03-02 22:30:00,0,0,3,38,48,3,0,40,60,37,4,6,239
2024-03-02 22:40:00,0,0,0,29,22,9,0,45,30,18,4,4,161
2024-03-02 22:50:00,0,0,4,25,22,1,0,25,44,20,2,2,145
2024-03-02 23:00:00,0,0,3,29,34,15,0,41,41,24,5,6,198
2024-03-02 23:10:00,0,0,2,31,32,4,0,49,40,27,5,6,196
2024-03-02 23:20:00,0,0,1,19,27,3,0,29,36,24,7,6,152
2024-03-02 23:30:00,0,0,2,16,14,2,0,33,30,12,0,0,109
2024-03-02 23:40:00,0,0,2,20,19,12,0,30,32,18,3,10,146
2024-03-02 23:50:00,0,0,0,20,20,1,0,33,26,16,4,6,126
