datetime,V21Z,V22Z,V51Z,V52Z,V61Z,V62Z,V81Z,V82Z,D53Z,D54Z,D55Z,D63Z,D64Z,Total
2024-03-02 20:50:00,28,44,13,19,28,4,11,13,23,14,20,35,6,258
2024-03-02 21:00:00,33,35,16,40,30,0,20,17,20,13,21,47,7,299
2024-03-02 21:10:00,25,34,15,29,24,0,12,16,17,15,14,37,4,242
2024-03-02 21:20:00,25,43,14,38,35,0,21,10,16,12,16,39,8,277
2024-03-02 21:30:00,26,67,17,32,26,0,18,15,19,9,21,36,5,291
2024-03-02 21:40:00,24,54,15,30,40,1,22,11,20,13,18,41,5,294
2024-03-02 21:50:00,26,44,13,30,29,1,8,15,19,18,18,42,9,272
2024-03-02 22:00:00,19,43,15,40,28,0,6,12,23,18,19,42,5,270
2024-03-02 22:10:00,12,40,16,14,34,0,9,8,19,15,18,35,3,223
2024-03-02 22:20:00,34,44,15,22,30,0,18,22,19,10,19,28,4,265
2024-03-02 22:30:00,34,48,17,24,29,1,10,10,15,15,14,27,5,249
2024-03-02 22:40:00,26,32,14,33,26,0,11,9,15,17,13,32,6,234
2024-03-02 22:50:00,17,35,12,29,30,0,13,13,17,11,16,28,8,229
2024-03-02 23:00:00,23,35,22,38,26,1,16,14,19,10,18,42,11,275
2024-03-02 23:10:00,13,40,23,28,30,0,12,13,21,7,20,34,4,245
2024-03-02 23:20:00,16,27,15,20,19,0,8,12,13,14,13,26,1,184
2024-03-02 23:30:00,15,28,8,21,24,2,11,15,9,7,9,38,5,192
2024-03-02 23:40:00,25,42,6,21,21,1,6,10,13,13,11,32,9,210
2024-03-02 23:50:00,16,25,19,24,23,2,14,9,20,7,17,21,4,201
2024-03-03 00:00:00,31,28,7,18,21,0,9,14,11,10,10,28,3,190
2024-03-03 00:10:00,17,30,11,24,21,0,12,6,14,8,13,12,0,168
2024-03-03 00:20:00,16,22,10,23,30,0,18,11,13,4,13,25,4,189
2024-03-03 00:30:00,12,22,8,18,23,0,6,5,9,5,9,20,3,140
2024-03-03 00:40:00,18,31,12,20,20,0,7,7,13,5,7,18,5,163
2024-03-03 00:50:00,13,14,9,17,26,0,8,12,10,6,10,26,3,154
2024-03-03 01:00:00,13,21,15,29,33,0,8,7,13,1,14,24,2,180
2024-03-03 01:10:00,13,23,8,18,24,0,10,13,7,3,7,23,3,152
