datetime,D11Z,V13Z,V15Z,D12Z,V14Z,V16Z,D31Z,V33Z,D32Z,V34Z,D41Z,D42Z,V43Z,V44Z,V45Z,V1Z,V2Z,V3Z,V4Z,V5Z,V6Z,Total
2024-03-02 09:40:00,70,32,115,31,64,56,45,23,21,14,58,55,16,20,2,0,0,0,0,0,0,622
2024-03-02 09:50:00,83,40,121,43,68,68,41,24,19,15,55,56,27,28,1,0,0,0,0,0,0,689
2024-03-02 10:00:00,90,42,139,38,80,60,32,23,21,12,55,55,18,24,0,0,0,0,0,0,0,689
2024-03-02 10:10:00,77,33,116,39,80,69,28,18,26,15,66,66,19,23,4,0,0,0,0,0,0,679
2024-03-02 10:20:00,68,35,125,40,74,76,32,19,23,9,62,64,28,33,2,0,0,0,0,0,0,690
2024-03-02 10:30:00,95,43,132,44,90,71,40,26,18,9,69,68,18,26,3,0,0,0,0,0,0,752
2024-03-02 10:40:00,79,25,129,55,82,92,37,21,24,14,64,65,18,32,3,0,0,0,0,0,0,740
2024-03-02 10:50:00,86,47,127,51,76,74,45,22,29,9,72,75,15,24,5,0,0,0,0,0,0,757
2024-03-02 11:00:00,89,33,135,64,95,92,27,14,21,11,75,75,24,33,4,0,0,0,0,0,0,792
2024-03-02 11:10:00,67,31,112,41,87,70,27,22,29,10,91,88,19,20,8,0,0,0,0,0,0,722
2024-03-02 11:20:00,68,26,113,36,80,65,42,19,22,17,87,89,28,36,8,0,0,0,0,0,0,736
2024-03-02 11:30:00,64,32,112,46,95,65,41,17,28,12,93,90,14,31,9,0,0,0,0,0,0,749
2024-03-02 11:40:00,65,22,104,54,89,84,37,15,29,15,83,87,19,36,6,0,0,0,0,0,0,745
2024-03-02 11:50:00,71,35,127,42,127,99,40,14,27,11,95,94,33,57,3,0,0,0,0,0,0,875
2024-03-02 12:00:00,83,51,142,50,108,89,33,23,14,12,89,89,17,45,4,0,0,0,0,0,0,849
2024-03-02 12:10:00,64,18,110,40,117,53,38,16,21,10,93,91,21,52,5,0,0,0,0,0,0,749
2024-03-02 12:20:00,63,35,110,52,127,98,32,13,20,7,101,102,18,37,13,0,0,0,0,0,0,828
2024-03-02 12:30:00,52,20,82,44,121,78,26,16,26,11,102,105,28,51,5,0,0,0,0,0,0,767
2024-03-02 12:40:00,82,27,135,32,108,54,34,19,20,11,89,85,23,27,3,0,0,0,0,0,0,749
2024-03-02 12:50:00,80,32,130,61,153,98,48,24,23,6,86,87,29,41,7,0,0,0,0,0,0,905
2024-03-02 13:00:00,91,3,136,61,119,80,42,18,24,9,97,96,23,40,2,0,0,0,0,0,0,841
2024-03-02 13:10:00,76,5,120,41,136,72,48,18,25,10,114,114,30,43,10,0,0,0,0,0,0,862
2024-03-02 13:20:00,69,10,112,53,124,86,33,18,14,11,93,95,27,37,7,0,0,0,0,0,0,789
2024-03-02 13:30:00,75,34,124,54,130,87,41,21,26,9,76,75,25,65,3,0,0,0,0,0,0,845
2024-03-02 13:40:00,107,27,125,51,147,87,45,19,21,10,95,99,23,69,9,0,0,0,0,0,0,934
2024-03-02 13:50:00,81,18,138,54,86,84,35,14,25,9,99,97,19,54,5,0,0,0,0,0,0,818
2024-03-02 14:00:00,80,19,128,40,106,66,32,11,19,8,120,120,26,42,10,0,0,0,0,0,0,827
2024-03-02 14:10:00,55,28,104,71,115,111,46,19,16,8,96,94,12,29,9,0,0,0,0,0,0,813
2024-03-02 14:20:00,47,15,91,61,103,84,50,16,15,10,111,107,30,38,9,0,0,0,0,0,0,787
2024-03-02 14:30:00,72,20,121,41,89,66,32,16,24,12,98,99,21,38,5,0,0,0,0,0,0,754
2024-03-02 14:40:00,60,29,96,46,90,74,26,25,25,12,104,103,20,45,8,0,0,0,0,0,0,763
2024-03-02 14:50:00,60,33,119,52,145,97,60,22,19,12,98,100,20,33,9,0,0,0,0,0,0,879
2024-03-02 15:00:00,76,28,127,46,131,78,36,22,28,11,100,99,25,51,7,0,0,0,0,0,0,865
2024-03-02 15:10:00,70,39,110,34,147,62,60,24,24,16,89,88,22,37,4,0,0,0,0,0,0,826
2024-03-02 15:20:00,61,27,97,55,110,77,37,23,19,32,95,97,19,35,6,0,0,0,0,0,0,790
2024-03-02 15:30:00,62,36,102,39,190,63,46,18,15,9,112,111,14,38,6,0,0,0,0,0,0,861
2024-03-02 15:40:00,67,40,102,40,178,66,33,18,20,7,96,99,22,41,12,0,0,0,0,0,0,841
2024-03-02 15:50:00,57,45,94,30,184,49,40,22,15,3,105,106,31,57,8,0,0,0,0,0,0,846
2024-03-02 16:00:00,62,35,104,46,149,64,45,18,18,6,94,93,23,37,8,0,0,0,0,0,0,802
2024-03-02 16:10:00,59,49,107,42,152,78,36,21,21,9,94,93,20,48,8,0,0,0,0,0,0,837
2024-03-02 16:20:00,53,42,101,43,144,69,34,20,18,12,81,83,19,40,6,0,0,0,0,0,0,765
