datetime,V11Z,V12Z,V13Z,D21Z,V31Z,V32Z,V33Z,V41Z,V42Z,V43Z,V14Z,V40Z,Total
2024-03-02 05:30:00,0,2,1,0,0,10,25,3,2,5,2,0,50
2024-03-02 05:40:00,0,10,8,0,0,13,24,6,4,9,4,1,79
2024-03-02 05:50:00,3,11,7,0,0,8,8,8,2,4,1,2,54
2024-03-02 06:00:00,0,15,3,0,0,10,14,4,2,5,2,3,58
2024-03-02 06:10:00,0,11,7,0,1,8,14,8,5,4,3,0,61
2024-03-02 06:20:00,2,12,4,0,0,4,9,4,5,5,1,0,46
2024-03-02 06:30:00,0,4,4,0,0,8,16,4,2,2,1,0,41
2024-03-02 06:40:00,0,14,5,0,0,13,16,7,8,9,3,1,76
2024-03-02 06:50:00,2,12,2,0,0,4,10,8,2,3,4,1,48
2024-03-02 07:00:00,2,8,0,0,0,0,9,7,4,6,4,2,42
2024-03-02 07:10:00,3,9,5,0,0,0,10,14,8,5,3,0,57
2024-03-02 07:20:00,2,12,1,0,0,1,12,14,11,7,7,0,67
2024-03-02 07:30:00,13,17,2,0,0,0,12,13,6,6,5,1,75
2024-03-02 07:40:00,21,22,4,0,0,0,15,16,10,9,6,3,106
2024-03-02 07:50:00,7,18,5,0,0,0,16,7,10,10,7,4,84
2024-03-02 08:00:00,6,19,2,0,0,0,14,14,8,9,6,3,81
2024-03-02 08:10:00,10,21,3,0,0,0,17,17,9,10,4,1,92
2024-03-02 08:20:00,8,17,2,0,0,0,17,21,9,11,3,2,90
2024-03-02 08:30:00,5,16,3,0,0,1,16,19,9,12,14,0,95
2024-03-02 08:40:00,3,19,2,0,0,0,30,26,17,17,15,1,130
2024-03-02 08:50:00,4,26,5,0,0,0,20,29,16,14,3,3,120
2024-03-02 09:00:00,8,28,9,0,0,3,29,26,12,14,16,3,148
2024-03-02 09:10:00,8,23,2,0,0,0,27,39,16,17,10,3,145
2024-03-02 09:20:00,19,27,6,0,0,3,41,33,21,12,16,2,180
2024-03-02 09:30:00,6,22,5,0,0,0,41,30,23,20,11,6,164
2024-03-02 09:40:00,9,32,11,0,0,2,28,42,25,25,13,2,189
2024-03-02 09:50:00,16,37,9,0,0,2,32,33,30,29,9,5,202
2024-03-02 10:00:00,13,29,7,0,0,0,74,37,23,22,23,1,229
2024-03-02 10:10:00,12,38,12,0,0,1,31,38,16,18,15,3,184
2024-03-02 10:20:00,18,30,10,0,0,3,33,41,17,18,20,1,191
2024-03-02 10:30:00,18,36,9,0,0,3,36,48,28,23,13,2,216
2024-03-02 10:40:00,10,43,14,0,0,4,47,58,28,30,27,2,263
2024-03-02 10:50:00,10,43,12,0,0,0,32,42,21,24,17,4,205
2024-03-02 11:00:00,11,44,4,0,0,5,29,28,23,28,19,4,195
2024-03-02 11:10:00,10,39,12,0,0,4,44,45,24,22,16,6,222
2024-03-02 11:20:00,9,47,13,0,0,9,34,46,30,20,24,3,235
2024-03-02 11:30:00,11,43,15,0,0,3,38,48,28,20,15,7,228
2024-03-02 11:40:00,8,39,13,0,0,8,33,40,34,27,18,6,226
2024-03-02 11:50:00,12,39,7,0,0,4,36,29,24,18,18,4,191
2024-03-02 12:00:00,12,42,13,0,0,3,27,35,24,21,11,5,193
2024-03-02 12:10:00,23,51,20,0,0,5,31,42,29,25,27,6,259
2024-03-02 12:20:00,20,52,10,0,0,1,32,47,26,20,24,6,238
2024-03-02 12:30:00,8,52,16,0,0,3,35,27,19,20,23,6,209
2024-03-02 12:40:00,14,40,13,0,1,3,28,30,24,23,22,4,202
2024-03-02 12:50:00,14,56,18,0,0,3,18,51,23,23,22,4,232
2024-03-02 13:00:00,15,43,14,0,0,1,12,45,36,28,24,5,223
2024-03-02 13:10:00,22,48,26,0,0,1,14,43,31,21,20,7,233
2024-03-02 13:20:00,22,53,18,0,0,0,19,50,33,27,20,4,246
2024-03-02 13:30:00,18,42,15,0,0,0,21,49,28,20,23,2,218
2024-03-02 13:40:00,16,59,20,0,0,0,21,55,24,23,27,2,247
2024-03-02 13:50:00,21,60,18,0,0,0,19,54,30,26,19,3,250
2024-03-02 14:00:00,27,50,12,0,0,3,22,57,30,29,29,3,262
2024-03-02 14:10:00,18,49,14,0,2,3,31,53,25,24,24,4,247
2024-03-02 14:20:00,15,42,21,0,0,3,24,40,26,21,24,0,216
2024-03-02 14:30:00,18,54,19,0,0,1,24,41,31,19,24,2,233
2024-03-02 14:40:00,15,51,16,0,0,2,27,55,32,21,28,4,251
2024-03-02 14:50:00,10,59,13,0,0,0,10,53,39,28,23,2,237
2024-03-02 15:00:00,18,43,20,0,0,0,18,50,35,18,28,8,238
2024-03-02 15:10:00,20,51,15,0,0,0,38,49,33,21,32,3,262
2024-03-02 15:20:00,14,47,16,0,0,3,39,37,35,20,20,1,232
2024-03-02 15:30:00,13,46,13,0,1,10,35,48,30,24,21,6,247
2024-03-02 15:40:00,21,44,12,0,0,0,28,28,23,25,16,2,199
2024-03-02 15:50:00,25,52,17,0,0,0,27,37,16,21,16,5,216
2024-03-02 16:00:00,13,51,17,0,0,0,20,39,25,17,11,4,197
2024-03-02 16:10:00,20,42,15,0,0,0,21,37,20,23,21,9,208
2024-03-02 16:20:00,14,38,24,0,0,1,18,36,20,15,17,2,185
2024-03-02 16:30:00,21,52,11,0,0,3,29,46,21,24,13,4,224
2024-03-02 16:40:00,29,41,17,0,0,2,28,53,24,14,15,3,226
2024-03-02 16:50:00,13,42,12,0,0,3,22,40,21,13,22,4,192
2024-03-02 17:00:00,21,58,12,0,0,2,26,34,27,24,18,10,232
2024-03-02 17:10:00,21,43,13,0,0,2,38,41,21,22,19,2,222
2024-03-02 17:20:00,16,47,20,0,0,1,34,45,24,19,29,6,241
2024-03-02 17:30:00,15,43,13,0,0,4,22,44,23,14,26,5,209
2024-03-02 17:40:00,9,42,12,0,0,0,67,40,15,14,30,1,230
2024-03-02 17:50:00,16,55,19,0,0,1,34,47,26,27,17,6,248
2024-03-02 18:00:00,14,55,16,0,0,5,27,37,20,19,19,3,215
2024-03-02 18:10:00,9,48,19,0,0,3,38,31,25,19,27,1,220
2024-03-02 18:20:00,4,43,30,0,0,13,28,49,30,14,25,3,239
2024-03-02 18:30:00,3,51,18,0,0,23,42,47,31,19,23,2,259
2024-03-02 18:40:00,4,46,19,0,0,28,37,43,21,17,24,5,244
2024-03-02 18:50:00,8,43,15,0,1,26,38,44,23,18,14,3,233
2024-03-02 19:00:00,3,35,20,0,0,22,32,34,21,13,17,7,204
2024-03-02 19:10:00,1,38,12,0,1,29,38,34,19,16,18,5,211
2024-03-02 19:20:00,6,37,11,0,0,20,36,48,11,15,27,3,214
2024-03-02 19:30:00,7,38,8,0,0,27,44,34,18,12,19,1,208
2024-03-02 19:40:00,8,31,14,0,1,28,38,46,14,13,20,3,216
2024-03-02 19:50:00,2,41,8,0,1,28,38,30,13,12,20,5,198
2024-03-02 20:00:00,4,40,14,0,0,19,31,19,12,11,13,8,171
2024-03-02 20:10:00,3,33,10,0,0,27,29,29,15,11,7,7,171
2024-03-02 20:20:00,3,41,10,0,0,21,41,34,17,12,13,1,193
2024-03-02 20:30:00,2,26,9,0,0,25,34,24,12,11,20,4,167
2024-03-02 20:40:00,4,60,6,0,0,19,24,28,14,12,18,5,190
2024-03-02 20:50:00,1,32,9,0,0,16,27,26,16,12,10,3,152
2024-03-02 21:00:00,5,29,9,0,1,19,31,38,15,13,6,1,167
2024-03-02 21:10:00,5,30,7,0,0,19,26,24,8,7,10,1,137
2024-03-02 21:20:00,7,33,12,0,0,19,25,21,6,11,6,1,141
2024-03-02 21:30:00,2,32,6,0,1,16,23,22,10,6,16,1,135
2024-03-02 21:40:00,4,33,5,0,0,14,24,18,6,5,9,4,122
2024-03-02 21:50:00,3,27,8,0,0,15,33,21,10,14,8,1,140
2024-03-02 22:00:00,2,34,6,0,0,17,28,20,9,4,9,1,130
2024-03-02 22:10:00,5,25,7,0,0,13,30,20,9,7,7,0,123
2024-03-02 22:20:00,6,40,14,0,0,17,32,27,12,7,11,6,172
2024-03-02 22:30:00,4,36,15,0,1,18,31,15,5,4,8,1,138
2024-03-02 22:40:00,2,35,19,0,0,8,15,25,8,4,8,1,125
2024-03-02 22:50:00,1,32,13,0,0,16,29,27,9,1,9,0,137
2024-03-02 23:00:00,1,26,13,0,0,13,17,29,9,13,7,4,132
2024-03-02 23:10:00,3,27,11,0,0,20,26,12,8,3,7,2,119
2024-03-02 23:20:00,3,19,7,0,0,15,18,15,7,6,8,3,101
2024-03-02 23:30:00,1,22,11,0,0,10,22,9,7,3,4,4,93
2024-03-02 23:40:00,0,31,10,0,0,18,25,14,7,6,7,1,119
2024-03-02 23:50:00,3,15,11,0,0,18,21,12,5,6,8,1,100
2024-03-03 00:00:00,4,22,12,0,0,10,14,12,6,3,5,2,90
2024-03-03 00:10:00,2,27,11,0,0,15,18,14,4,1,5,3,100
2024-03-03 00:20:00,0,17,4,0,0,16,25,13,2,2,5,0,84
2024-03-03 00:30:00,1,18,6,0,0,18,22,10,3,1,5,0,84
2024-03-03 00:40:00,1,7,5,0,0,15,15,17,5,4,5,2,76
2024-03-03 00:50:00,0,7,3,0,1,6,12,12,9,5,1,4,60
2024-03-03 01:00:00,1,14,9,0,0,10,13,13,5,2,6,4,77
2024-03-03 01:10:00,2,16,6,0,0,9,14,12,2,2,4,1,68
