datetime,V12Z,V22Z,V51Z,V52Z,V111Z,V121Z,V122Z,Total
2024-03-03 02:10:00,2,6,9,8,2,2,0,29
2024-03-03 02:20:00,4,8,5,11,2,3,0,33
2024-03-03 02:30:00,6,1,6,4,1,4,0,22
2024-03-03 02:40:00,5,3,4,8,0,0,0,20
2024-03-03 02:50:00,2,5,6,3,1,2,0,19
2024-03-03 03:00:00,1,1,2,4,2,2,0,12
2024-03-03 03:10:00,5,4,2,4,0,0,0,15
2024-03-03 03:20:00,2,2,4,3,0,1,0,12
2024-03-03 03:30:00,2,3,6,5,4,4,0,24
2024-03-03 03:40:00,3,0,2,3,0,1,0,9
2024-03-03 03:50:00,1,4,8,3,2,2,0,20
2024-03-03 04:00:00,3,2,3,3,2,1,0,14
2024-03-03 04:10:00,0,6,6,7,3,6,0,28
2024-03-03 04:20:00,5,2,5,5,2,2,0,21
2024-03-03 04:30:00,1,8,5,6,3,3,0,26
2024-03-03 04:40:00,3,9,6,3,1,1,0,23
2024-03-03 04:50:00,5,7,9,6,1,2,0,30
2024-03-03 05:00:00,1,12,8,5,1,1,0,28
2024-03-03 05:10:00,2,10,9,2,0,0,0,23
2024-03-03 05:20:00,3,8,14,6,5,6,0,42
2024-03-03 05:30:00,4,15,14,5,1,3,0,42
2024-03-03 05:40:00,2,5,14,2,2,2,0,27
2024-03-03 05:50:00,3,6,11,5,1,1,0,27
2024-03-03 06:00:00,2,9,9,8,5,2,0,35
2024-03-03 06:10:00,9,7,14,8,0,1,0,39
2024-03-03 06:20:00,6,3,10,4,1,1,0,25
2024-03-03 06:30:00,6,4,8,10,2,3,0,33
2024-03-03 06:40:00,5,5,5,7,3,3,0,28
2024-03-03 06:50:00,1,3,8,7,1,2,0,22
2024-03-03 07:00:00,8,5,9,6,1,1,0,30
2024-03-03 07:10:00,9,5,4,0,2,1,0,21
2024-03-03 07:20:00,14,2,7,9,6,6,0,44
2024-03-03 07:30:00,2,7,5,1,6,7,0,28
2024-03-03 07:40:00,11,5,8,4,4,4,0,36
2024-03-03 07:50:00,7,8,10,5,4,6,0,40
2024-03-03 08:00:00,7,6,15,5,3,4,0,40
2024-03-03 08:10:00,12,14,19,5,7,9,0,66
2024-03-03 08:20:00,18,13,11,8,10,9,1,70
2024-03-03 08:30:00,9,11,17,10,6,8,0,61
2024-03-03 08:40:00,16,13,16,7,8,12,0,72
2024-03-03 08:50:00,23,16,15,7,9,8,2,80
2024-03-03 09:00:00,23,18,21,3,5,6,1,77
2024-03-03 09:10:00,27,21,20,7,9,9,0,93
2024-03-03 09:20:00,22,29,16,7,12,14,0,100
2024-03-03 09:30:00,27,26,19,9,13,13,0,107
2024-03-03 09:40:00,28,18,21,13,16,18,3,117
2024-03-03 09:50:00,30,28,24,8,20,24,1,135
2024-03-03 10:00:00,29,18,25,18,15,18,1,124
2024-03-03 10:10:00,30,25,25,21,13,12,4,130
2024-03-03 10:20:00,26,23,25,10,11,13,1,109
2024-03-03 10:30:00,26,27,18,18,8,8,1,106
2024-03-03 10:40:00,31,15,34,18,18,17,0,133
2024-03-03 10:50:00,39,24,21,22,13,12,3,134
2024-03-03 11:00:00,44,24,28,24,18,23,1,162
2024-03-03 11:10:00,49,21,28,23,19,23,1,164
2024-03-03 11:20:00,46,29,29,28,14,21,1,168
2024-03-03 11:30:00,53,16,27,18,8,11,2,135
2024-03-03 11:40:00,43,26,27,24,15,23,2,160
2024-03-03 11:50:00,45,25,27,25,15,15,2,154
2024-03-03 12:00:00,47,19,24,21,11,14,0,136
2024-03-03 12:10:00,53,24,20,28,14,20,1,160
2024-03-03 12:20:00,35,31,23,24,17,24,1,155
2024-03-03 12:30:00,52,18,28,31,13,15,0,157
2024-03-03 12:40:00,42,23,26,35,17,23,1,167
2024-03-03 12:50:00,50,30,22,20,19,26,3,170
2024-03-03 13:00:00,53,28,23,28,19,17,1,169
2024-03-03 13:10:00,37,22,20,27,21,36,2,165
2024-03-03 13:20:00,65,36,31,42,22,29,0,225
2024-03-03 13:30:00,65,22,23,35,17,21,1,184
2024-03-03 13:40:00,53,20,23,35,15,22,2,170
2024-03-03 13:50:00,38,21,22,27,21,22,4,155
2024-03-03 14:00:00,36,30,30,35,25,27,1,184
2024-03-03 14:10:00,38,23,24,29,14,20,3,151
2024-03-03 14:20:00,37,29,24,31,16,22,2,161
2024-03-03 14:30:00,65,27,26,26,17,26,1,188
2024-03-03 14:40:00,43,35,22,37,18,21,6,182
2024-03-03 14:50:00,44,34,25,34,18,26,1,182
2024-03-03 15:00:00,53,33,26,44,14,21,2,193
2024-03-03 15:10:00,58,24,30,22,12,18,4,168
2024-03-03 15:20:00,37,29,36,30,10,15,6,163
2024-03-03 15:30:00,52,29,30,38,20,23,3,195
2024-03-03 15:40:00,49,34,28,26,13,18,3,171
2024-03-03 15:50:00,57,29,22,19,15,20,0,162
2024-03-03 16:00:00,45,20,24,22,13,13,2,139
2024-03-03 16:10:00,55,25,39,26,19,22,3,189
2024-03-03 16:20:00,50,17,22,32,18,25,1,165
2024-03-03 16:30:00,54,21,21,25,22,22,3,168
2024-03-03 16:40:00,57,27,26,41,13,24,3,191
2024-03-03 16:50:00,36,21,19,26,20,23,3,148
2024-03-03 17:00:00,52,36,19,29,15,21,0,172
2024-03-03 17:10:00,49,26,26,29,17,27,2,176
2024-03-03 17:20:00,47,24,25,19,15,10,3,143
2024-03-03 17:30:00,48,25,25,3,8,1,0,110
2024-03-03 17:40:00,35,24,24,16,18,11,2,130
2024-03-03 17:50:00,43,25,20,33,13,17,0,151
2024-03-03 18:00:00,45,24,15,37,15,14,1,151
2024-03-03 18:10:00,32,24,18,29,15,18,1,137
2024-03-03 18:20:00,29,19,23,22,13,12,2,120
2024-03-03 18:30:00,21,18,21,21,10,10,0,101
2024-03-03 18:40:00,22,32,32,38,15,24,2,165
2024-03-03 18:50:00,20,28,24,21,16,17,3,129
2024-03-03 19:00:00,32,33,18,20,13,11,2,129
2024-03-03 19:10:00,19,21,45,24,14,21,3,147
2024-03-03 19:20:00,17,24,25,25,17,15,1,124
2024-03-03 19:30:00,23,25,34,28,9,8,0,127
2024-03-03 19:40:00,23,26,34,20,16,19,0,138
2024-03-03 19:50:00,19,17,20,27,22,21,1,127
2024-03-03 20:00:00,12,16,25,21,11,11,0,96
2024-03-03 20:10:00,15,27,24,24,10,9,0,109
2024-03-03 20:20:00,14,18,26,20,13,13,0,104
2024-03-03 20:30:00,18,25,28,30,8,12,0,121
2024-03-03 20:40:00,13,24,20,16,7,7,2,89
2024-03-03 20:50:00,7,19,19,18,10,14,1,88
2024-03-03 21:00:00,21,19,22,16,11,9,0,98
2024-03-03 21:10:00,13,22,18,13,9,9,1,85
2024-03-03 21:20:00,10,13,15,17,7,9,0,71
2024-03-03 21:30:00,13,16,14,10,3,3,0,59
2024-03-03 21:40:00,12,20,20,14,8,10,0,84
2024-03-03 21:50:00,9,10,19,15,7,4,1,65
2024-03-03 22:00:00,11,9,22,28,5,10,0,85
2024-03-03 22:10:00,9,17,12,16,6,7,0,67
2024-03-03 22:20:00,7,9,15,16,4,6,0,57
2024-03-03 22:30:00,9,10,8,14,2,3,0,46
2024-03-03 22:40:00,10,8,8,10,3,6,0,45
2024-03-03 22:50:00,10,6,7,19,6,15,0,63
2024-03-03 23:00:00,3,6,7,8,1,4,0,29
2024-03-03 23:10:00,10,7,8,7,2,1,0,35
2024-03-03 23:20:00,8,6,5,11,2,2,0,34
2024-03-03 23:30:00,5,1,8,6,1,2,0,23
2024-03-03 23:40:00,5,4,2,10,0,4,0,25
2024-03-03 23:50:00,5,6,5,8,4,5,0,33
2024-03-04 00:00:00,3,5,8,5,1,2,0,24
2024-03-04 00:10:00,5,4,5,7,1,6,0,28
2024-03-04 00:20:00,3,5,5,5,1,3,0,22
2024-03-04 00:30:00,3,4,1,3,0,0,0,11
2024-03-04 00:40:00,6,2,5,3,0,0,0,16
2024-03-04 00:50:00,2,3,3,4,2,2,0,16
2024-03-04 01:00:00,0,2,3,2,0,0,0,7
2024-03-04 01:10:00,0,2,2,2,0,0,0,6
2024-03-04 01:20:00,4,3,4,3,1,5,0,20
2024-03-04 01:30:00,2,4,3,5,0,1,0,15
2024-03-04 01:40:00,0,3,10,3,3,2,0,21
2024-03-04 01:50:00,1,2,4,3,1,1,0,12
2024-03-04 02:00:00,2,0,2,3,0,0,0,7
2024-03-04 02:10:00,1,3,2,0,0,0,0,6
2024-03-04 02:20:00,0,4,3,2,0,0,0,9
2024-03-04 02:30:00,1,1,3,0,0,0,0,5
2024-03-04 02:40:00,1,1,4,2,0,0,0,8
2024-03-04 02:50:00,2,1,6,4,1,1,0,15
2024-03-04 03:00:00,3,1,2,2,0,1,0,9
2024-03-04 03:10:00,1,2,2,2,0,1,0,8
2024-03-04 03:20:00,2,3,7,1,1,1,0,15
2024-03-04 03:30:00,0,2,2,0,0,0,0,4
2024-03-04 03:40:00,1,2,2,2,0,1,0,8
2024-03-04 03:50:00,4,4,7,2,0,0,0,17
2024-03-04 04:00:00,2,2,5,5,2,5,0,21
2024-03-04 04:10:00,3,10,3,2,1,1,0,20
2024-03-04 04:20:00,2,8,7,5,4,7,0,33
2024-03-04 04:30:00,1,13,7,1,2,3,0,27
2024-03-04 04:40:00,3,19,16,4,2,2,0,46
2024-03-04 04:50:00,3,24,20,3,1,2,0,53
2024-03-04 05:00:00,10,28,23,4,1,2,0,68
2024-03-04 05:10:00,8,29,25,7,2,4,1,76
2024-03-04 05:20:00,10,42,34,7,3,3,0,99
2024-03-04 05:30:00,7,54,44,4,0,0,0,109
2024-03-04 05:40:00,5,64,39,11,2,4,0,125
2024-03-04 05:50:00,10,47,40,9,2,2,0,110
2024-03-04 06:00:00,5,40,38,14,6,9,0,112
2024-03-04 06:10:00,8,35,39,13,2,5,0,102
2024-03-04 06:20:00,12,28,29,16,7,9,2,103
2024-03-04 06:30:00,13,34,19,18,7,8,1,100
2024-03-04 06:40:00,20,31,22,20,7,13,1,114
2024-03-04 06:50:00,13,39,30,17,5,9,0,113
2024-03-04 07:00:00,19,40,21,24,3,11,0,118
2024-03-04 07:10:00,13,30,17,30,10,17,3,120
2024-03-04 07:20:00,28,30,13,27,8,16,2,124
2024-03-04 07:30:00,20,32,20,26,15,15,7,135
2024-03-04 07:40:00,15,35,26,28,11,24,1,140
2024-03-04 07:50:00,26,31,11,25,12,22,1,128
2024-03-04 08:00:00,30,25,25,20,11,13,1,125
2024-03-04 08:10:00,12,32,24,21,8,8,0,105
