datetime,D23Z,V24Z,D81Z,D82Z,D83Z,V84Z,Total
2024-03-03 09:50:00,22,25,15,21,21,20,124
2024-03-03 10:00:00,21,19,24,29,25,18,136
2024-03-03 10:10:00,21,17,24,28,25,21,136
2024-03-03 10:20:00,21,17,14,20,20,17,109
2024-03-03 10:30:00,14,17,7,18,16,13,85
2024-03-03 10:40:00,19,17,3,27,27,21,114
2024-03-03 10:50:00,26,19,10,20,17,17,109
2024-03-03 11:00:00,20,15,14,30,31,27,137
2024-03-03 11:10:00,27,21,6,20,19,13,106
2024-03-03 11:20:00,26,20,7,20,18,17,108
2024-03-03 11:30:00,30,22,7,29,25,21,134
2024-03-03 11:40:00,35,25,8,34,30,31,163
2024-03-03 11:50:00,34,24,12,32,29,22,153
2024-03-03 12:00:00,31,27,13,17,18,19,125
2024-03-03 12:10:00,23,16,15,23,23,22,122
2024-03-03 12:20:00,30,21,15,25,25,21,137
2024-03-03 12:30:00,41,27,16,26,26,16,152
2024-03-03 12:40:00,45,31,31,23,24,17,171
2024-03-03 12:50:00,34,28,30,30,28,32,182
2024-03-03 13:00:00,28,21,14,34,33,22,152
2024-03-03 13:10:00,34,31,10,27,29,19,150
2024-03-03 13:20:00,29,23,7,22,20,22,123
2024-03-03 13:30:00,34,24,14,23,21,26,142
2024-03-03 13:40:00,27,32,10,34,30,23,156
2024-03-03 13:50:00,26,22,11,26,29,26,140
2024-03-03 14:00:00,38,20,74,42,38,28,240
2024-03-03 14:10:00,30,27,567,41,39,27,731
2024-03-03 14:20:00,37,23,899,42,44,25,1070
2024-03-03 14:30:00,38,26,123,36,33,27,283
2024-03-03 14:40:00,38,25,65,32,34,27,221
2024-03-03 14:50:00,37,29,90,39,39,28,262
2024-03-03 15:00:00,25,19,99,30,31,23,227
2024-03-03 15:10:00,27,27,383,30,27,22,516
2024-03-03 15:20:00,26,23,128,31,31,25,264
2024-03-03 15:30:00,30,22,9,33,31,23,148
2024-03-03 15:40:00,23,19,16,33,34,25,150
2024-03-03 15:50:00,24,15,13,46,43,27,168
2024-03-03 16:00:00,23,21,33,33,32,32,174
2024-03-03 16:10:00,28,28,175,37,33,25,326
2024-03-03 16:20:00,28,23,134,25,28,18,256
2024-03-03 16:30:00,28,24,82,29,29,24,216
2024-03-03 16:40:00,31,24,273,36,34,23,421
2024-03-03 16:50:00,27,21,212,25,26,22,333
2024-03-03 17:00:00,40,25,153,34,33,28,313
2024-03-03 17:10:00,34,28,114,40,40,26,282
2024-03-03 17:20:00,32,23,260,37,37,30,419
2024-03-03 17:30:00,30,23,9,41,41,36,180
2024-03-03 17:40:00,41,24,21,38,38,28,190
2024-03-03 17:50:00,30,16,17,30,30,25,148
2024-03-03 18:00:00,34,22,11,31,30,23,151
2024-03-03 18:10:00,19,16,7,44,42,21,149
2024-03-03 18:20:00,33,22,8,31,33,21,148
2024-03-03 18:30:00,34,20,20,35,29,26,164
2024-03-03 18:40:00,30,27,16,31,30,25,159
2024-03-03 18:50:00,35,23,20,35,34,33,180
2024-03-03 19:00:00,30,22,16,28,31,25,152
2024-03-03 19:10:00,23,23,10,29,30,26,141
2024-03-03 19:20:00,23,20,13,29,26,26,137
2024-03-03 19:30:00,40,23,17,21,21,23,145
2024-03-03 19:40:00,24,15,11,22,20,19,111
2024-03-03 19:50:00,24,18,8,25,25,14,114
2024-03-03 20:00:00,17,12,4,16,17,15,81
2024-03-03 20:10:00,19,15,5,14,15,13,81
2024-03-03 20:20:00,18,16,3,18,19,17,91
2024-03-03 20:30:00,23,18,10,21,21,19,112
2024-03-03 20:40:00,15,11,6,21,20,16,89
2024-03-03 20:50:00,16,16,4,24,25,16,101
2024-03-03 21:00:00,13,9,6,22,20,18,88
2024-03-03 21:10:00,10,9,8,21,19,19,86
2024-03-03 21:20:00,16,15,4,12,12,12,71
2024-03-03 21:30:00,19,14,3,13,13,14,76
2024-03-03 21:40:00,13,12,4,17,17,11,74
2024-03-03 21:50:00,13,11,6,17,18,17,82
2024-03-03 22:00:00,17,13,3,16,17,17,83
2024-03-03 22:10:00,12,8,4,11,12,9,56
2024-03-03 22:20:00,15,13,1,8,6,6,49
2024-03-03 22:30:00,13,9,0,3,3,1,29
2024-03-03 22:40:00,10,11,0,8,7,10,46
2024-03-03 22:50:00,12,12,2,2,2,2,32
2024-03-03 23:00:00,9,8,1,9,11,12,50
2024-03-03 23:10:00,9,8,2,5,5,3,32
2024-03-03 23:20:00,5,4,4,6,4,4,27
2024-03-03 23:30:00,12,10,8,6,2,7,45
2024-03-03 23:40:00,4,5,0,6,5,5,25
2024-03-03 23:50:00,12,10,4,9,6,5,46
2024-03-04 00:00:00,8,9,0,3,3,3,26
2024-03-04 00:10:00,8,8,0,2,2,1,21
2024-03-04 00:20:00,3,4,2,7,8,6,30
2024-03-04 00:30:00,1,1,5,1,0,0,8
2024-03-04 00:40:00,4,4,3,4,5,6,26
2024-03-04 00:50:00,3,3,5,0,0,0,11
2024-03-04 01:00:00,1,1,11,2,1,2,18
2024-03-04 01:10:00,0,0,11,1,1,1,14
2024-03-04 01:20:00,2,2,8,5,5,2,24
2024-03-04 01:30:00,2,1,10,1,1,1,16
2024-03-04 01:40:00,1,0,13,1,1,2,18
2024-03-04 01:50:00,2,2,4,0,0,0,8
2024-03-04 02:00:00,1,2,16,1,1,1,22
2024-03-04 02:10:00,1,1,3,1,1,1,8
2024-03-04 02:20:00,3,3,10,1,3,1,21
2024-03-04 02:30:00,1,1,4,0,0,0,6
2024-03-04 02:40:00,4,4,24,5,4,5,46
2024-03-04 02:50:00,0,0,22,0,1,0,23
2024-03-04 03:00:00,2,2,24,1,0,1,30
2024-03-04 03:10:00,3,1,31,3,3,2,43
2024-03-04 03:20:00,3,3,15,2,1,1,25
2024-03-04 03:30:00,1,0,28,1,1,1,32
2024-03-04 03:40:00,1,1,112,2,2,2,120
2024-03-04 03:50:00,2,2,9,2,2,1,18
2024-03-04 04:00:00,1,0,0,2,2,2,7
2024-03-04 04:10:00,4,2,1,5,3,6,21
2024-03-04 04:20:00,5,3,0,7,5,4,24
2024-03-04 04:30:00,4,5,0,8,7,6,30
2024-03-04 04:40:00,4,1,1,3,3,2,14
2024-03-04 04:50:00,5,2,2,11,11,11,42
2024-03-04 05:00:00,3,2,4,9,8,8,34
2024-03-04 05:10:00,6,3,4,10,9,6,38
2024-03-04 05:20:00,12,8,6,10,11,11,58
2024-03-04 05:30:00,10,8,10,19,15,16,78
2024-03-04 05:40:00,15,11,21,18,16,9,90
2024-03-04 05:50:00,10,7,17,19,18,16,87
2024-03-04 06:00:00,12,9,13,20,20,18,92
2024-03-04 06:10:00,17,14,7,11,14,12,75
2024-03-04 06:20:00,20,15,8,25,22,19,109
2024-03-04 06:30:00,16,12,15,32,31,21,127
2024-03-04 06:40:00,23,15,7,25,27,13,110
2024-03-04 06:50:00,25,18,18,46,44,26,177
2024-03-04 07:00:00,27,16,15,38,39,20,155
2024-03-04 07:10:00,33,27,18,34,42,25,179
2024-03-04 07:20:00,45,22,21,39,35,25,187
2024-03-04 07:30:00,38,22,24,61,65,30,240
2024-03-04 07:40:00,48,14,25,58,52,27,224
2024-03-04 07:50:00,56,18,36,63,62,26,261
2024-03-04 08:00:00,38,19,59,64,68,26,274
2024-03-04 08:10:00,35,24,51,45,42,18,215
2024-03-04 08:20:00,41,24,41,41,38,30,215
2024-03-04 08:30:00,36,16,51,60,61,33,257
2024-03-04 08:40:00,54,25,37,48,52,29,245
2024-03-04 08:50:00,45,24,51,40,35,25,220
2024-03-04 09:00:00,38,23,46,42,40,27,216
2024-03-04 09:10:00,38,24,20,37,36,23,178
2024-03-04 09:20:00,33,21,17,50,49,26,196
2024-03-04 09:30:00,25,17,26,45,41,28,182
2024-03-04 09:40:00,37,26,30,73,56,48,270
2024-03-04 09:50:00,31,22,26,59,46,48,232
2024-03-04 10:00:00,41,28,11,24,25,21,150
2024-03-04 10:10:00,34,23,23,39,36,24,179
2024-03-04 10:20:00,31,21,31,39,37,23,182
2024-03-04 10:30:00,22,17,25,32,32,18,146
2024-03-04 10:40:00,25,19,26,36,35,24,165
2024-03-04 10:50:00,33,22,27,37,38,19,176
2024-03-04 11:00:00,35,21,19,30,27,23,155
2024-03-04 11:10:00,49,23,32,43,44,26,217
2024-03-04 11:20:00,40,11,24,37,32,22,166
2024-03-04 11:30:00,40,27,22,40,37,22,188
2024-03-04 11:40:00,39,20,14,34,35,24,166
2024-03-04 11:50:00,36,25,20,36,35,16,168
2024-03-04 12:00:00,27,21,19,40,40,27,174
2024-03-04 12:10:00,38,23,10,30,28,23,152
2024-03-04 12:20:00,45,27,50,52,53,30,257
2024-03-04 12:30:00,40,25,33,42,39,29,208
2024-03-04 12:40:00,37,20,21,40,40,30,188
2024-03-04 12:50:00,39,24,20,38,38,23,182
2024-03-04 13:00:00,35,24,20,40,40,27,186
2024-03-04 13:10:00,45,28,36,39,41,28,217
2024-03-04 13:20:00,42,22,33,42,36,25,200
2024-03-04 13:30:00,50,25,24,39,38,21,197
2024-03-04 13:40:00,48,22,32,47,53,32,234
2024-03-04 13:50:00,43,22,13,32,29,21,160
2024-03-04 14:00:00,33,22,15,35,33,23,161
2024-03-04 14:10:00,56,23,30,55,54,26,244
