datetime,D21Z,V22Z,D51Z,V52Z,D81Z,V82Z,D111Z,V112Z,Total
2024-03-02 23:50:00,0,0,5,27,5,3,40,21,101
2024-03-03 00:00:00,2,2,4,31,5,8,28,27,107
2024-03-03 00:10:00,0,0,2,18,3,4,23,22,72
2024-03-03 00:20:00,2,1,1,15,4,6,17,12,58
2024-03-03 00:30:00,5,1,1,12,2,1,11,16,49
2024-03-03 00:40:00,6,6,1,13,4,1,25,21,77
2024-03-03 00:50:00,6,2,2,21,9,4,25,21,90
2024-03-03 01:00:00,1,0,0,11,1,1,25,26,65
2024-03-03 01:10:00,4,2,0,7,3,2,17,17,52
2024-03-03 01:20:00,0,0,2,14,1,1,9,12,39
2024-03-03 01:30:00,2,1,1,9,1,1,12,11,38
2024-03-03 01:40:00,1,0,0,14,3,4,14,16,52
2024-03-03 01:50:00,0,0,3,15,2,3,15,18,56
2024-03-03 02:00:00,1,1,0,7,1,1,12,13,36
2024-03-03 02:10:00,0,0,1,10,1,1,8,9,30
2024-03-03 02:20:00,2,2,2,13,2,0,12,11,44
2024-03-03 02:30:00,1,1,0,5,0,0,5,6,18
2024-03-03 02:40:00,1,1,0,9,0,0,10,10,31
2024-03-03 02:50:00,1,1,0,12,1,1,3,6,25
2024-03-03 03:00:00,0,0,2,4,1,0,4,3,14
2024-03-03 03:10:00,1,0,0,4,1,2,4,5,17
2024-03-03 03:20:00,0,0,0,7,1,0,4,4,16
2024-03-03 03:30:00,1,2,0,6,2,2,7,6,26
2024-03-03 03:40:00,1,1,0,1,1,2,3,3,12
2024-03-03 03:50:00,0,0,2,8,0,0,4,4,18
2024-03-03 04:00:00,0,0,2,4,0,0,4,7,17
2024-03-03 04:10:00,0,0,1,8,0,0,7,10,26
2024-03-03 04:20:00,1,1,0,8,3,5,4,4,26
2024-03-03 04:30:00,0,0,0,8,1,1,6,8,24
2024-03-03 04:40:00,0,0,0,8,0,0,2,2,12
2024-03-03 04:50:00,0,0,2,10,1,2,5,7,27
2024-03-03 05:00:00,0,0,1,7,2,2,3,3,18
2024-03-03 05:10:00,0,0,1,12,1,1,3,4,22
2024-03-03 05:20:00,1,0,4,11,2,1,9,11,39
2024-03-03 05:30:00,3,0,6,14,2,2,4,4,35
2024-03-03 05:40:00,5,5,2,13,2,2,3,3,35
2024-03-03 05:50:00,0,0,2,14,1,1,5,6,29
2024-03-03 06:00:00,1,1,2,9,1,0,9,10,33
2024-03-03 06:10:00,5,5,5,19,2,1,7,7,51
2024-03-03 06:20:00,2,2,1,6,1,1,4,3,20
2024-03-03 06:30:00,4,3,1,9,0,0,8,9,34
2024-03-03 06:40:00,2,2,2,8,0,0,8,9,31
2024-03-03 06:50:00,4,1,5,10,4,5,5,5,39
2024-03-03 07:00:00,1,1,2,12,2,2,6,6,32
2024-03-03 07:10:00,1,0,1,4,1,0,2,2,11
2024-03-03 07:20:00,0,0,1,6,2,3,9,8,29
2024-03-03 07:30:00,1,1,1,7,2,2,6,6,26
2024-03-03 07:40:00,0,0,2,8,3,3,9,9,34
2024-03-03 07:50:00,4,1,3,6,6,3,7,6,36
2024-03-03 08:00:00,2,0,5,16,6,7,5,5,46
2024-03-03 08:10:00,2,1,9,18,2,2,9,10,53
2024-03-03 08:20:00,2,0,14,19,4,6,15,14,74
2024-03-03 08:30:00,6,4,8,14,5,2,13,10,62
2024-03-03 08:40:00,2,0,8,23,6,4,17,13,73
2024-03-03 08:50:00,7,2,8,10,9,7,11,14,68
2024-03-03 09:00:00,3,1,14,25,6,7,8,11,75
2024-03-03 09:10:00,2,1,7,22,9,10,20,19,90
2024-03-03 09:20:00,6,3,8,21,4,3,16,17,78
2024-03-03 09:30:00,5,1,17,28,16,11,17,16,111
2024-03-03 09:40:00,3,2,21,34,14,14,24,20,132
2024-03-03 09:50:00,13,6,27,34,8,10,27,20,145
2024-03-03 10:00:00,8,6,29,32,20,16,27,24,162
2024-03-03 10:10:00,14,6,19,44,11,10,21,22,147
2024-03-03 10:20:00,8,5,18,45,11,9,21,13,130
2024-03-03 10:30:00,7,6,23,52,8,7,30,28,161
2024-03-03 10:40:00,13,7,23,47,14,17,32,32,185
2024-03-03 10:50:00,7,5,26,45,16,16,31,32,178
2024-03-03 11:00:00,13,6,20,44,25,16,43,35,202
2024-03-03 11:10:00,13,10,25,39,19,18,41,33,198
2024-03-03 11:20:00,12,7,16,52,22,18,38,27,192
2024-03-03 11:30:00,23,12,24,46,11,17,26,24,183
2024-03-03 11:40:00,10,4,24,39,11,14,39,35,176
2024-03-03 11:50:00,10,3,33,55,20,12,39,31,203
2024-03-03 12:00:00,18,8,20,39,15,18,23,26,167
2024-03-03 12:10:00,11,3,27,49,41,24,46,30,231
2024-03-03 12:20:00,11,7,38,56,16,19,33,25,205
2024-03-03 12:30:00,6,5,26,60,23,17,47,35,219
2024-03-03 12:40:00,14,10,30,45,28,18,51,28,224
2024-03-03 12:50:00,12,5,34,54,15,39,44,26,229
2024-03-03 13:00:00,14,3,19,52,20,36,54,29,227
2024-03-03 13:10:00,14,4,38,48,22,19,76,33,254
2024-03-03 13:20:00,15,6,26,56,12,14,61,42,232
2024-03-03 13:30:00,11,8,24,58,16,12,51,41,221
2024-03-03 13:40:00,22,12,35,51,23,17,61,29,250
2024-03-03 13:50:00,11,5,36,45,15,17,45,31,205
2024-03-03 14:00:00,15,7,23,56,19,13,64,38,235
2024-03-03 14:10:00,19,6,17,40,38,16,62,31,229
2024-03-03 14:20:00,12,6,30,65,16,16,56,33,234
2024-03-03 14:30:00,25,9,29,57,25,15,56,28,244
2024-03-03 14:40:00,15,5,33,62,28,15,58,34,250
2024-03-03 14:50:00,19,6,33,63,21,21,56,32,251
2024-03-03 15:00:00,14,5,31,49,23,23,62,36,243
2024-03-03 15:10:00,20,8,28,53,26,16,54,29,234
2024-03-03 15:20:00,6,6,17,64,20,18,48,38,217
2024-03-03 15:30:00,13,8,26,38,24,20,70,34,233
2024-03-03 15:40:00,13,9,33,48,43,16,49,33,244
2024-03-03 15:50:00,15,6,29,61,26,17,50,27,231
2024-03-03 16:00:00,16,5,31,80,24,19,36,20,231
2024-03-03 16:10:00,23,9,28,45,27,21,53,27,233
2024-03-03 16:20:00,23,10,32,50,19,11,54,25,224
2024-03-03 16:30:00,27,11,21,58,18,11,47,27,220
2024-03-03 16:40:00,12,6,32,55,21,13,64,32,235
2024-03-03 16:50:00,11,7,38,66,16,11,52,38,239
2024-03-03 17:00:00,12,4,25,58,24,13,50,54,240
2024-03-03 17:10:00,20,10,21,48,24,12,59,40,234
2024-03-03 17:20:00,11,6,30,60,25,10,64,35,241
2024-03-03 17:30:00,15,7,16,73,20,15,51,30,227
2024-03-03 17:40:00,17,9,22,56,25,12,54,33,228
2024-03-03 17:50:00,11,4,24,54,19,11,47,23,193
2024-03-03 18:00:00,19,6,20,55,19,26,52,29,226
2024-03-03 18:10:00,11,7,29,72,17,14,53,24,227
2024-03-03 18:20:00,13,11,20,57,20,13,42,25,201
2024-03-03 18:30:00,8,2,17,40,5,4,44,25,145
2024-03-03 18:40:00,10,7,29,47,15,13,54,33,208
2024-03-03 18:50:00,6,7,16,65,11,10,40,18,173
2024-03-03 19:00:00,15,3,18,40,13,14,36,21,160
2024-03-03 19:10:00,5,4,23,70,5,6,33,31,177
2024-03-03 19:20:00,4,4,19,50,7,5,32,23,144
2024-03-03 19:30:00,11,6,23,45,8,6,33,30,162
2024-03-03 19:40:00,4,4,16,30,11,11,37,20,133
2024-03-03 19:50:00,8,4,10,52,10,12,40,29,165
2024-03-03 20:00:00,7,5,19,66,8,15,43,25,188
2024-03-03 20:10:00,8,5,15,34,4,4,38,27,135
2024-03-03 20:20:00,7,2,6,34,12,10,25,20,116
2024-03-03 20:30:00,3,2,8,33,7,6,35,23,117
2024-03-03 20:40:00,5,5,6,33,8,7,27,24,115
2024-03-03 20:50:00,6,2,8,23,7,8,30,25,109
2024-03-03 21:00:00,5,3,10,38,4,7,36,24,127
2024-03-03 21:10:00,6,4,3,21,8,12,12,13,79
2024-03-03 21:20:00,4,3,4,34,10,13,24,20,112
2024-03-03 21:30:00,2,1,4,26,3,2,16,17,71
2024-03-03 21:40:00,0,0,4,20,4,6,26,27,87
