datetime,D1Z,D2Z,D3Z,D4Z,D5Z,D6Z,D7Z,D8Z,D9Z,D10Z,D11Z,D12Z,D13Z,D14Z,D15Z,D16Z,D17Z,D18Z,D19Z,D20Z,D21Z,D22Z,D23Z,D24Z,Total
2024-03-01 21:50:00,0,17,0,25,30,31,32,29,24,25,0,0,0,0,14,0,47,47,0,0,16,16,47,46,446
2024-03-01 22:00:00,1,30,1,44,29,29,29,29,42,42,0,0,0,0,18,0,53,52,0,0,15,15,53,53,535
2024-03-01 22:10:00,0,17,0,25,19,23,21,20,24,24,0,0,1,1,15,0,31,32,0,0,12,12,35,35,347
2024-03-01 22:20:00,0,16,0,25,33,35,37,34,25,25,0,0,0,0,17,0,44,43,0,0,11,11,48,48,452
2024-03-01 22:30:00,0,27,0,39,19,18,17,16,37,40,0,0,0,0,17,0,40,41,0,0,16,15,43,43,428
2024-03-01 22:40:00,1,16,1,19,26,29,28,28,22,22,0,0,0,0,14,0,36,36,0,0,10,10,37,37,372
2024-03-01 22:50:00,0,16,0,22,18,18,17,15,22,22,0,0,0,0,9,0,36,36,0,0,6,6,37,37,317
2024-03-01 23:00:00,0,14,1,22,26,29,27,25,22,21,0,0,0,0,19,0,34,34,0,0,15,15,39,39,382
2024-03-01 23:10:00,0,14,0,20,19,20,22,22,21,21,0,0,0,0,15,0,37,38,0,0,12,12,38,37,348
2024-03-01 23:20:00,0,12,0,21,26,27,27,24,20,20,0,0,0,0,22,0,43,43,0,0,18,18,44,45,410
2024-03-01 23:30:00,0,17,0,23,15,19,20,19,23,23,0,0,0,0,18,0,32,34,0,0,9,9,43,43,347
2024-03-01 23:40:00,0,17,0,20,26,26,25,23,19,21,0,0,0,0,18,0,37,37,0,0,16,16,39,40,380
2024-03-01 23:50:00,1,17,1,30,15,15,15,14,28,29,0,0,0,0,18,0,27,27,0,0,13,13,31,30,324
2024-03-02 00:00:00,0,8,0,13,17,19,18,16,11,12,0,0,0,0,6,0,23,23,0,0,8,8,25,23,230
2024-03-02 00:10:00,0,8,1,12,13,15,15,12,13,13,0,0,0,0,6,0,22,24,0,0,2,2,24,24,206
2024-03-02 00:20:00,0,17,0,21,16,18,18,17,20,21,0,0,0,0,7,0,30,30,0,0,8,8,31,31,293
2024-03-02 00:30:00,0,17,1,18,9,11,10,9,17,18,0,0,0,0,13,0,20,20,0,0,11,11,23,23,231
2024-03-02 00:40:00,0,11,0,13,5,5,5,5,12,12,0,0,0,0,12,0,5,5,0,0,9,9,8,8,124
2024-03-02 00:50:00,0,8,1,12,8,8,8,6,11,13,0,0,0,0,5,0,17,17,0,0,4,4,18,18,158
2024-03-02 01:00:00,0,5,0,7,9,9,9,9,7,7,0,0,0,0,9,0,8,8,0,0,4,4,10,10,115
2024-03-02 01:10:00,0,6,0,8,7,7,7,7,7,7,0,0,0,0,3,0,8,8,0,0,3,3,8,8,97
2024-03-02 01:20:00,0,4,0,5,8,9,9,8,6,6,0,0,0,0,5,0,13,13,0,0,4,4,14,14,122
2024-03-02 01:30:00,0,8,1,10,5,6,7,4,10,10,0,0,0,0,4,0,11,11,0,0,5,5,9,9,115
2024-03-02 01:40:00,0,7,0,10,12,11,9,9,10,10,0,0,0,0,3,0,16,16,0,0,3,3,17,17,153
2024-03-02 01:50:00,0,7,0,10,4,4,6,6,9,9,0,0,0,0,6,0,9,9,0,0,4,4,11,11,109
2024-03-02 02:00:00,0,5,0,7,2,4,3,3,7,7,0,0,0,0,8,0,3,3,0,0,8,8,3,3,74
2024-03-02 02:10:00,0,4,0,7,7,7,7,6,5,7,0,0,1,1,4,0,10,10,0,0,3,3,10,10,102
2024-03-02 02:20:00,0,2,0,2,5,7,7,6,2,3,0,0,0,0,0,0,9,9,0,0,0,0,9,9,70
2024-03-02 02:30:00,0,2,0,4,2,2,2,2,4,4,0,0,0,0,5,0,1,1,0,0,5,4,1,1,40
2024-03-02 02:40:00,0,1,0,2,5,5,4,4,2,2,0,0,0,0,1,0,5,5,0,0,0,1,5,5,47
2024-03-02 02:50:00,0,6,0,8,4,5,6,5,8,8,0,0,0,0,4,0,10,10,0,0,5,5,8,8,100
2024-03-02 03:00:00,0,5,0,5,2,3,3,3,5,5,0,0,0,0,3,0,5,5,0,0,3,3,6,6,62
2024-03-02 03:10:00,0,3,0,5,5,6,6,6,5,5,0,0,0,0,1,0,7,7,0,0,2,2,6,6,72
2024-03-02 03:20:00,0,2,0,4,1,1,1,2,4,4,0,0,0,0,3,0,5,5,0,0,3,3,5,5,48
2024-03-02 03:30:00,0,3,1,6,2,3,3,3,6,6,0,0,0,0,2,0,7,7,0,0,1,1,9,7,67
2024-03-02 03:40:00,0,4,0,4,1,1,1,1,4,4,0,0,0,0,3,0,2,2,0,0,3,3,2,2,37
2024-03-02 03:50:00,0,5,0,9,3,4,3,3,7,9,0,0,0,0,6,0,6,6,0,0,5,5,7,7,85
2024-03-02 04:00:00,0,5,0,5,2,4,4,4,6,6,0,0,0,0,3,0,7,7,0,0,3,3,7,7,73
2024-03-02 04:10:00,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,8
2024-03-02 04:20:00,0,1,0,3,3,3,3,3,3,3,0,0,0,0,1,0,5,5,0,0,0,0,6,6,45
2024-03-02 04:30:00,0,1,0,3,0,1,1,1,2,2,0,0,0,0,1,0,1,1,0,0,1,1,1,1,18
2024-03-02 04:40:00,0,2,0,3,1,1,1,0,3,3,0,0,0,0,2,0,3,3,0,0,2,2,2,2,30
2024-03-02 04:50:00,0,2,1,2,0,1,1,1,1,1,0,0,1,0,0,0,2,2,0,0,0,0,3,3,21
2024-03-02 05:00:00,0,3,2,5,3,3,3,3,5,5,0,0,3,1,4,0,4,4,0,0,3,2,5,5,63
2024-03-02 05:10:00,0,6,0,5,1,2,2,1,6,5,0,0,0,0,3,0,4,5,0,0,3,3,4,4,54
2024-03-02 05:20:00,0,6,0,3,5,5,5,4,3,3,0,0,1,1,1,0,8,8,0,0,0,0,7,7,67
2024-03-02 05:30:00,0,7,1,8,7,8,7,7,8,8,0,0,0,0,2,0,12,12,0,0,2,2,13,13,117
2024-03-02 05:40:00,0,6,0,9,5,6,7,7,8,8,0,0,0,0,4,0,10,10,0,0,4,4,11,11,110
2024-03-02 05:50:00,0,1,0,4,5,6,6,5,5,5,0,0,1,1,3,0,10,10,0,0,2,2,10,10,86
2024-03-02 06:00:00,0,6,0,5,7,8,8,9,5,5,0,0,0,0,2,0,11,11,0,0,1,1,13,13,105
2024-03-02 06:10:00,0,4,0,4,3,3,3,2,4,4,0,0,0,0,3,0,4,4,0,0,3,3,4,4,52
2024-03-02 06:20:00,0,14,1,15,4,4,4,4,13,14,0,0,0,0,5,0,13,13,0,0,2,2,14,14,136
2024-03-02 06:30:00,0,6,0,7,10,11,10,9,7,8,0,0,0,0,4,0,14,14,0,0,5,4,14,14,137
2024-03-02 06:40:00,0,8,0,12,8,8,8,7,10,10,0,0,0,0,4,0,15,15,0,0,2,2,15,15,139
2024-03-02 06:50:00,0,4,0,9,8,10,10,9,9,10,0,0,0,0,2,0,18,18,0,0,1,1,19,19,147
2024-03-02 07:00:00,0,6,2,5,5,6,5,5,5,5,0,0,0,0,0,0,9,9,0,0,0,0,9,9,80
2024-03-02 07:10:00,0,5,0,12,10,9,10,9,12,12,0,0,1,1,1,0,22,22,0,0,1,1,22,20,170
2024-03-02 07:20:00,0,2,2,6,5,6,5,5,6,7,0,0,0,0,4,0,7,7,0,0,3,2,9,9,85
2024-03-02 07:30:00,0,6,1,11,6,7,7,7,10,9,0,0,0,0,2,0,15,15,0,0,3,3,15,15,132
2024-03-02 07:40:00,0,15,2,19,8,10,10,10,15,15,0,0,0,0,2,0,23,22,0,0,2,2,23,23,201
2024-03-02 07:50:00,0,13,1,19,9,9,9,9,18,19,0,0,0,0,10,0,17,17,0,0,9,9,18,18,204
2024-03-02 08:00:00,0,4,1,10,11,14,14,13,8,8,0,0,1,1,5,0,18,19,0,0,4,4,19,19,173
2024-03-02 08:10:00,0,9,0,19,7,8,7,7,17,17,0,0,1,1,10,0,16,16,0,0,11,11,16,16,189
