datetime,V21Z,V22Z,V81Z,V82Z,V321Z,Total
2024-03-03 13:10:00,0,38,23,22,7,90
2024-03-03 13:20:00,0,52,22,24,2,100
2024-03-03 13:30:00,1,33,18,25,5,82
2024-03-03 13:40:00,1,40,8,21,4,74
2024-03-03 13:50:00,1,26,15,19,7,68
2024-03-03 14:00:00,0,33,19,36,9,97
2024-03-03 14:10:00,3,41,18,31,5,98
2024-03-03 14:20:00,10,37,22,36,3,108
2024-03-03 14:30:00,10,31,14,34,9,98
2024-03-03 14:40:00,7,30,21,33,5,96
2024-03-03 14:50:00,10,40,14,40,4,108
2024-03-03 15:00:00,8,32,16,37,3,96
2024-03-03 15:10:00,9,35,14,42,4,104
2024-03-03 15:20:00,5,28,17,32,8,90
2024-03-03 15:30:00,8,31,27,30,8,104
2024-03-03 15:40:00,12,38,17,34,6,107
2024-03-03 15:50:00,5,28,12,27,10,82
2024-03-03 16:00:00,11,32,20,35,8,106
2024-03-03 16:10:00,8,39,18,34,3,102
2024-03-03 16:20:00,11,26,14,25,7,83
2024-03-03 16:30:00,12,30,17,30,7,96
2024-03-03 16:40:00,9,40,19,40,5,113
2024-03-03 16:50:00,11,28,19,33,4,95
2024-03-03 17:00:00,10,35,19,29,9,102
2024-03-03 17:10:00,10,29,16,28,4,87
2024-03-03 17:20:00,9,41,17,40,3,110
2024-03-03 17:30:00,9,28,13,28,3,81
2024-03-03 17:40:00,14,43,21,35,6,119
2024-03-03 17:50:00,12,31,19,29,6,97
2024-03-03 18:00:00,10,37,14,25,8,94
2024-03-03 18:10:00,6,31,18,40,3,98
2024-03-03 18:20:00,8,26,9,35,1,79
2024-03-03 18:30:00,8,26,11,24,2,71
2024-03-03 18:40:00,11,32,15,22,0,80
2024-03-03 18:50:00,6,38,10,22,2,78
2024-03-03 19:00:00,5,40,8,26,0,79
2024-03-03 19:10:00,9,34,8,15,4,70
2024-03-03 19:20:00,8,25,13,36,3,85
2024-03-03 19:30:00,11,23,8,27,3,72
2024-03-03 19:40:00,6,28,9,30,1,74
2024-03-03 19:50:00,5,27,17,26,1,76
2024-03-03 20:00:00,13,30,8,17,2,70
2024-03-03 20:10:00,3,34,4,22,1,64
2024-03-03 20:20:00,6,23,11,22,1,63
2024-03-03 20:30:00,5,27,6,20,3,61
2024-03-03 20:40:00,8,26,3,15,0,52
2024-03-03 20:50:00,7,20,2,23,1,53
2024-03-03 21:00:00,4,21,3,18,0,46
2024-03-03 21:10:00,4,32,14,21,0,71
2024-03-03 21:20:00,9,22,3,22,0,56
2024-03-03 21:30:00,7,19,3,23,0,52
2024-03-03 21:40:00,7,27,3,14,0,51
2024-03-03 21:50:00,11,15,6,14,0,46
2024-03-03 22:00:00,11,16,3,23,0,53
2024-03-03 22:10:00,11,12,2,23,0,48
2024-03-03 22:20:00,9,12,3,22,0,46
2024-03-03 22:30:00,7,9,4,14,0,34
2024-03-03 22:40:00,10,12,4,8,0,34
2024-03-03 22:50:00,5,21,2,4,0,32
2024-03-03 23:00:00,7,8,5,8,0,28
2024-03-03 23:10:00,7,14,2,7,0,30
2024-03-03 23:20:00,3,8,5,8,0,24
2024-03-03 23:30:00,4,5,1,2,0,12
2024-03-03 23:40:00,7,14,2,7,0,30
2024-03-03 23:50:00,1,11,1,1,0,14
2024-03-04 00:00:00,1,6,3,6,0,16
2024-03-04 00:10:00,4,7,2,1,0,14
2024-03-04 00:20:00,2,4,1,4,0,11
2024-03-04 00:30:00,2,4,2,2,0,10
2024-03-04 00:40:00,0,6,2,5,0,13
2024-03-04 00:50:00,1,3,1,4,0,9
2024-03-04 01:00:00,2,6,1,6,0,15
2024-03-04 01:10:00,1,2,1,1,0,5
2024-03-04 01:20:00,1,1,0,3,0,5
2024-03-04 01:30:00,0,2,0,1,0,3
2024-03-04 01:40:00,0,1,0,1,0,2
2024-03-04 01:50:00,0,1,2,2,0,5
2024-03-04 02:00:00,1,2,0,1,0,4
2024-03-04 02:10:00,0,2,0,1,0,3
2024-03-04 02:20:00,1,2,1,1,0,5
2024-03-04 02:30:00,0,1,0,0,0,1
2024-03-04 02:40:00,1,0,2,3,0,6
2024-03-04 02:50:00,0,7,1,1,0,9
2024-03-04 03:00:00,0,2,1,1,0,4
2024-03-04 03:10:00,0,4,2,1,0,7
2024-03-04 03:20:00,0,1,0,2,0,3
2024-03-04 03:30:00,0,0,1,1,0,2
2024-03-04 03:40:00,1,2,0,4,0,7
2024-03-04 03:50:00,0,0,0,2,0,2
2024-03-04 04:00:00,3,4,1,4,0,12
2024-03-04 04:10:00,3,3,0,1,0,7
2024-03-04 04:20:00,0,0,0,2,0,2
