datetime,V11Z,V12Z,D21Z,D22Z,V23Z,V24Z,V33Z,V31Z,V32Z,V41Z,D51Z,V52Z,V101Z,D111Z,V112Z,V122Z,Total
2024-03-02 03:50:00,5,9,5,2,7,1,0,2,0,4,4,5,5,7,4,2,62
2024-03-02 04:00:00,10,15,8,4,7,3,0,6,4,2,2,3,3,3,4,2,76
2024-03-02 04:10:00,3,6,4,9,6,1,0,1,8,3,6,5,4,5,5,8,74
2024-03-02 04:20:00,6,11,7,0,6,0,0,0,2,4,4,6,4,4,21,2,77
2024-03-02 04:30:00,7,14,5,5,6,2,0,4,0,4,5,7,7,8,6,6,86
2024-03-02 04:40:00,8,8,4,2,7,0,0,0,2,6,7,9,10,12,5,16,96
2024-03-02 04:50:00,4,8,4,2,5,1,0,2,1,5,6,10,1,9,4,8,70
2024-03-02 05:00:00,7,6,5,3,6,2,0,5,3,6,3,8,5,11,6,10,86
2024-03-02 05:10:00,9,23,8,1,9,0,0,0,0,6,4,8,6,9,2,5,90
2024-03-02 05:20:00,4,6,5,4,6,4,0,7,1,8,9,11,7,11,8,15,106
2024-03-02 05:30:00,9,18,8,4,8,3,0,6,0,6,7,8,11,12,8,14,122
2024-03-02 05:40:00,20,32,16,5,14,4,0,7,3,11,12,15,10,14,15,16,194
2024-03-02 05:50:00,9,18,9,4,10,3,0,8,0,2,3,3,11,12,10,6,108
2024-03-02 06:00:00,7,15,8,9,11,2,0,5,0,7,10,12,8,14,5,14,127
2024-03-02 06:10:00,13,11,10,4,9,3,0,2,0,6,8,6,8,11,5,18,114
2024-03-02 06:20:00,2,5,3,3,3,4,0,4,0,10,13,11,13,16,12,15,114
2024-03-02 06:30:00,7,11,6,0,6,0,0,0,2,10,12,15,15,16,10,14,124
2024-03-02 06:40:00,13,15,9,3,12,4,0,5,1,10,10,11,13,13,14,13,146
2024-03-02 06:50:00,3,4,3,1,3,0,0,0,0,7,20,7,7,9,4,10,78
2024-03-02 07:00:00,3,5,4,3,5,4,0,4,0,14,12,13,10,10,11,9,107
2024-03-02 07:10:00,10,12,10,6,8,4,0,3,2,10,9,11,77,12,12,14,200
2024-03-02 07:20:00,6,9,6,6,6,6,0,6,0,9,9,13,10,9,14,9,118
2024-03-02 07:30:00,10,12,11,4,12,3,0,5,3,14,14,13,11,10,12,7,141
2024-03-02 07:40:00,15,16,16,9,13,9,0,9,3,13,10,10,19,16,19,7,184
2024-03-02 07:50:00,10,10,10,14,11,8,0,8,0,11,9,11,14,12,20,13,161
2024-03-02 08:00:00,10,10,10,6,10,5,0,3,2,14,9,13,15,12,13,7,139
2024-03-02 08:10:00,14,15,15,5,11,5,0,5,2,12,11,14,17,12,15,17,170
2024-03-02 08:20:00,19,17,21,6,16,2,0,2,0,11,12,10,12,8,11,8,155
2024-03-02 08:30:00,15,13,17,7,17,3,0,4,4,20,18,17,21,20,17,15,208
2024-03-02 08:40:00,20,18,20,10,20,7,0,7,0,19,17,18,27,16,27,17,243
2024-03-02 08:50:00,11,10,12,12,11,7,0,6,1,16,11,16,15,9,18,13,168
2024-03-02 09:00:00,23,16,26,8,18,8,0,7,3,16,15,14,33,25,28,21,261
2024-03-02 09:10:00,21,17,22,12,22,8,0,7,1,22,12,18,33,19,22,12,248
2024-03-02 09:20:00,27,18,34,9,21,7,0,8,3,18,16,16,27,18,25,10,257
2024-03-02 09:30:00,22,14,18,5,17,5,0,4,4,28,20,26,35,26,29,13,266
2024-03-02 09:40:00,25,20,29,18,22,13,0,12,2,16,11,13,37,32,35,13,298
2024-03-02 09:50:00,25,20,38,19,23,41,0,12,4,23,17,20,41,24,33,17,357
2024-03-02 10:00:00,24,21,27,15,20,14,0,13,1,27,16,24,195,22,39,16,474
2024-03-02 10:10:00,30,24,35,18,29,12,0,11,5,29,13,26,32,27,30,14,335
2024-03-02 10:20:00,28,19,30,12,25,14,0,7,4,31,28,27,51,26,41,13,356
2024-03-02 10:30:00,29,25,35,14,29,12,0,12,2,21,12,16,40,25,37,21,330
2024-03-02 10:40:00,26,18,35,17,23,9,0,9,4,26,16,21,41,28,36,15,324
2024-03-02 10:50:00,34,21,41,20,30,13,0,12,0,31,8,28,39,27,41,18,363
2024-03-02 11:00:00,31,20,36,12,29,10,0,11,2,39,18,34,40,22,32,17,353
2024-03-02 11:10:00,20,20,33,18,27,14,0,6,3,34,14,30,45,22,34,13,333
2024-03-02 11:20:00,41,25,52,19,29,17,0,9,6,37,17,29,39,26,33,15,394
2024-03-02 11:30:00,31,23,39,23,25,19,0,14,3,38,22,31,80,35,56,11,450
2024-03-02 11:40:00,30,19,36,18,23,11,0,12,6,36,18,34,37,20,39,16,355
2024-03-02 11:50:00,37,21,43,21,30,18,0,13,2,23,13,25,32,18,33,20,349
2024-03-02 12:00:00,59,29,68,18,35,13,0,11,7,33,11,30,45,21,38,12,430
2024-03-02 12:10:00,40,25,47,24,38,22,0,15,3,55,12,37,46,25,49,14,452
2024-03-02 12:20:00,35,30,37,17,31,10,0,7,3,28,17,25,45,31,36,18,370
2024-03-02 12:30:00,40,29,46,18,36,15,0,11,1,44,24,34,43,23,36,17,417
2024-03-02 12:40:00,34,20,47,24,26,14,0,18,5,40,16,34,48,30,45,21,422
2024-03-02 12:50:00,30,28,41,29,33,28,0,22,4,32,16,29,44,27,38,21,422
2024-03-02 13:00:00,47,27,52,31,35,19,0,19,5,42,22,36,102,32,53,12,534
2024-03-02 13:10:00,41,29,41,25,34,19,0,14,5,38,26,26,39,34,49,18,438
2024-03-02 13:20:00,41,32,42,21,39,18,0,16,3,50,19,29,45,28,49,13,445
2024-03-02 13:30:00,40,32,51,32,35,14,0,17,4,31,13,28,62,44,61,22,486
2024-03-02 13:40:00,36,28,39,32,29,18,0,14,2,39,12,28,46,28,56,19,426
2024-03-02 13:50:00,46,35,48,25,36,20,0,14,7,29,17,32,52,37,49,21,468
2024-03-02 14:00:00,39,27,42,34,33,23,0,22,5,43,15,33,51,42,64,23,496
2024-03-02 14:10:00,38,31,45,32,35,15,0,15,5,50,8,13,47,34,47,17,432
2024-03-02 14:20:00,41,29,40,29,29,25,0,15,3,46,11,32,59,36,49,17,461
2024-03-02 14:30:00,43,32,49,27,28,17,0,19,5,40,17,34,56,38,45,22,472
2024-03-02 14:40:00,39,29,49,26,40,16,0,16,3,44,17,30,30,22,37,18,416
2024-03-02 14:50:00,30,23,33,31,29,21,0,21,1,32,12,25,53,39,67,16,433
2024-03-02 15:00:00,37,22,43,27,31,15,0,15,6,37,22,34,47,38,46,18,438
2024-03-02 15:10:00,22,24,38,23,21,18,0,13,2,28,18,26,54,36,53,14,390
2024-03-02 15:20:00,36,29,40,20,34,20,0,14,6,38,23,31,29,24,37,9,390
2024-03-02 15:30:00,29,18,35,24,30,21,0,16,2,48,14,30,33,27,43,17,387
2024-03-02 15:40:00,26,22,35,13,25,12,0,7,2,34,24,29,53,26,43,8,359
2024-03-02 15:50:00,39,26,39,26,30,25,0,13,4,36,20,30,40,28,46,16,418
2024-03-02 16:00:00,43,32,43,15,31,13,0,9,0,42,21,34,36,25,36,20,400
2024-03-02 16:10:00,25,24,29,21,30,15,0,11,1,29,16,26,55,22,33,17,354
2024-03-02 16:20:00,30,24,38,18,32,18,0,11,0,33,14,26,37,29,38,14,362
2024-03-02 16:30:00,41,24,48,14,36,14,0,11,1,52,21,29,35,26,36,16,404
2024-03-02 16:40:00,34,25,38,26,30,20,0,14,1,28,20,30,40,38,51,14,409
2024-03-02 16:50:00,30,20,95,22,34,18,0,14,0,36,23,33,44,29,47,19,464
2024-03-02 17:00:00,35,23,46,26,32,19,0,18,1,33,16,23,38,28,42,18,398
2024-03-02 17:10:00,22,19,31,23,20,21,0,18,1,38,15,30,43,32,47,18,378
2024-03-02 17:20:00,38,28,37,19,29,11,0,14,4,35,16,26,50,34,46,18,405
2024-03-02 17:30:00,30,33,29,13,27,14,0,13,2,32,19,28,48,37,44,12,381
2024-03-02 17:40:00,34,30,38,20,32,15,0,10,4,33,20,28,41,34,41,15,395
2024-03-02 17:50:00,34,37,43,16,30,13,0,16,2,23,16,24,34,25,40,21,374
2024-03-02 18:00:00,28,33,36,16,28,14,0,17,0,42,14,31,44,26,34,15,378
2024-03-02 18:10:00,37,39,48,23,24,18,0,24,1,49,15,41,49,21,38,1,428
2024-03-02 18:20:00,38,58,42,23,36,18,0,30,0,43,15,40,43,13,41,8,448
2024-03-02 18:30:00,35,55,41,17,33,17,0,28,0,53,8,40,36,18,39,20,440
2024-03-02 18:40:00,47,63,45,27,42,18,0,25,6,50,32,55,37,20,30,19,516
