datetime,V22Z,V51Z,V52Z,V83Z,V111Z,V112Z,Total
2024-03-03 16:50:00,5,5,10,23,0,0,43
2024-03-03 17:00:00,5,10,5,18,2,1,41
2024-03-03 17:10:00,9,12,6,16,1,2,46
2024-03-03 17:20:00,7,11,13,22,0,0,53
2024-03-03 17:30:00,19,21,9,19,0,0,68
2024-03-03 17:40:00,11,13,7,22,0,0,53
2024-03-03 17:50:00,8,11,2,23,0,0,44
2024-03-03 18:00:00,6,9,7,28,0,1,51
2024-03-03 18:10:00,16,7,11,22,0,0,56
2024-03-03 18:20:00,8,11,11,14,1,0,45
2024-03-03 18:30:00,7,5,7,19,0,0,38
2024-03-03 18:40:00,6,9,10,19,0,3,47
2024-03-03 18:50:00,10,7,10,19,0,2,48
2024-03-03 19:00:00,5,8,5,17,1,1,37
2024-03-03 19:10:00,4,5,12,20,0,0,41
2024-03-03 19:20:00,9,8,6,19,0,1,43
2024-03-03 19:30:00,7,4,3,30,0,0,44
2024-03-03 19:40:00,8,5,7,18,0,0,38
2024-03-03 19:50:00,3,8,13,22,0,1,47
2024-03-03 20:00:00,9,4,9,18,0,1,41
2024-03-03 20:10:00,9,9,7,19,0,0,44
2024-03-03 20:20:00,7,5,3,26,0,0,41
2024-03-03 20:30:00,4,4,6,19,0,0,33
2024-03-03 20:40:00,3,7,4,21,0,0,35
2024-03-03 20:50:00,4,4,3,10,0,0,21
2024-03-03 21:00:00,3,7,1,12,0,1,24
2024-03-03 21:10:00,5,7,2,20,0,2,36
2024-03-03 21:20:00,1,3,5,15,0,0,24
2024-03-03 21:30:00,5,2,3,13,0,0,23
2024-03-03 21:40:00,4,6,4,13,0,0,27
2024-03-03 21:50:00,2,4,1,15,0,0,22
2024-03-03 22:00:00,3,4,4,12,0,0,23
2024-03-03 22:10:00,4,5,9,10,0,0,28
2024-03-03 22:20:00,2,3,6,14,0,0,25
2024-03-03 22:30:00,2,4,5,14,0,1,26
2024-03-03 22:40:00,2,1,4,13,0,0,20
2024-03-03 22:50:00,2,4,2,9,0,0,17
2024-03-03 23:00:00,2,4,5,6,0,0,17
2024-03-03 23:10:00,5,5,5,10,0,0,25
2024-03-03 23:20:00,0,3,1,11,0,0,15
2024-03-03 23:30:00,2,0,1,7,0,0,10
2024-03-03 23:40:00,3,2,4,8,0,0,17
2024-03-03 23:50:00,0,1,2,7,0,0,10
2024-03-04 00:00:00,0,2,2,6,0,0,10
2024-03-04 00:10:00,2,5,4,5,0,0,16
2024-03-04 00:20:00,0,1,0,7,0,0,8
2024-03-04 00:30:00,1,0,2,6,0,0,9
2024-03-04 00:40:00,0,1,0,8,0,0,9
2024-03-04 00:50:00,0,3,1,4,0,0,8
2024-03-04 01:00:00,0,2,0,5,0,0,7
2024-03-04 01:10:00,2,1,0,5,0,0,8
2024-03-04 01:20:00,2,1,0,7,0,0,10
2024-03-04 01:30:00,0,0,1,3,0,0,4
2024-03-04 01:40:00,0,1,1,5,0,0,7
2024-03-04 01:50:00,0,0,1,4,0,0,5
2024-03-04 02:00:00,0,0,1,3,0,0,4
2024-03-04 02:10:00,0,0,1,3,0,0,4
2024-03-04 02:20:00,0,0,0,3,0,0,3
2024-03-04 02:30:00,0,0,0,0,0,0,0
2024-03-04 02:40:00,0,0,0,3,0,0,3
2024-03-04 02:50:00,0,0,3,2,0,0,5
2024-03-04 03:00:00,0,0,0,1,0,0,1
2024-03-04 03:10:00,0,0,0,4,0,0,4
2024-03-04 03:20:00,0,1,3,3,0,0,7
2024-03-04 03:30:00,1,0,2,5,0,0,8
2024-03-04 03:40:00,0,0,1,3,0,0,4
2024-03-04 03:50:00,1,0,0,3,0,0,4
2024-03-04 04:00:00,0,0,1,7,0,0,8
2024-03-04 04:10:00,0,1,1,6,0,0,8
2024-03-04 04:20:00,4,1,0,5,0,0,10
2024-03-04 04:30:00,0,0,0,2,0,0,2
2024-03-04 04:40:00,0,3,2,4,0,0,9
2024-03-04 04:50:00,0,1,5,5,0,0,11
2024-03-04 05:00:00,0,5,4,7,0,0,16
2024-03-04 05:10:00,4,6,3,11,0,0,24
2024-03-04 05:20:00,3,2,0,11,0,0,16
2024-03-04 05:30:00,1,6,5,15,0,1,28
2024-03-04 05:40:00,3,14,10,18,0,0,45
2024-03-04 05:50:00,7,7,6,22,0,1,43
2024-03-04 06:00:00,9,3,3,15,0,0,30
2024-03-04 06:10:00,7,6,5,21,0,0,39
2024-03-04 06:20:00,2,13,6,20,0,2,43
2024-03-04 06:30:00,3,5,3,17,0,1,29
2024-03-04 06:40:00,5,6,5,17,0,2,35
2024-03-04 06:50:00,5,11,6,13,0,1,36
2024-03-04 07:00:00,12,15,6,9,0,1,43
2024-03-04 07:10:00,9,23,11,22,0,0,65
2024-03-04 07:20:00,10,15,17,13,1,1,57
2024-03-04 07:30:00,14,24,18,16,3,2,77
2024-03-04 07:40:00,7,33,12,11,2,3,68
2024-03-04 07:50:00,13,20,9,3,1,3,49
2024-03-04 08:00:00,12,18,6,21,0,2,59
2024-03-04 08:10:00,7,17,9,20,1,5,59
2024-03-04 08:20:00,5,18,8,19,1,6,57
2024-03-04 08:30:00,10,11,8,12,0,5,46
2024-03-04 08:40:00,9,25,11,20,0,1,66
2024-03-04 08:50:00,13,22,10,12,0,2,59
2024-03-04 09:00:00,13,15,11,6,0,1,46
2024-03-04 09:10:00,3,16,11,19,1,2,52
2024-03-04 09:20:00,6,11,11,14,2,1,45
2024-03-04 09:30:00,8,27,17,12,0,6,70
2024-03-04 09:40:00,7,24,11,14,1,3,60
2024-03-04 09:50:00,5,15,9,10,2,1,42
2024-03-04 10:00:00,1,16,12,24,1,2,56
2024-03-04 10:10:00,7,16,6,25,1,0,55
2024-03-04 10:20:00,6,16,12,18,0,1,53
2024-03-04 10:30:00,7,6,15,14,1,0,43
2024-03-04 10:40:00,8,14,12,9,0,3,46
2024-03-04 10:50:00,9,12,13,14,0,5,53
2024-03-04 11:00:00,8,33,21,22,2,2,88
2024-03-04 11:10:00,8,6,10,20,0,3,47
