datetime,D21Z,D22Z,D41Z,D42Z,D11Z,D12Z,D31Z,D32Z,Total
2024-03-03 02:50:00,6,7,1,0,0,0,0,0,14
2024-03-03 03:00:00,8,8,5,2,0,0,0,0,23
2024-03-03 03:10:00,7,7,7,0,0,0,0,0,21
2024-03-03 03:20:00,6,7,5,3,0,0,0,0,21
2024-03-03 03:30:00,6,6,5,2,0,0,0,0,19
2024-03-03 03:40:00,2,2,3,0,0,0,0,0,7
2024-03-03 03:50:00,5,7,3,1,0,0,0,0,16
2024-03-03 04:00:00,2,2,4,3,0,0,0,0,11
2024-03-03 04:10:00,5,5,3,1,0,0,0,0,14
2024-03-03 04:20:00,2,2,2,1,0,0,0,0,7
2024-03-03 04:30:00,0,0,1,0,0,0,0,0,1
2024-03-03 04:40:00,2,2,4,0,0,0,0,0,8
2024-03-03 04:50:00,4,5,3,1,0,0,0,0,13
2024-03-03 05:00:00,2,2,1,0,0,0,0,0,5
2024-03-03 05:10:00,4,4,5,2,0,0,0,0,15
2024-03-03 05:20:00,1,1,3,1,0,0,0,0,6
2024-03-03 05:30:00,4,4,1,1,0,0,0,0,10
2024-03-03 05:40:00,2,2,1,0,0,0,0,0,5
2024-03-03 05:50:00,3,3,3,0,0,0,0,0,9
2024-03-03 06:00:00,2,2,1,0,0,0,0,0,5
2024-03-03 06:10:00,0,0,4,0,0,0,0,0,4
2024-03-03 06:20:00,3,3,1,0,0,0,0,0,7
2024-03-03 06:30:00,2,2,2,1,0,0,0,0,7
2024-03-03 06:40:00,8,7,3,0,0,0,0,0,18
2024-03-03 06:50:00,3,4,4,1,0,0,0,0,12
2024-03-03 07:00:00,4,4,0,0,0,0,0,0,8
2024-03-03 07:10:00,3,3,4,0,0,0,0,0,10
2024-03-03 07:20:00,6,6,5,2,0,0,1,0,20
2024-03-03 07:30:00,8,8,3,0,0,0,1,0,20
2024-03-03 07:40:00,3,3,4,1,0,0,1,0,12
2024-03-03 07:50:00,6,5,4,0,0,0,0,0,15
2024-03-03 08:00:00,3,3,0,0,0,0,0,0,6
2024-03-03 08:10:00,11,10,3,1,0,0,0,0,25
2024-03-03 08:20:00,16,12,8,0,0,0,0,0,36
2024-03-03 08:30:00,9,9,2,0,0,0,0,0,20
2024-03-03 08:40:00,9,8,10,1,0,0,0,0,28
2024-03-03 08:50:00,8,7,9,4,0,0,0,0,28
2024-03-03 09:00:00,11,11,12,6,0,0,1,0,41
2024-03-03 09:10:00,20,18,22,15,0,0,1,0,76
2024-03-03 09:20:00,25,20,31,13,0,0,1,0,90
2024-03-03 09:30:00,14,11,17,10,0,0,3,0,55
2024-03-03 09:40:00,25,19,13,1,0,0,3,0,61
2024-03-03 09:50:00,28,22,12,1,0,0,2,0,65
2024-03-03 10:00:00,31,28,15,2,0,0,4,0,80
2024-03-03 10:10:00,23,17,9,0,0,0,4,0,53
2024-03-03 10:20:00,19,15,9,2,0,0,2,1,48
2024-03-03 10:30:00,26,23,10,2,0,0,3,0,64
2024-03-03 10:40:00,30,27,13,3,0,0,2,0,75
2024-03-03 10:50:00,31,19,15,2,0,0,3,0,70
2024-03-03 11:00:00,35,23,10,1,0,0,1,0,70
2024-03-03 11:10:00,28,26,11,1,0,0,3,1,70
2024-03-03 11:20:00,28,23,18,5,0,0,1,0,75
2024-03-03 11:30:00,33,28,15,1,0,0,1,0,78
2024-03-03 11:40:00,41,29,22,2,0,0,3,0,97
2024-03-03 11:50:00,40,25,11,2,0,0,4,2,84
2024-03-03 12:00:00,36,23,16,4,0,0,2,0,81
2024-03-03 12:10:00,36,25,16,6,0,0,2,0,85
2024-03-03 12:20:00,43,37,18,12,0,0,4,1,115
2024-03-03 12:30:00,52,34,17,7,0,0,2,0,112
2024-03-03 12:40:00,42,31,16,2,0,0,2,0,93
2024-03-03 12:50:00,48,36,6,5,0,0,0,0,95
2024-03-03 13:00:00,44,32,2,0,0,0,1,0,79
2024-03-03 13:10:00,50,21,10,4,0,0,1,0,86
2024-03-03 13:20:00,43,28,19,2,0,0,5,0,97
2024-03-03 13:30:00,49,25,9,4,0,0,4,0,91
2024-03-03 13:40:00,48,25,16,5,0,0,2,0,96
2024-03-03 13:50:00,59,26,11,3,0,0,4,0,103
2024-03-03 14:00:00,53,27,18,6,0,0,3,1,108
2024-03-03 14:10:00,46,24,19,7,0,0,0,1,97
2024-03-03 14:20:00,49,32,10,2,0,0,4,0,97
2024-03-03 14:30:00,38,26,11,9,0,0,3,0,87
2024-03-03 14:40:00,62,34,17,2,0,0,3,0,118
2024-03-03 14:50:00,61,21,18,6,0,0,3,0,109
2024-03-03 15:00:00,50,34,20,4,0,0,2,1,111
2024-03-03 15:10:00,43,35,18,6,0,0,2,0,104
2024-03-03 15:20:00,55,28,11,14,0,0,2,2,112
2024-03-03 15:30:00,39,21,15,18,0,0,0,1,94
2024-03-03 15:40:00,53,29,15,3,0,0,3,0,103
2024-03-03 15:50:00,47,27,18,5,0,0,4,0,101
2024-03-03 16:00:00,49,23,15,14,0,0,3,0,104
