datetime,D21Z,D22Z,V23Z,V24Z,D51Z,V52Z,D81Z,D82Z,V83Z,V84Z,D111Z,V112Z,D95Z,D911Z,Total
2024-03-02 08:10:00,16,0,14,0,3,3,20,1,17,1,3,3,3,3,87
2024-03-02 08:20:00,20,1,18,1,5,4,30,0,26,0,2,2,3,3,115
2024-03-02 08:30:00,26,0,19,0,8,7,24,1,17,1,8,6,6,6,129
2024-03-02 08:40:00,13,1,11,0,5,5,31,0,16,0,4,4,8,4,102
2024-03-02 08:50:00,35,3,23,6,9,2,27,1,18,1,10,9,13,6,163
2024-03-02 09:00:00,28,2,19,2,6,7,37,1,18,1,4,3,6,6,140
2024-03-02 09:10:00,31,1,17,0,11,5,34,0,22,0,13,12,22,5,173
2024-03-02 09:20:00,43,1,17,2,4,7,39,3,28,1,9,8,13,3,178
2024-03-02 09:30:00,37,3,23,5,14,14,39,2,29,0,8,7,18,10,209
2024-03-02 09:40:00,50,2,16,2,8,5,61,0,24,0,21,15,26,6,236
2024-03-02 09:50:00,45,5,17,6,5,2,64,1,29,1,11,10,18,6,220
2024-03-02 10:00:00,42,1,10,2,10,5,58,2,21,2,11,10,22,10,206
2024-03-02 10:10:00,51,6,26,4,11,10,65,0,22,0,11,12,25,10,253
2024-03-02 10:20:00,56,2,20,8,11,7,55,1,28,1,12,13,74,8,296
2024-03-02 10:30:00,46,3,18,2,10,11,53,3,21,4,11,15,93,11,301
2024-03-02 10:40:00,46,3,21,9,15,12,66,1,37,1,16,7,107,11,352
2024-03-02 10:50:00,53,2,19,6,12,8,54,2,37,2,9,8,81,6,299
2024-03-02 11:00:00,53,2,21,0,10,6,44,1,25,1,12,11,41,4,231
2024-03-02 11:10:00,60,1,25,1,15,14,70,1,20,1,19,14,47,14,302
2024-03-02 11:20:00,53,4,24,6,21,10,58,2,33,3,18,14,51,10,307
2024-03-02 11:30:00,53,2,17,5,4,6,47,4,26,4,12,20,42,3,245
2024-03-02 11:40:00,57,7,22,5,12,12,72,3,37,3,17,18,47,11,323
2024-03-02 11:50:00,68,1,16,5,11,7,55,1,29,1,16,31,43,9,293
2024-03-02 12:00:00,54,6,22,4,15,7,44,4,23,1,23,17,68,12,300
2024-03-02 12:10:00,70,4,26,4,16,11,40,2,21,2,19,14,41,16,286
2024-03-02 12:20:00,67,6,22,8,11,13,58,2,34,7,23,19,64,10,344
2024-03-02 12:30:00,67,3,21,8,10,13,54,2,19,2,19,16,49,11,294
2024-03-02 12:40:00,74,5,18,3,16,8,63,0,28,0,23,14,55,8,315
2024-03-02 12:50:00,77,5,23,4,5,5,53,0,36,0,25,14,46,7,300
2024-03-02 13:00:00,73,3,19,3,7,6,46,0,29,0,19,11,58,7,281
2024-03-02 13:10:00,69,8,19,14,7,11,77,2,24,2,22,8,57,7,327
2024-03-02 13:20:00,73,6,22,5,7,10,52,4,28,1,20,17,52,5,302
2024-03-02 13:30:00,56,3,19,8,13,13,38,0,19,0,14,4,47,9,243
2024-03-02 13:40:00,65,5,16,4,9,7,54,1,32,1,20,3,49,6,272
2024-03-02 13:50:00,100,5,19,3,9,6,45,3,20,3,19,16,45,9,302
