datetime,D21Z,V22Z,D31Z,D32Z,V33Z,D51Z,D52Z,D53Z,D54Z,V55Z,V56Z,V57Z,V58Z,V71Z,D81Z,V82Z,D91Z,D92Z,V93Z,D111Z,D112Z,D113Z,V114Z,V115Z,V116Z,Total
2024-03-01 22:20:00,42,12,5,7,5,4,12,18,10,12,21,29,11,4,12,15,6,8,2,25,24,5,18,18,2,327
2024-03-01 22:30:00,48,21,12,8,5,4,8,22,5,13,25,17,6,12,20,26,16,15,13,21,24,12,27,18,8,406
2024-03-01 22:40:00,32,15,6,6,5,2,5,19,6,11,33,18,9,17,30,30,13,10,9,19,18,6,23,25,8,375
2024-03-01 22:50:00,33,22,10,9,6,2,5,13,5,8,19,19,7,3,16,17,9,3,7,19,22,8,13,18,12,305
2024-03-01 23:00:00,32,15,10,11,9,2,5,16,3,10,29,23,6,1,8,14,6,5,2,18,22,6,23,27,7,310
2024-03-01 23:10:00,29,17,6,6,5,3,4,18,3,14,26,13,4,6,6,10,7,5,4,13,21,2,24,24,4,274
2024-03-01 23:20:00,25,17,9,5,2,2,2,10,4,10,16,7,1,1,8,10,5,0,0,15,14,2,18,12,4,199
2024-03-01 23:30:00,25,16,3,3,3,1,3,9,4,5,12,2,2,4,11,22,6,5,1,15,15,7,18,19,10,221
2024-03-01 23:40:00,23,12,3,3,2,0,4,9,6,7,10,15,7,3,7,12,5,4,6,8,10,5,17,15,8,201
2024-03-01 23:50:00,19,13,5,7,5,1,7,12,2,7,17,16,0,4,11,25,5,4,3,10,17,7,14,24,9,244
2024-03-02 00:00:00,25,21,2,1,1,2,1,8,6,6,15,7,7,1,10,15,4,4,0,9,14,4,14,16,4,197
2024-03-02 00:10:00,19,14,1,1,1,2,6,17,1,13,25,10,2,3,7,11,1,1,0,15,9,0,13,10,0,182
2024-03-02 00:20:00,14,13,9,6,4,1,4,7,2,7,14,10,1,6,9,20,3,1,1,12,14,2,18,15,1,194
2024-03-02 00:30:00,25,12,6,6,4,1,3,6,2,1,12,8,2,4,7,8,3,3,0,7,12,4,14,13,2,165
2024-03-02 00:40:00,11,10,3,3,3,1,2,14,0,8,12,3,0,0,7,10,3,2,3,13,6,3,17,8,1,143
2024-03-02 00:50:00,19,15,4,2,0,3,2,14,1,12,21,6,2,0,2,3,0,0,0,0,2,2,1,4,2,117
2024-03-02 01:00:00,21,17,0,0,0,0,2,10,0,5,11,6,0,1,5,11,4,5,0,7,7,2,14,11,1,140
2024-03-02 01:10:00,11,7,5,2,1,3,1,6,2,8,8,5,2,3,7,14,6,1,1,6,6,4,9,5,2,125
2024-03-02 01:20:00,16,16,7,4,2,4,1,8,2,10,11,6,1,0,4,5,1,2,1,10,6,1,14,6,5,143
2024-03-02 01:30:00,7,7,3,2,0,1,2,7,0,3,8,5,0,1,5,10,3,2,1,7,3,0,8,2,0,87
2024-03-02 01:40:00,5,5,2,0,0,0,1,5,0,3,8,3,0,2,2,6,4,4,0,5,7,0,10,7,0,79
2024-03-02 01:50:00,8,7,1,3,1,0,2,4,1,1,5,3,1,2,6,9,4,1,0,4,5,0,6,5,1,80
2024-03-02 02:00:00,1,1,3,0,0,2,0,6,1,2,7,2,2,0,3,5,2,2,0,0,4,1,3,4,1,52
2024-03-02 02:10:00,4,4,1,1,1,0,1,7,2,3,6,8,3,2,5,7,2,0,0,5,4,1,7,7,1,82
2024-03-02 02:20:00,13,13,4,3,1,0,0,2,1,1,2,0,1,1,7,12,2,0,0,5,2,0,7,3,0,80
2024-03-02 02:30:00,5,5,1,0,0,1,0,2,0,1,4,0,0,1,1,4,4,5,2,4,4,1,7,6,1,59
2024-03-02 02:40:00,6,4,1,2,0,0,1,2,1,2,3,2,0,0,1,1,0,0,0,2,2,1,4,4,0,39
2024-03-02 02:50:00,7,8,6,3,0,0,2,1,2,0,6,6,2,0,0,0,1,1,2,1,2,2,1,1,3,57
2024-03-02 03:00:00,7,5,2,3,0,0,2,1,1,0,5,5,0,1,5,7,4,5,0,1,2,2,2,5,2,67
2024-03-02 03:10:00,3,3,1,1,1,3,1,5,2,3,10,4,1,0,4,5,3,3,0,4,3,1,5,5,2,73
2024-03-02 03:20:00,9,6,5,4,0,1,2,4,1,3,6,4,1,0,1,0,3,4,0,3,2,2,6,3,3,73
2024-03-02 03:30:00,0,0,3,1,0,0,1,2,0,0,3,2,1,0,2,2,4,4,0,0,5,5,4,10,3,52
2024-03-02 03:40:00,6,6,1,1,0,1,0,3,0,2,3,1,0,1,3,6,2,2,1,3,6,0,10,10,0,68
2024-03-02 03:50:00,0,0,6,4,2,0,0,3,1,2,6,2,1,1,1,1,1,1,0,1,6,1,6,10,1,57
2024-03-02 04:00:00,2,2,3,4,3,1,0,1,1,1,1,2,1,1,3,7,2,4,1,1,1,3,2,4,3,54
2024-03-02 04:10:00,3,3,0,0,0,0,0,5,0,1,5,1,0,0,2,3,3,3,1,0,1,1,1,4,3,40
2024-03-02 04:20:00,2,2,4,1,0,0,3,3,3,1,6,6,2,1,3,5,2,2,0,4,5,0,7,7,0,69
2024-03-02 04:30:00,4,3,0,0,0,0,1,2,0,1,6,2,0,2,4,4,8,6,1,4,6,0,8,8,0,70
2024-03-02 04:40:00,6,4,1,1,1,1,0,1,0,2,1,0,0,1,3,7,2,2,0,1,3,1,4,4,1,47
2024-03-02 04:50:00,4,5,1,5,1,2,4,4,0,4,9,7,0,2,4,6,6,7,4,2,3,2,4,5,0,91
2024-03-02 05:00:00,3,4,0,0,0,0,1,1,0,0,2,2,0,1,7,8,9,10,4,1,1,2,1,1,0,58
2024-03-02 05:10:00,4,4,0,0,0,0,1,7,0,0,8,2,0,2,5,11,3,5,0,3,5,0,8,6,0,74
2024-03-02 05:20:00,5,9,6,1,0,1,4,8,0,3,11,6,0,0,3,5,6,6,2,3,2,4,6,4,3,98
2024-03-02 05:30:00,1,1,7,2,1,1,5,10,1,4,15,15,3,0,10,19,3,2,0,2,1,5,3,3,3,117
2024-03-02 05:40:00,7,6,1,1,1,1,3,10,2,6,14,6,2,1,8,11,4,4,1,2,0,2,2,0,0,95
2024-03-02 05:50:00,9,11,6,3,1,1,2,8,0,4,13,5,0,1,5,13,4,4,1,7,1,4,9,5,8,125
2024-03-02 06:00:00,5,3,1,3,1,1,4,9,4,4,11,9,3,1,6,6,5,4,0,7,6,1,8,9,2,113
2024-03-02 06:10:00,9,9,2,2,1,1,3,11,1,7,12,9,1,5,12,18,6,0,0,4,4,1,5,5,1,129
2024-03-02 06:20:00,9,7,3,3,1,0,3,8,3,7,9,8,7,0,5,7,6,4,0,4,5,1,7,8,2,117
2024-03-02 06:30:00,10,8,3,1,0,0,0,9,0,4,10,1,0,1,5,9,7,5,2,1,0,1,2,1,1,81
2024-03-02 06:40:00,4,4,2,2,2,1,3,14,1,2,14,6,0,3,9,21,5,1,1,8,5,1,10,9,3,131
2024-03-02 06:50:00,11,12,6,2,1,3,2,17,1,5,16,9,3,1,8,8,8,6,1,5,8,3,14,10,2,162
2024-03-02 07:00:00,9,9,7,6,1,4,8,14,2,5,18,8,4,2,8,9,8,7,2,10,5,3,13,7,4,173
