datetime,D21Z,D22Z,V23Z,V24Z,D51Z,D52Z,V53Z,V54Z,D81Z,D82Z,V83Z,V84Z,D111Z,D112Z,V113Z,V114Z,Total
2024-03-02 00:10:00,16,4,12,5,0,0,18,5,4,7,5,1,0,1,0,0,78
2024-03-02 00:20:00,17,3,16,3,0,0,6,4,0,3,0,0,1,0,1,0,54
2024-03-02 00:30:00,14,4,15,1,0,0,4,2,4,4,7,1,1,1,1,0,59
2024-03-02 00:40:00,8,3,8,1,0,0,5,5,1,4,3,3,0,2,0,1,44
2024-03-02 00:50:00,12,1,10,0,0,0,8,3,1,0,1,0,0,1,0,0,37
2024-03-02 01:00:00,7,3,8,0,0,0,7,1,4,3,6,3,1,2,1,0,46
2024-03-02 01:10:00,4,2,3,1,0,0,7,0,0,1,0,1,1,2,1,0,23
2024-03-02 01:20:00,12,6,7,4,0,0,5,1,1,3,1,0,0,1,0,0,41
2024-03-02 01:30:00,11,1,9,1,0,0,5,2,3,5,5,1,0,0,0,0,43
2024-03-02 01:40:00,7,0,5,0,0,0,5,2,3,2,4,2,0,1,0,0,31
2024-03-02 01:50:00,4,1,5,1,0,0,5,1,1,1,1,0,1,1,1,0,23
2024-03-02 02:00:00,6,2,6,0,0,0,3,2,3,2,3,0,0,0,0,0,27
2024-03-02 02:10:00,8,0,6,0,0,0,4,0,1,0,1,0,0,0,0,0,20
2024-03-02 02:20:00,4,1,3,1,0,0,4,0,0,0,0,0,1,0,1,0,15
2024-03-02 02:30:00,6,0,4,0,0,0,3,0,0,0,0,0,0,1,0,0,14
2024-03-02 02:40:00,3,0,4,0,0,0,2,0,1,0,1,0,0,0,0,0,11
2024-03-02 02:50:00,4,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,10
2024-03-02 03:00:00,3,1,3,0,0,0,2,3,1,0,1,0,1,2,2,1,20
2024-03-02 03:10:00,4,2,3,0,0,0,4,1,1,0,1,0,1,1,1,0,19
2024-03-02 03:20:00,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,4
2024-03-02 03:30:00,2,2,4,1,0,0,4,1,0,3,1,1,0,1,0,0,20
2024-03-02 03:40:00,1,0,1,0,0,0,1,0,2,0,3,0,0,0,0,0,8
2024-03-02 03:50:00,6,2,6,1,0,0,3,0,1,2,2,0,0,1,0,0,24
2024-03-02 04:00:00,5,1,5,1,0,0,6,0,2,1,4,1,1,2,0,0,29
2024-03-02 04:10:00,6,1,6,1,0,0,2,2,3,3,5,2,0,1,0,0,32
2024-03-02 04:20:00,6,0,5,0,0,0,2,0,1,2,3,2,0,2,0,0,23
2024-03-02 04:30:00,4,0,5,0,0,0,4,1,0,1,1,1,0,0,0,0,17
2024-03-02 04:40:00,4,2,6,2,0,0,1,0,2,2,4,0,0,0,0,0,23
2024-03-02 04:50:00,4,4,4,0,0,0,4,2,6,2,10,2,0,4,0,0,42
2024-03-02 05:00:00,4,2,4,1,0,0,10,0,4,4,5,1,0,1,0,0,36
2024-03-02 05:10:00,3,3,3,0,0,0,5,0,1,4,2,1,0,1,0,0,23
2024-03-02 05:20:00,3,0,5,1,0,0,3,1,0,0,0,0,0,1,0,0,14
2024-03-02 05:30:00,4,3,4,1,0,0,8,2,2,5,5,2,0,2,0,0,38
2024-03-02 05:40:00,5,1,4,0,0,0,5,0,4,4,6,2,0,1,0,0,32
2024-03-02 05:50:00,5,2,6,1,0,0,2,2,1,0,1,0,0,1,0,0,21
2024-03-02 06:00:00,4,2,4,0,0,0,3,1,6,5,7,1,0,2,0,1,36
2024-03-02 06:10:00,6,0,6,1,0,0,5,1,2,1,3,1,0,3,0,0,29
2024-03-02 06:20:00,5,2,6,1,0,0,0,1,4,1,4,1,0,0,0,0,25
2024-03-02 06:30:00,5,3,9,2,0,0,11,1,4,5,5,2,0,3,0,0,50
2024-03-02 06:40:00,6,0,7,1,0,0,5,2,4,8,6,5,1,2,1,0,48
2024-03-02 06:50:00,11,1,11,3,0,0,9,0,4,3,3,1,1,3,1,1,52
2024-03-02 07:00:00,5,2,4,1,0,0,9,4,5,2,5,3,0,3,0,0,43
2024-03-02 07:10:00,6,1,6,1,0,0,7,1,4,2,4,2,0,2,0,0,36
2024-03-02 07:20:00,7,1,8,1,0,0,12,0,5,3,5,2,1,2,1,1,49
2024-03-02 07:30:00,8,3,7,1,0,0,17,1,5,4,4,1,2,0,4,0,57
2024-03-02 07:40:00,14,3,11,0,0,0,14,2,4,6,3,4,1,5,1,0,68
2024-03-02 07:50:00,18,2,11,1,0,0,6,2,3,3,2,3,2,0,2,0,55
2024-03-02 08:00:00,8,6,5,1,0,0,12,3,7,9,6,8,0,4,0,0,69
2024-03-02 08:10:00,10,4,8,3,0,0,5,6,8,13,6,9,1,5,1,0,79
2024-03-02 08:20:00,20,0,13,2,0,0,18,1,6,7,6,5,2,3,1,0,84
2024-03-02 08:30:00,18,6,15,10,0,0,14,5,9,12,10,10,1,6,3,0,119
2024-03-02 08:40:00,11,6,10,4,0,0,14,9,13,6,15,6,3,2,3,0,102
2024-03-02 08:50:00,16,1,16,2,0,0,18,1,14,10,15,10,2,2,0,0,107
2024-03-02 09:00:00,24,2,17,4,0,0,18,6,6,8,5,8,2,1,3,1,105
2024-03-02 09:10:00,29,1,19,2,0,0,15,4,10,9,8,6,7,3,10,1,124
2024-03-02 09:20:00,22,2,13,18,0,0,21,7,14,11,13,9,7,4,6,1,148
2024-03-02 09:30:00,25,5,20,1,0,0,16,3,17,12,12,9,8,5,4,2,139
2024-03-02 09:40:00,19,3,12,2,0,0,15,5,18,11,12,7,1,10,1,3,119
2024-03-02 09:50:00,32,3,24,1,0,0,23,7,19,9,18,7,7,5,6,4,165
2024-03-02 10:00:00,38,4,17,1,0,0,26,6,11,8,7,6,7,4,4,2,141
2024-03-02 10:10:00,37,1,16,3,0,0,17,4,16,5,13,2,3,5,2,4,128
2024-03-02 10:20:00,32,1,18,1,0,0,21,6,15,13,9,13,4,3,2,0,138
2024-03-02 10:30:00,30,8,19,8,0,0,23,9,20,9,13,6,6,4,6,2,163
2024-03-02 10:40:00,34,4,21,1,0,0,30,4,18,10,12,8,2,3,2,2,151
2024-03-02 10:50:00,32,7,17,5,0,0,25,8,26,16,21,7,5,4,3,1,177
2024-03-02 11:00:00,32,7,21,4,0,0,25,6,21,15,16,11,7,2,4,1,172
2024-03-02 11:10:00,38,6,20,3,0,0,22,12,27,7,21,6,7,7,5,1,182
2024-03-02 11:20:00,42,6,24,6,0,0,27,2,12,10,10,8,6,10,4,1,168
2024-03-02 11:30:00,41,8,26,4,0,0,24,8,22,13,21,12,3,1,3,1,187
2024-03-02 11:40:00,29,7,17,4,0,0,33,7,15,9,14,8,4,3,3,0,153
2024-03-02 11:50:00,48,2,24,3,0,0,23,6,22,15,21,15,5,4,3,1,192
2024-03-02 12:00:00,32,6,18,6,0,0,23,8,21,6,20,6,7,3,6,1,163
2024-03-02 12:10:00,69,4,27,3,0,0,30,5,26,12,12,10,6,3,5,0,212
2024-03-02 12:20:00,42,6,18,6,0,0,22,10,20,9,18,8,0,2,0,0,161
2024-03-02 12:30:00,52,6,21,5,0,0,26,8,20,1,10,1,4,5,4,0,163
2024-03-02 12:40:00,47,5,29,3,0,0,32,8,17,13,14,10,4,9,3,4,198
2024-03-02 12:50:00,45,8,28,6,0,0,43,12,14,12,16,8,6,1,6,0,205
2024-03-02 13:00:00,49,7,24,3,0,0,31,7,24,7,13,8,1,9,2,3,188
2024-03-02 13:10:00,45,5,27,5,0,0,26,12,12,9,14,7,5,4,5,0,176
2024-03-02 13:20:00,57,7,22,6,0,0,22,4,19,16,18,13,5,6,3,2,200
2024-03-02 13:30:00,43,4,18,6,0,0,21,9,22,17,19,11,11,5,7,2,195
2024-03-02 13:40:00,43,6,21,6,0,0,23,7,16,7,12,8,7,4,6,1,167
2024-03-02 13:50:00,49,8,25,7,0,0,33,9,20,15,13,14,8,4,3,1,209
2024-03-02 14:00:00,46,14,30,7,0,0,22,12,15,11,17,11,8,3,6,0,202
2024-03-02 14:10:00,70,6,18,4,0,0,22,6,22,11,16,8,6,5,6,0,200
2024-03-02 14:20:00,43,5,32,7,0,0,22,8,20,16,16,12,11,6,5,2,205
2024-03-02 14:30:00,48,7,24,4,0,0,22,7,21,10,14,8,4,10,2,3,184
2024-03-02 14:40:00,52,4,24,7,0,0,30,8,21,18,16,16,8,4,8,2,218
2024-03-02 14:50:00,42,5,24,3,0,0,25,8,21,11,14,12,1,6,0,0,172
2024-03-02 15:00:00,45,8,19,6,0,0,29,9,18,16,14,11,7,5,3,3,193
2024-03-02 15:10:00,41,8,20,9,0,0,26,5,24,10,22,7,5,6,2,0,185
2024-03-02 15:20:00,44,3,22,3,0,0,21,3,25,8,17,7,8,3,2,0,166
2024-03-02 15:30:00,37,6,18,4,0,0,24,38,21,10,12,6,4,1,1,1,183
2024-03-02 15:40:00,39,0,26,0,0,0,30,10,11,5,10,2,8,3,4,3,151
2024-03-02 15:50:00,42,7,16,4,0,0,14,5,16,13,12,8,3,4,2,3,149
2024-03-02 16:00:00,37,8,26,6,0,0,13,8,10,13,11,10,8,4,3,3,160
2024-03-02 16:10:00,45,8,28,7,0,0,20,3,19,11,17,10,2,11,1,1,183
2024-03-02 16:20:00,33,9,20,3,0,0,27,7,18,6,20,7,6,13,3,3,175
2024-03-02 16:30:00,41,10,24,7,0,0,25,10,19,5,14,6,3,6,2,1,173
2024-03-02 16:40:00,28,5,22,4,0,0,26,4,13,10,11,9,4,6,2,1,145
2024-03-02 16:50:00,49,7,19,1,0,0,23,8,15,10,11,10,4,0,2,1,160
2024-03-02 17:00:00,36,10,22,5,0,0,32,4,14,11,14,7,1,8,0,1,165
2024-03-02 17:10:00,52,4,31,2,0,0,25,8,21,13,14,10,7,3,5,2,197
