datetime,D51Z,D52Z,V51Z,D111Z,V111Z,D112Z,Total
2024-03-03 03:40:00,7,7,7,7,7,5,40
2024-03-03 03:50:00,5,5,5,2,2,2,21
2024-03-03 04:00:00,5,4,5,3,3,3,23
2024-03-03 04:10:00,6,6,6,2,3,3,26
2024-03-03 04:20:00,4,4,2,4,4,3,21
2024-03-03 04:30:00,7,6,6,5,6,6,36
2024-03-03 04:40:00,8,8,6,4,3,3,32
2024-03-03 04:50:00,2,2,2,4,4,4,18
2024-03-03 05:00:00,5,5,7,9,8,7,41
2024-03-03 05:10:00,8,7,7,8,5,6,41
2024-03-03 05:20:00,5,6,6,12,11,10,50
2024-03-03 05:30:00,2,2,2,12,10,14,42
2024-03-03 05:40:00,5,7,4,13,14,11,54
2024-03-03 05:50:00,8,7,8,12,13,11,59
2024-03-03 06:00:00,7,5,3,6,7,5,33
2024-03-03 06:10:00,6,5,5,6,8,6,36
2024-03-03 06:20:00,7,7,9,11,13,11,58
2024-03-03 06:30:00,7,7,5,8,10,8,45
2024-03-03 06:40:00,8,8,7,7,11,7,48
2024-03-03 06:50:00,9,9,6,3,3,3,33
2024-03-03 07:00:00,7,7,5,7,6,5,37
2024-03-03 07:10:00,8,8,6,6,5,5,38
2024-03-03 07:20:00,5,5,5,7,3,5,30
2024-03-03 07:30:00,11,10,7,13,9,13,63
2024-03-03 07:40:00,8,8,6,4,4,4,34
2024-03-03 07:50:00,12,11,8,9,6,8,54
2024-03-03 08:00:00,6,3,2,7,7,7,32
2024-03-03 08:10:00,10,11,5,7,7,7,47
2024-03-03 08:20:00,12,11,8,13,10,11,65
2024-03-03 08:30:00,11,8,5,16,13,14,67
2024-03-03 08:40:00,12,15,10,19,18,19,93
2024-03-03 08:50:00,11,9,7,16,14,16,73
2024-03-03 09:00:00,15,15,12,13,13,14,82
2024-03-03 09:10:00,16,13,10,26,22,26,113
2024-03-03 09:20:00,10,11,12,24,21,26,104
2024-03-03 09:30:00,21,19,14,33,27,32,146
2024-03-03 09:40:00,19,24,15,41,31,38,168
2024-03-03 09:50:00,18,16,16,34,26,31,141
2024-03-03 10:00:00,20,17,17,29,25,25,133
2024-03-03 10:10:00,30,28,20,26,23,23,150
2024-03-03 10:20:00,23,23,16,23,21,24,130
2024-03-03 10:30:00,17,17,11,27,21,24,117
2024-03-03 10:40:00,19,17,16,25,21,25,123
2024-03-03 10:50:00,20,22,15,28,21,27,133
2024-03-03 11:00:00,28,26,22,28,20,29,153
2024-03-03 11:10:00,26,28,22,26,23,28,153
2024-03-03 11:20:00,28,25,19,25,22,29,148
2024-03-03 11:30:00,32,33,17,24,20,24,150
2024-03-03 11:40:00,37,37,31,25,20,27,177
2024-03-03 11:50:00,24,23,19,27,27,28,148
2024-03-03 12:00:00,33,33,27,34,24,36,187
2024-03-03 12:10:00,47,33,30,41,30,38,219
2024-03-03 12:20:00,29,31,23,51,35,54,223
2024-03-03 12:30:00,34,41,26,34,26,37,198
2024-03-03 12:40:00,31,31,18,39,29,41,189
2024-03-03 12:50:00,40,37,26,37,24,35,199
2024-03-03 13:00:00,37,37,27,29,25,30,185
2024-03-03 13:10:00,35,34,27,36,26,38,196
2024-03-03 13:20:00,40,43,24,31,23,31,192
2024-03-03 13:30:00,36,39,26,33,28,32,194
2024-03-03 13:40:00,46,47,30,35,26,36,220
2024-03-03 13:50:00,48,44,29,42,23,37,223
2024-03-03 14:00:00,50,48,31,43,32,42,246
2024-03-03 14:10:00,46,47,31,41,27,42,234
2024-03-03 14:20:00,32,30,22,38,26,36,184
2024-03-03 14:30:00,42,42,31,44,25,43,227
2024-03-03 14:40:00,51,50,33,39,24,40,237
2024-03-03 14:50:00,43,45,31,40,32,41,232
2024-03-03 15:00:00,44,42,26,39,31,38,220
2024-03-03 15:10:00,22,26,22,42,26,37,175
2024-03-03 15:20:00,40,38,20,39,28,37,202
2024-03-03 15:30:00,44,47,32,35,25,36,219
2024-03-03 15:40:00,43,41,26,36,27,46,219
2024-03-03 15:50:00,37,40,27,39,28,40,211
2024-03-03 16:00:00,46,45,35,32,20,29,207
2024-03-03 16:10:00,44,41,28,46,32,49,240
