datetime,D11Z,D12Z,D13Z,D14Z,D15Z,D21Z,D22Z,D31Z,D32Z,D33Z,D34Z,D35Z,D36Z,D37Z,D41Z,D42Z,D43Z,Total
2024-03-02 11:30:00,15,14,40,44,36,14,56,38,46,11,58,25,15,26,70,56,13,577
2024-03-02 11:40:00,9,15,43,44,16,11,43,20,63,18,58,23,10,29,54,49,13,518
2024-03-02 11:50:00,14,16,43,40,26,15,60,27,57,28,65,34,9,30,62,49,17,592
2024-03-02 12:00:00,18,16,39,33,30,12,174,35,65,17,68,33,5,34,69,105,16,769
2024-03-02 12:10:00,14,9,41,47,32,16,229,35,74,15,76,35,6,28,66,71,9,803
2024-03-02 12:20:00,13,19,42,191,36,14,236,38,62,19,59,29,9,28,48,50,13,906
2024-03-02 12:30:00,21,16,45,102,29,22,44,30,51,22,61,21,10,17,83,73,4,651
2024-03-02 12:40:00,14,15,38,25,31,12,94,34,66,21,62,24,14,27,17,19,4,517
2024-03-02 12:50:00,6,13,51,28,56,4,45,30,83,13,73,11,12,22,1,1,13,462
2024-03-02 13:00:00,17,17,46,33,23,11,31,21,84,22,87,25,10,26,0,0,15,468
2024-03-02 13:10:00,15,19,50,47,22,9,78,30,85,28,94,28,11,26,1,1,0,544
2024-03-02 13:20:00,19,14,59,49,38,12,34,37,85,27,87,21,12,17,0,1,0,512
2024-03-02 13:30:00,16,10,48,42,30,14,29,30,81,20,83,27,17,30,0,1,4,482
2024-03-02 13:40:00,19,24,39,40,22,6,25,33,75,23,72,12,12,32,0,0,6,440
2024-03-02 13:50:00,22,19,46,38,31,8,31,32,86,21,88,31,12,30,0,0,10,505
2024-03-02 14:00:00,16,11,32,41,33,9,33,31,62,16,60,20,10,21,23,32,12,462
2024-03-02 14:10:00,10,16,34,34,41,8,37,38,88,13,78,34,10,35,33,48,4,561
2024-03-02 14:20:00,16,15,43,51,34,13,34,36,60,15,69,19,13,18,36,62,8,542
2024-03-02 14:30:00,9,13,41,47,23,16,23,22,80,15,72,22,13,22,32,46,12,508
2024-03-02 14:40:00,15,15,45,40,25,8,25,27,80,24,77,28,8,26,13,32,9,497
2024-03-02 14:50:00,22,22,33,40,30,13,29,33,69,29,72,15,10,15,0,0,9,441
2024-03-02 15:00:00,15,11,48,53,19,25,23,27,53,35,56,23,12,23,33,32,5,493
2024-03-02 15:10:00,20,21,38,40,34,11,37,35,46,22,55,26,9,25,83,100,1,603
2024-03-02 15:20:00,15,14,39,37,29,20,31,28,61,23,59,22,14,25,75,83,0,575
2024-03-02 15:30:00,17,17,42,56,24,20,24,25,56,22,54,23,9,20,72,77,6,564
