datetime,D11Z,D12Z,D13Z,V111Z,V121Z,V131Z,D21Z,D22Z,D23Z,D24Z,D25Z,V211Z,V221Z,V231Z,V232Z,V311Z,D41Z,D42Z,D43Z,V411Z,V421Z,V431Z,D51Z,D52Z,D53Z,V511Z,V521Z,V531Z,V532Z,Total
2024-03-01 23:30:00,8,12,14,10,8,5,9,202,5,9,9,2,9,10,7,5,2,9,7,11,3,5,6,7,5,4,3,4,4,394
2024-03-01 23:40:00,10,14,12,16,7,9,8,263,4,7,12,6,7,9,9,1,1,7,4,8,5,14,12,6,7,1,0,7,1,467
2024-03-01 23:50:00,10,14,10,19,5,6,7,101,0,7,1,0,6,1,1,3,5,10,6,14,6,5,13,9,5,7,2,7,6,286
2024-03-02 00:00:00,5,15,5,11,5,5,3,114,7,2,9,6,2,8,8,1,0,10,3,16,4,7,10,8,4,5,5,6,4,288
2024-03-02 00:10:00,6,11,10,9,4,5,7,575,3,12,6,3,7,7,6,3,4,2,1,3,2,7,5,3,8,5,3,7,6,730
2024-03-02 00:20:00,8,12,8,14,1,1,3,361,4,3,6,4,3,6,5,2,1,6,3,7,3,7,8,2,7,1,3,8,1,498
2024-03-02 00:30:00,5,11,4,11,2,3,2,577,5,2,4,3,2,7,2,1,0,6,4,8,2,5,10,6,2,2,2,2,2,692
2024-03-02 00:40:00,3,12,4,14,4,4,6,317,7,9,9,5,6,9,9,0,0,4,3,6,3,14,4,5,1,5,9,2,6,480
2024-03-02 00:50:00,5,7,6,6,1,2,7,176,0,9,0,0,7,0,0,0,0,6,4,8,4,8,5,3,1,2,3,1,2,273
2024-03-02 01:00:00,6,15,10,12,2,4,6,793,2,6,4,1,6,3,4,0,0,3,1,5,1,5,2,2,1,7,2,1,12,916
2024-03-02 01:10:00,9,7,7,7,4,7,2,935,0,1,1,0,2,1,0,0,0,6,4,6,4,3,2,2,3,2,3,3,2,1023
