datetime,D21Z,D22Z,D23Z,V24Z,V25Z,V26Z,D31Z,V32Z,D41Z,D51Z,D52Z,V53Z,V54Z,D61Z,D62Z,V63Z,V64Z,D81Z,D82Z,V83Z,V84Z,D91Z,V92Z,D101Z,D111Z,D112Z,V113Z,V114Z,D121Z,D122Z,V123Z,V124Z,Total
2024-03-01 21:00:00,4,13,19,5,15,14,24,5,17,16,23,19,4,3,12,5,42,19,41,22,15,34,16,20,52,48,401,686,24,12,0,0,1630
2024-03-01 21:10:00,3,7,15,4,11,12,1,1,10,8,17,22,8,3,8,3,23,13,28,18,23,22,20,20,38,24,647,1229,21,15,0,0,2274
2024-03-01 21:20:00,4,5,12,7,12,7,4,5,17,20,22,24,16,3,16,7,39,20,35,25,17,15,14,17,27,21,542,1123,19,9,0,3,2107
2024-03-01 21:30:00,3,2,13,3,14,5,4,5,7,10,15,20,5,13,10,7,23,19,21,19,11,8,21,22,32,37,1002,1904,17,3,0,0,3275
2024-03-01 21:40:00,6,11,18,7,20,13,5,3,6,8,13,16,7,3,14,6,22,17,22,18,7,8,16,19,38,25,961,2182,23,5,0,0,3519
2024-03-01 21:50:00,3,7,12,5,17,9,8,8,5,9,18,9,6,23,10,1,24,15,30,12,15,8,8,19,30,35,976,1618,17,4,0,0,2961
2024-03-01 22:00:00,2,5,6,5,6,8,5,6,10,10,17,15,6,4,10,7,25,16,23,20,18,10,19,18,38,32,1142,1632,20,4,0,0,3139
2024-03-01 22:10:00,9,11,25,9,17,19,6,5,14,9,16,18,6,43,14,6,23,10,27,12,19,17,13,14,35,31,850,1904,12,3,0,0,3197
2024-03-01 22:20:00,6,11,14,6,17,14,5,5,10,14,12,22,5,2,11,2,28,17,23,22,13,7,13,12,32,20,960,2059,13,8,0,0,3383
2024-03-01 22:30:00,7,13,14,7,16,16,2,3,11,9,18,19,2,2,9,3,24,10,26,11,12,10,10,10,23,25,673,1806,13,5,0,0,2809
2024-03-01 22:40:00,11,10,19,14,20,13,2,2,13,9,20,21,4,0,5,5,17,10,22,14,11,10,17,12,26,23,1025,1658,11,3,0,0,3027
2024-03-01 22:50:00,5,9,13,7,12,13,3,4,9,5,10,8,2,0,4,1,23,10,22,9,7,12,13,10,25,19,953,1776,16,7,0,0,3007
2024-03-01 23:00:00,3,2,8,3,6,4,2,4,13,10,19,14,5,3,11,8,19,11,27,22,16,12,16,6,24,11,1082,1732,8,5,0,0,3106
2024-03-01 23:10:00,4,8,15,4,13,9,4,5,7,6,20,11,6,4,11,3,19,7,18,12,13,15,10,11,30,21,855,1394,13,4,0,0,2552
2024-03-01 23:20:00,1,3,8,1,7,4,4,3,4,5,8,15,3,43,6,4,20,14,27,14,8,6,5,9,19,21,894,1852,12,4,0,0,3024
2024-03-01 23:30:00,2,3,6,3,8,6,4,5,11,6,15,12,3,0,7,2,18,9,19,13,15,8,11,10,29,21,953,1897,14,4,0,0,3114
2024-03-01 23:40:00,1,2,7,2,6,2,1,1,10,3,12,3,1,0,1,0,18,10,25,18,10,9,8,8,26,17,874,1664,9,2,0,0,2750
2024-03-01 23:50:00,4,6,14,3,12,4,2,3,6,5,10,11,5,19,8,3,15,7,15,10,6,6,8,17,20,13,894,1653,12,3,0,0,2794
2024-03-02 00:00:00,4,4,10,6,13,5,2,2,6,7,15,14,1,0,4,1,15,5,20,6,7,7,8,5,21,6,985,1452,12,6,0,0,2649
2024-03-02 00:10:00,1,2,4,2,3,4,2,2,4,2,6,7,4,0,5,2,14,6,21,6,4,5,6,6,20,6,1162,2063,9,2,0,0,3380
2024-03-02 00:20:00,1,4,8,1,10,4,1,1,5,1,10,6,3,0,4,3,17,9,20,11,3,3,8,9,22,16,896,2216,7,4,0,0,3303
2024-03-02 00:30:00,1,2,4,1,5,4,1,1,1,1,3,3,1,0,3,0,10,8,13,8,5,6,9,2,20,5,1125,1725,4,3,0,0,2974
2024-03-02 00:40:00,1,2,7,1,6,4,3,5,3,4,7,6,0,0,0,0,10,4,15,2,7,13,5,5,11,9,1091,1863,5,0,0,0,3089
2024-03-02 00:50:00,3,1,5,5,5,1,1,1,5,2,8,3,1,0,1,0,12,4,13,6,3,3,5,3,16,7,1020,1553,9,4,0,0,2700
2024-03-02 01:00:00,0,4,3,0,4,7,0,0,2,5,9,9,0,2,8,2,8,6,9,9,18,7,2,6,7,8,1160,1714,4,2,0,0,3015
2024-03-02 01:10:00,1,0,1,1,3,1,0,1,4,5,10,10,1,0,1,1,6,6,8,7,4,7,9,4,19,10,1160,1939,2,0,0,0,3221
2024-03-02 01:20:00,1,0,2,1,3,0,2,0,4,4,9,6,6,21,6,2,5,0,6,1,2,3,6,4,14,10,996,2450,5,0,0,0,3569
2024-03-02 01:30:00,3,1,3,2,3,1,1,1,4,0,6,0,0,0,0,0,4,6,5,5,3,1,3,3,9,4,997,2301,2,1,0,0,3369
2024-03-02 01:40:00,3,2,5,5,5,2,0,0,3,0,5,0,0,0,0,0,8,3,9,2,3,3,5,5,13,10,1116,1834,8,2,0,0,3051
2024-03-02 01:50:00,0,2,2,0,2,4,0,0,2,2,2,6,120,0,4,1,6,2,8,3,3,4,5,6,7,8,985,1390,7,3,0,0,2584
2024-03-02 02:00:00,3,2,6,5,8,2,1,2,2,2,5,4,0,0,0,0,10,4,13,4,5,5,2,1,12,1,1046,1723,1,0,0,0,2869
2024-03-02 02:10:00,0,0,4,0,4,0,0,0,1,0,3,0,0,0,2,0,4,3,5,3,1,2,2,3,10,7,904,1615,6,4,0,0,2583
2024-03-02 02:20:00,0,1,0,0,0,2,0,0,0,2,2,3,0,0,1,1,3,1,3,2,2,2,2,2,13,7,984,2325,4,2,0,0,3364
2024-03-02 02:30:00,2,4,6,2,8,7,1,1,1,1,2,2,1,0,3,0,4,1,5,3,3,4,2,1,9,2,1064,2139,3,1,0,0,3282
2024-03-02 02:40:00,0,0,0,0,0,0,0,0,2,3,5,3,1,0,3,1,5,1,7,3,2,2,2,2,3,3,1251,1937,1,0,0,0,3237
2024-03-02 02:50:00,0,0,0,0,0,0,0,0,3,3,3,3,1,0,1,1,6,3,12,3,0,0,4,4,10,4,1393,2158,4,1,0,0,3617
2024-03-02 03:00:00,2,1,3,2,5,4,2,2,1,2,2,3,1,0,1,0,6,5,9,7,4,5,1,2,6,6,1269,1909,2,1,0,0,3263
2024-03-02 03:10:00,1,3,4,1,6,5,0,0,1,2,4,2,1,1,5,2,4,2,6,1,4,6,5,1,7,2,1139,1651,2,0,0,0,2868
2024-03-02 03:20:00,0,4,6,0,5,5,0,0,1,1,1,2,0,0,0,0,4,2,5,1,0,0,2,2,8,1,1152,2070,3,3,0,1,3279
2024-03-02 03:30:00,0,1,4,0,3,3,1,1,2,0,3,4,1,3,2,1,2,2,3,4,2,2,3,1,7,3,1056,1343,4,0,0,0,2461
2024-03-02 03:40:00,1,0,2,1,2,0,0,0,1,1,2,2,0,1,1,0,4,4,7,3,3,2,4,1,8,3,1054,1717,1,1,0,0,2826
2024-03-02 03:50:00,0,0,1,1,2,0,0,0,3,2,5,4,5,1,6,3,0,1,0,1,4,3,0,4,11,8,1039,1628,7,2,0,0,2741
2024-03-02 04:00:00,2,0,4,3,5,3,3,2,0,0,1,2,2,0,2,3,9,4,9,4,3,4,4,0,11,0,1067,2111,1,2,0,0,3261
2024-03-02 04:10:00,0,1,1,0,1,1,0,0,5,0,7,0,0,0,0,0,2,2,4,4,2,3,1,0,2,0,1166,2093,0,0,0,0,3295
