datetime,D21Z,D22Z,V23Z,V24Z,D81Z,D82Z,V83Z,V84Z,D111Z,D112Z,V113Z,V114Z,D115Z,Total
2024-03-02 18:10:00,72,61,23,18,27,35,17,20,14,23,11,17,0,338
2024-03-02 18:20:00,72,73,22,32,27,45,23,24,25,11,21,21,0,396
2024-03-02 18:30:00,66,59,24,41,17,34,17,26,17,17,15,15,0,348
2024-03-02 18:40:00,65,57,29,45,26,28,24,20,24,25,23,20,2,388
2024-03-02 18:50:00,49,55,36,53,23,44,13,22,11,19,14,15,0,354
2024-03-02 19:00:00,57,60,31,38,26,41,14,21,25,20,24,14,0,371
2024-03-02 19:10:00,61,41,36,42,21,37,15,15,13,21,13,24,0,339
2024-03-02 19:20:00,69,42,21,27,28,29,22,21,14,23,12,10,0,318
2024-03-02 19:30:00,83,45,39,36,25,30,26,23,10,12,8,11,1,349
2024-03-02 19:40:00,58,56,21,40,21,36,14,17,22,25,13,16,0,339
2024-03-02 19:50:00,49,38,32,37,21,26,18,19,128,14,15,12,0,409
2024-03-02 20:00:00,42,47,27,34,16,28,15,19,44,16,13,17,0,318
2024-03-02 20:10:00,37,34,21,33,17,29,18,25,16,21,11,24,0,286
2024-03-02 20:20:00,41,40,16,35,14,25,15,12,37,23,17,22,1,298
2024-03-02 20:30:00,34,36,25,32,15,26,21,21,20,16,13,14,10,283
2024-03-02 20:40:00,24,27,25,36,16,27,15,22,73,20,12,14,2,313
2024-03-02 20:50:00,36,39,35,27,19,26,18,18,3,87,3,12,1,324
2024-03-02 21:00:00,28,18,27,24,23,23,25,18,8,12,13,19,0,238
2024-03-02 21:10:00,40,20,24,27,23,20,23,18,12,16,14,16,0,253
2024-03-02 21:20:00,42,41,25,39,14,15,17,12,107,10,10,8,0,340
2024-03-02 21:30:00,44,30,30,27,19,26,13,23,43,30,12,11,0,308
2024-03-02 21:40:00,32,29,31,22,15,30,16,22,3,9,4,12,0,225
2024-03-02 21:50:00,32,20,22,27,21,20,25,14,49,14,10,15,0,269
2024-03-02 22:00:00,39,21,31,26,15,18,16,16,12,11,10,16,0,231
2024-03-02 22:10:00,24,22,20,37,11,17,11,10,13,9,12,12,0,198
2024-03-02 22:20:00,43,37,33,28,22,26,21,17,7,15,6,19,0,274
2024-03-02 22:30:00,38,25,19,18,21,32,16,22,7,17,5,16,0,236
2024-03-02 22:40:00,37,26,32,26,17,17,14,13,11,13,8,15,0,229
2024-03-02 22:50:00,27,28,20,17,17,23,16,17,6,10,6,15,0,202
2024-03-02 23:00:00,34,18,28,22,23,24,15,19,5,13,7,15,0,223
2024-03-02 23:10:00,25,20,16,30,21,26,13,19,7,9,8,12,0,206
2024-03-02 23:20:00,17,15,29,24,11,19,12,14,7,8,9,12,0,177
2024-03-02 23:30:00,30,17,17,13,11,13,12,12,7,8,7,11,0,158
2024-03-02 23:40:00,17,11,21,16,7,14,7,11,15,12,16,13,0,160
2024-03-02 23:50:00,25,9,18,17,10,12,10,9,8,10,8,12,0,148
2024-03-03 00:00:00,27,21,18,25,16,18,16,13,8,13,11,16,0,202
2024-03-03 00:10:00,20,11,21,14,14,14,12,12,6,9,6,10,0,149
2024-03-03 00:20:00,19,11,24,22,17,16,15,13,4,11,6,14,0,172
2024-03-03 00:30:00,14,10,14,17,11,14,12,12,3,7,5,12,1,132
2024-03-03 00:40:00,17,15,18,12,6,8,9,9,3,3,4,3,0,107
2024-03-03 00:50:00,17,13,16,20,9,16,13,15,32,10,2,10,0,173
2024-03-03 01:00:00,12,8,14,15,14,18,12,15,2,4,2,7,0,123
2024-03-03 01:10:00,11,7,21,11,13,15,15,12,3,3,3,2,0,116
2024-03-03 01:20:00,15,9,22,14,7,13,6,12,3,5,3,7,0,116
2024-03-03 01:30:00,8,6,8,11,5,13,5,15,1,0,1,1,0,74
2024-03-03 01:40:00,9,6,12,10,3,6,4,5,4,4,3,7,0,73
2024-03-03 01:50:00,4,2,5,5,6,6,9,7,2,4,2,3,0,55
2024-03-03 02:00:00,15,10,14,10,9,14,6,12,0,6,1,6,0,103
2024-03-03 02:10:00,7,7,7,11,2,12,1,12,0,4,0,7,0,70
2024-03-03 02:20:00,17,14,20,21,4,6,2,6,0,1,0,1,0,92
2024-03-03 02:30:00,5,5,5,10,5,4,6,4,3,2,4,4,0,57
2024-03-03 02:40:00,6,4,10,7,5,6,3,6,2,3,2,4,0,58
2024-03-03 02:50:00,4,8,8,16,4,5,2,5,3,1,4,2,0,62
2024-03-03 03:00:00,13,6,17,10,3,6,2,5,1,5,2,5,0,75
2024-03-03 03:10:00,6,5,5,11,1,4,1,6,3,5,3,5,0,55
2024-03-03 03:20:00,10,5,13,5,4,11,3,10,1,0,1,0,0,63
2024-03-03 03:30:00,8,3,7,5,2,3,1,1,39,1,3,3,0,76
2024-03-03 03:40:00,2,5,3,11,6,7,4,6,1,1,1,1,0,48
2024-03-03 03:50:00,6,3,8,6,7,6,7,5,1,1,1,1,0,52
2024-03-03 04:00:00,2,2,5,2,7,9,10,5,1,4,1,5,0,53
2024-03-03 04:10:00,6,8,9,17,2,7,2,8,1,1,1,1,0,63
2024-03-03 04:20:00,1,2,1,2,2,5,1,5,2,1,2,2,0,26
2024-03-03 04:30:00,6,3,6,7,1,7,1,6,2,3,2,4,0,48
2024-03-03 04:40:00,5,4,5,6,5,4,4,2,2,4,2,2,0,45
2024-03-03 04:50:00,9,2,10,4,3,0,4,0,2,2,2,3,0,41
2024-03-03 05:00:00,6,0,9,1,4,7,4,7,1,5,2,5,0,51
2024-03-03 05:10:00,4,4,5,10,4,6,3,5,0,4,0,4,0,49
2024-03-03 05:20:00,6,2,11,4,1,3,1,3,0,2,0,2,0,35
2024-03-03 05:30:00,7,9,11,17,1,8,2,10,2,3,2,3,0,75
2024-03-03 05:40:00,7,8,13,14,2,9,2,9,5,2,4,2,0,77
2024-03-03 05:50:00,5,5,10,5,1,6,1,5,1,1,3,2,0,45
2024-03-03 06:00:00,10,5,10,10,1,1,1,1,4,0,6,0,0,49
2024-03-03 06:10:00,11,9,13,13,3,6,4,4,0,2,0,2,0,67
