datetime,D21Z,D22Z,D23Z,V24Z,V25Z,V26Z,D81Z,V82Z,D91Z,V92Z,D111Z,D112Z,V113Z,V114Z,Total
2024-03-02 15:10:00,9,71,4,8,10,5,54,19,18,12,19,25,16,14,284
2024-03-02 15:20:00,12,71,4,13,14,3,46,25,11,10,17,20,23,13,282
2024-03-02 15:30:00,8,59,5,2,19,6,45,24,15,13,25,18,17,15,271
2024-03-02 15:40:00,8,72,2,4,15,4,53,31,10,10,17,22,18,16,282
2024-03-02 15:50:00,4,48,5,3,11,5,59,30,7,7,204,15,18,13,429
2024-03-02 16:00:00,3,61,6,3,14,5,51,21,10,10,14,20,20,18,256
2024-03-02 16:10:00,3,45,3,4,9,2,117,23,8,10,33,18,16,18,309
2024-03-02 16:20:00,2,54,5,2,15,5,52,27,10,7,15,23,26,17,260
2024-03-02 16:30:00,7,36,6,6,13,12,63,23,11,14,18,20,26,16,271
2024-03-02 16:40:00,2,58,2,3,19,2,68,27,14,9,22,15,20,15,276
2024-03-02 16:50:00,6,47,6,4,10,7,75,18,9,11,25,17,26,16,277
2024-03-02 17:00:00,2,62,7,4,18,8,53,23,14,10,17,15,12,9,254
2024-03-02 17:10:00,6,58,4,5,15,3,55,29,14,12,17,22,21,15,276
2024-03-02 17:20:00,3,61,6,3,14,5,70,26,17,10,21,13,16,11,276
2024-03-02 17:30:00,10,52,4,5,6,3,97,25,16,14,28,18,17,17,312
2024-03-02 17:40:00,0,67,8,0,10,6,116,25,26,18,24,32,25,13,370
2024-03-02 17:50:00,3,55,7,3,12,6,98,2,23,5,17,26,20,20,297
2024-03-02 18:00:00,2,51,5,2,12,3,88,24,30,17,29,24,20,17,324
2024-03-02 18:10:00,2,61,4,1,12,3,45,22,7,10,22,19,20,21,249
2024-03-02 18:20:00,3,263,12,3,4,8,160,8,25,12,17,26,25,8,574
2024-03-02 18:30:00,5,48,4,4,13,4,54,31,6,7,23,12,19,12,242
2024-03-02 18:40:00,3,70,1,0,9,1,62,17,11,8,19,28,11,6,246
2024-03-02 18:50:00,3,42,6,5,13,4,77,25,13,13,10,20,22,17,270
2024-03-02 19:00:00,1,27,2,2,16,1,48,23,67,9,22,18,21,13,270
2024-03-02 19:10:00,2,44,6,2,17,7,37,20,3,2,21,27,21,12,221
2024-03-02 19:20:00,7,59,5,1,9,6,39,18,8,5,24,21,8,14,224
2024-03-02 19:30:00,2,37,5,1,15,7,42,21,3,9,22,10,14,10,198
2024-03-02 19:40:00,2,223,1,2,13,2,54,35,12,14,21,20,21,14,434
2024-03-02 19:50:00,5,32,6,1,13,7,40,16,10,10,17,9,13,9,188
2024-03-02 20:00:00,1,44,6,2,22,5,45,23,3,2,21,17,22,14,227
2024-03-02 20:10:00,0,35,4,0,20,4,40,19,13,11,6,16,17,9,194
2024-03-02 20:20:00,2,43,7,3,21,7,36,19,4,4,12,13,16,12,199
2024-03-02 20:30:00,0,29,2,1,15,3,23,13,6,10,12,16,23,12,165
2024-03-02 20:40:00,3,28,3,4,16,2,45,24,5,4,12,8,16,9,179
2024-03-02 20:50:00,3,30,3,2,12,5,29,20,7,6,13,15,14,11,170
2024-03-02 21:00:00,1,43,3,1,20,3,30,17,11,7,9,11,13,8,177
2024-03-02 21:10:00,2,40,3,2,15,2,29,20,7,5,6,10,12,11,164
2024-03-02 21:20:00,1,47,5,0,17,4,33,21,4,5,5,5,8,8,163
2024-03-02 21:30:00,2,24,3,1,18,3,25,16,4,5,6,12,11,9,139
2024-03-02 21:40:00,0,34,1,2,21,3,21,13,5,4,11,7,16,7,145
2024-03-02 21:50:00,2,29,1,0,14,1,25,15,6,5,10,15,15,11,149
2024-03-02 22:00:00,2,36,3,5,20,3,21,19,6,4,13,5,11,9,157
2024-03-02 22:10:00,2,34,3,1,22,2,21,10,5,3,10,8,17,11,149
2024-03-02 22:20:00,0,28,3,1,14,5,22,19,2,2,18,13,15,11,153
2024-03-02 22:30:00,3,19,1,2,11,1,18,14,4,5,21,13,15,13,140
2024-03-02 22:40:00,1,34,5,0,18,2,11,11,4,4,10,6,14,7,127
2024-03-02 22:50:00,1,26,2,3,15,1,21,18,2,1,9,16,12,10,137
2024-03-02 23:00:00,1,33,3,2,20,2,27,14,2,2,5,11,12,13,147
2024-03-02 23:10:00,5,32,6,2,19,2,12,12,3,3,4,8,10,9,127
2024-03-02 23:20:00,2,24,1,2,10,2,13,11,2,2,6,8,11,9,103
2024-03-02 23:30:00,0,28,0,0,16,0,13,15,2,2,6,4,8,5,99
2024-03-02 23:40:00,1,27,4,1,18,5,9,8,4,4,7,5,9,7,109
2024-03-02 23:50:00,0,22,1,0,15,1,14,10,2,3,3,11,10,7,99
2024-03-03 00:00:00,0,23,0,1,15,2,6,5,1,0,7,4,7,5,76
2024-03-03 00:10:00,1,23,3,5,15,2,12,8,3,1,5,4,7,8,97
2024-03-03 00:20:00,3,18,2,5,12,4,5,6,2,2,4,5,7,4,79
2024-03-03 00:30:00,2,17,2,2,14,7,6,7,1,1,6,2,7,3,77
2024-03-03 00:40:00,0,19,3,0,17,5,8,7,2,2,6,4,10,5,88
2024-03-03 00:50:00,0,19,4,1,17,5,13,8,0,0,4,6,5,6,88
2024-03-03 01:00:00,0,12,2,0,9,1,5,5,4,3,6,6,11,6,70
2024-03-03 01:10:00,0,16,0,0,15,0,7,6,2,0,5,1,8,4,64
2024-03-03 01:20:00,0,20,0,3,19,0,4,5,0,1,4,2,5,3,66
2024-03-03 01:30:00,0,17,0,1,16,0,5,5,1,2,3,1,5,3,59
2024-03-03 01:40:00,0,14,0,3,11,0,8,8,1,1,3,1,6,5,61
2024-03-03 01:50:00,1,10,0,1,9,0,7,7,2,2,0,9,4,7,59
2024-03-03 02:00:00,1,6,0,1,6,1,2,2,0,0,4,2,6,3,34
2024-03-03 02:10:00,0,11,0,0,11,0,3,3,0,0,1,3,4,4,40
2024-03-03 02:20:00,0,8,1,3,7,1,2,3,0,0,1,2,4,4,36
2024-03-03 02:30:00,1,10,0,2,10,1,10,10,3,3,2,4,7,8,71
2024-03-03 02:40:00,0,4,1,0,5,1,4,4,1,1,2,1,5,4,33
2024-03-03 02:50:00,3,15,1,1,13,3,1,2,2,2,2,2,3,2,52
2024-03-03 03:00:00,0,6,1,0,7,1,4,4,0,0,2,3,5,3,36
2024-03-03 03:10:00,0,3,2,0,3,2,5,5,1,1,1,0,6,5,34
2024-03-03 03:20:00,1,12,1,0,10,1,5,3,0,0,2,5,2,4,46
2024-03-03 03:30:00,0,4,0,0,4,0,7,6,3,1,1,3,6,7,42
2024-03-03 03:40:00,0,4,1,0,4,2,1,1,0,0,2,4,6,4,29
2024-03-03 03:50:00,2,5,0,0,4,3,1,1,2,1,2,2,3,4,30
2024-03-03 04:00:00,0,11,0,0,10,0,0,0,1,1,3,3,4,5,38
2024-03-03 04:10:00,1,7,1,1,7,2,0,0,0,0,0,0,2,2,23
2024-03-03 04:20:00,1,5,0,0,5,0,7,5,2,3,0,5,2,4,39
2024-03-03 04:30:00,0,5,0,0,3,1,3,3,0,0,1,0,3,3,22
2024-03-03 04:40:00,0,2,0,0,2,0,4,5,1,1,0,3,6,7,31
2024-03-03 04:50:00,0,5,1,1,5,1,5,4,1,1,2,2,4,2,34
2024-03-03 05:00:00,0,2,0,0,2,0,10,9,1,2,1,0,6,6,39
2024-03-03 05:10:00,0,2,0,0,2,0,5,5,1,1,1,3,3,3,26
2024-03-03 05:20:00,0,4,0,0,4,0,12,10,4,3,1,3,1,3,45
2024-03-03 05:30:00,0,5,0,0,6,0,10,9,3,1,2,3,6,6,51
2024-03-03 05:40:00,0,4,1,1,3,0,7,7,5,2,0,0,3,3,36
2024-03-03 05:50:00,0,2,3,0,4,1,7,8,1,2,1,1,2,3,35
